"Path","Name","Type","Mode","Optionality","Label","Default Value","Async Input","Async Output"
"cds/layers/rate_change/premium/beazley_line/policy_term","policy_term","structure","n/a","n/a","n/a","n/a","n/a","n/a"
"cds/layers/rate_change/premium/beazley_line/annualised/expiring","expiring","float","output","n/a","Expiring","n/a","n/a","n/a"
"cds/layers/rate_change/premium/beazley_line/annualised/rebased_expiring","rebased_expiring","float","output","n/a","Rebased
Expiring","n/a","n/a","n/a"
"cds/layers/rate_change/premium/beazley_line/annualised/renewal","renewal","float","output","n/a","Renewal","n/a","n/a","n/a"
"cds/layers/rate_change/premium/beazley_line/annualised/expiring_revalued","expiring_revalued","float","output","n/a","Expiring Revalued","n/a","n/a","n/a"
"cds/layers/rate_change/premium/beazley_line/annualised","annualised","structure","n/a","n/a","n/a","n/a","n/a","n/a"
"cds/layers/rate_change/premium/beazley_line","beazley_line","structure","n/a","n/a","n/a","n/a","n/a","n/a"
"cds/layers/rate_change/premium","premium","structure","n/a","n/a","n/a","n/a","n/a","n/a"
"cds/layers/rate_change/limit/renewal","renewal","float","output","n/a","Renewal","n/a","n/a","n/a"
"cds/layers/rate_change/limit/expiring","expiring","float","output","n/a","Expiring","n/a","n/a","n/a"
"cds/layers/rate_change/limit/expiring_revalued","expiring_revalued","float","output","n/a","Expiring 
 Revalued","n/a","n/a","n/a"
"cds/layers/rate_change/limit","limit","structure","n/a","n/a","n/a","n/a","n/a","n/a"
"cds/layers/rate_change/deductible/renewal","renewal","float","output","n/a","Renewal","n/a","n/a","n/a"
"cds/layers/rate_change/deductible/expiring","expiring","float","output","n/a","Expiring","n/a","n/a","n/a"
"cds/layers/rate_change/deductible/expiring_revalued","expiring_revalued","float","output","n/a","Expiring 
 Revalued","n/a","n/a","n/a"
"cds/layers/rate_change/deductible","deductible","structure","n/a","n/a","n/a","n/a","n/a","n/a"
"cds/layers/rate_change/excess/renewal","renewal","float","output","n/a","Renewal","n/a","n/a","n/a"
"cds/layers/rate_change/excess/expiring","expiring","float","output","n/a","Expiring","n/a","n/a","n/a"
