StateCounty,Unknown,No,Yes
CTHartford County,0.0000000000000000000,0.0000000000000000000,0.0915026456273531000
CTLitchfield County,0.0000000000000000000,0.0000000000000000000,0.0986396338132676000
CTMiddlesex County,0.0000000000000000000,0.0000000000000000000,0.0976109083680863000
CTNew Haven County,0.0000000000000000000,0.0000000000000000000,0.0946744767443275000
CTNew London County,0.0000000000000000000,0.0000000000000000000,0.0975298992196476000
CTTolland County,0.0000000000000000000,0.0000000000000000000,0.0983373696299839000
CTWindham County,0.0000000000000000000,0.0000000000000000000,0.0984159763245134000
DCDistrict Of Columbia,0.0000000000000000000,0.0000000000000000000,0.0936357063081501000
DEKent County,0.0000000000000000000,0.0000000000000000000,0.0962490017528808000
DENew Castle County,0.0000000000000000000,0.0000000000000000000,0.0944863323762415000
DESussex County,0.0000000000000000000,0.0000000000000000000,0.0945871007847259000
FLAlachua County,0.0000000000000000000,0.0000000000000000000,0.0953609599598688000
FLBaker County,0.0000000000000000000,0.0000000000000000000,0.0963277842049508000
FLBay County,0.0000000000000000000,0.0000000000000000000,0.0929311337243828000
FLBradford County,0.0000000000000000000,0.0000000000000000000,0.0955058296820375000
FLBrevard County,0.0000000000000000000,0.0000000000000000000,0.0910147621146054000
FLBroward County,0.0000000000000000000,0.0000000000000000000,0.0886274031774801000
FLCalhoun County,0.0000000000000000000,0.0000000000000000000,0.0972981410183247000
FLCharlotte County,0.0000000000000000000,0.0000000000000000000,0.0939252768177310000
