StateCounty,Unknown,Little or None,Average,Extensive
ARPoinsett County,0.000000000000000000,-0.007152781931309420,0.000000000000000000,0.044896480657969500
ARPolk County,0.000000000000000000,-0.009831250628412500,0.000000000000000000,0.049787948690983800
ARPope County,0.000000000000000000,-0.009685057102933330,0.000000000000000000,0.049695340708997900
ARPrairie County,0.000000000000000000,-0.008722009222682740,0.000000000000000000,0.050827289990629900
ARPulaski County,0.000000000000000000,-0.008925108351378830,0.000000000000000000,0.050353598345160600
ARRandolph County,0.000000000000000000,-0.009333188321080990,0.000000000000000000,0.050894620460849400
ARSaline County,0.000000000000000000,-0.009029401178214380,0.000000000000000000,0.050104074470787000
ARScott County,0.000000000000000000,-0.009762398489621460,0.000000000000000000,0.049727863070215400
ARSearcy County,0.000000000000000000,-0.009895807009542400,0.000000000000000000,0.049801950060282900
ARSebastian County,0.000000000000000000,-0.009552065055414840,0.000000000000000000,0.049475399092350000
ARSevier County,0.000000000000000000,-0.009793433228939330,0.000000000000000000,0.049581198013482800
ARSharp County,0.000000000000000000,-0.009863844950932950,0.000000000000000000,0.050067205226699900
ARSt. Francis County,0.000000000000000000,-0.008226863733416190,0.000000000000000000,0.049537598696338400
ARStone County,0.000000000000000000,-0.009795673336504770,0.000000000000000000,0.049982541700319200
ARUnion County,0.000000000000000000,-0.009518835475174960,0.000000000000000000,0.049683594511782600
ARVan Buren County,0.000000000000000000,-0.009696966810731290,0.000000000000000000,0.049512146255742200
ARWashington County,0.000000000000000000,-0.009523399360247600,0.000000000000000000,0.049089559294504400
ARWhite County,0.000000000000000000,-0.008974293026671080,0.000000000000000000,0.051003553556640200
ARWoodruff County,0.000000000000000000,-0.009129912265009700,0.000000000000000000,0.051181937296949100
ARYell County,0.000000000000000000,-0.009686881683679700,0.000000000000000000,0.049832227714554000
AZApache County,0.000000000000000000,-0.009992611956617380,0.000000000000000000,0.049968250345136200
AZCochise County,0.000000000000000000,-0.009953296912551870,0.000000000000000000,0.049951495626081800
AZCoconino County,0.000000000000000000,-0.009957848837810260,0.000000000000000000,0.049876473180176600
AZGila County,0.000000000000000000,-0.009951444619542780,0.000000000000000000,0.049939344787520500
AZGraham County,0.000000000000000000,-0.009885570465653970,0.000000000000000000,0.049545884974098200
AZGreenlee County,0.000000000000000000,-0.009972310783608830,0.000000000000000000,0.049863113486541900
AZLa Paz County,0.000000000000000000,-0.009899458270056340,0.000000000000000000,0.049504179264463900
AZMaricopa County,0.000000000000000000,-0.009429203295151180,0.000000000000000000,0.050201309429222600
AZMohave County,0.000000000000000000,-0.009934529100026680,0.000000000000000000,0.049674729917607900
AZNavajo County,0.000000000000000000,-0.009985456185716890,0.000000000000000000,0.049947545163522100
AZPima County,0.000000000000000000,-0.009761941422381630,0.000000000000000000,0.050074636082092900
