StateCounty,Unknown,No,Yes
ARSevier County,0.00000000000000000,-0.04926067630547030,0.24510838813681600
ARSharp County,0.00000000000000000,-0.04960443801227390,0.24937549071759200
ARSt. Francis County,0.00000000000000000,-0.04407860299065960,0.23601016217455900
ARStone County,0.00000000000000000,-0.04936372591307060,0.24780026812281400
ARUnion County,0.00000000000000000,-0.04838611589389760,0.24456425492219900
ARVan Buren County,0.00000000000000000,-0.04898257433631630,0.24477303010176000
ARWashington County,0.00000000000000000,-0.04826240012116170,0.24035803909662200
ARWhite County,0.00000000000000000,-0.04696628109442360,0.24718873008333100
ARWoodruff County,0.00000000000000000,-0.04752686525109140,0.24952239680607500
ARYell County,0.00000000000000000,-0.04896531739643230,0.24547879349733400
AZApache County,0.00000000000000000,-0.04996487309972280,0.24983509645713100
AZCochise County,0.00000000000000000,-0.04983239469543680,0.24954454386694100
AZCoconino County,0.00000000000000000,-0.04982040302233050,0.24910467112581200
AZGila County,0.00000000000000000,-0.04982148727283390,0.24951364864700400
AZGraham County,0.00000000000000000,-0.04947084358154410,0.24759763652494800
AZGreenlee County,0.00000000000000000,-0.04986216506193400,0.24931392389169600
AZLa Paz County,0.00000000000000000,-0.04949988840500770,0.24751353567495400
AZMaricopa County,0.00000000000000000,-0.04821436462222020,0.24747769755878800
AZMohave County,0.00000000000000000,-0.04967343234601220,0.24837134948070500
AZNavajo County,0.00000000000000000,-0.04993399244898370,0.24970512166600400
AZPima County,0.00000000000000000,-0.04925633784821590,0.24891963960696800
AZPinal County,0.00000000000000000,-0.04915326733128570,0.24876865523389700
AZSanta Cruz County,0.00000000000000000,-0.04991889010201900,0.24980005331368900
AZYavapai County,0.00000000000000000,-0.04983033233695530,0.24966992293799500
AZYuma County,0.00000000000000000,-0.04995429303185950,0.24977434017793000
CAAlameda County,0.00000000000000000,-0.03596989105061650,0.19739305738318400
CAAlpine County,0.00000000000000000,-0.04994285677210010,0.24971621974532100
CAAmador County,0.00000000000000000,-0.04992841601043930,0.24968651515920300
CAButte County,0.00000000000000000,-0.04991312679368480,0.24985909851188200
CACalaveras County,0.00000000000000000,-0.04991677694903730,0.24966952707158800
CAColusa County,0.00000000000000000,-0.04785665216147090,0.23994172059607100
CAContra Costa County,0.00000000000000000,-0.04544733317150700,0.23872514726263300
CADel Norte County,0.00000000000000000,-0.04619225296443190,0.23528892097594900
CAEl Dorado County,0.00000000000000000,-0.04974141798261540,0.24873893867885800
CAFresno County,0.00000000000000000,-0.04982368647022230,0.24968582407718500
CAGlenn County,0.00000000000000000,-0.04831606951239610,0.24231971881212300
CAHumboldt County,0.00000000000000000,-0.04899098910921520,0.24594556260009800
CAImperial County,0.00000000000000000,-0.03763270297457930,0.19188027468767300
CAInyo County,0.00000000000000000,-0.04994067335112970,0.24970394567645600
CAKern County,0.00000000000000000,-0.04840836295273310,0.24801257304336800
CAKings County,0.00000000000000000,-0.04982505698374710,0.24984832053338100
CALake County,0.00000000000000000,-0.04970201078087750,0.24948437745075200
CALassen County,0.00000000000000000,-0.04997920611919910,0.24990140462802400
CALos Angeles County,0.00000000000000000,-0.04374745140495670,0.22845870984310200
CAMadera County,0.00000000000000000,-0.04989719721193680,0.24956690348762400
CAMarin County,0.00000000000000000,-0.04718312874426070,0.24816016234725200
CAMariposa County,0.00000000000000000,-0.04991772040185080,0.24959093128275200
CAMendocino County,0.00000000000000000,-0.04956060234063830,0.24919447023352400
CAMerced County,0.00000000000000000,-0.04856578213021170,0.24325736002407500
CAModoc County,0.00000000000000000,-0.04998152053848340,0.24990782445288400
CAMono County,0.00000000000000000,-0.04994892150281630,0.24974551548855400
CAMonterey County,0.00000000000000000,-0.04764911674074370,0.24078731174274300
CANapa County,0.00000000000000000,-0.04803521531977230,0.24440808500624200
CANevada County,0.00000000000000000,-0.04990949606147910,0.24954909390541100
CAOrange County,0.00000000000000000,-0.04622947811301210,0.23788754862569500
CAPlacer County,0.00000000000000000,-0.04984011286995900,0.24932943345420200
CAPlumas County,0.00000000000000000,-0.04996777477487360,0.24985388160626300
CARiverside County,0.00000000000000000,-0.04560122054574170,0.23639414279150100
CASacramento County,0.00000000000000000,-0.02733245198585250,0.13758797111547000
CASan Benito County,0.00000000000000000,-0.04794270710630840,0.24706806840114900
CASan Bernardino County,0.00000000000000000,-0.04752504095524530,0.24679653591040600
CASan Diego County,0.00000000000000000,-0.04608957755516980,0.23401075514258500
CASan Francisco County,0.00000000000000000,-0.02659432237888930,0.13975925554622400
CASan Joaquin County,0.00000000000000000,-0.04844881646897950,0.24312645231605100
CASan Luis Obispo County,0.00000000000000000,-0.04799307172999570,0.24557132376552800
CASan Mateo County,0.00000000000000000,-0.04028033908759570,0.21529294703126500
CASanta Barbara County,0.00000000000000000,-0.04797872048600960,0.24573905910620600
CASanta Clara County,0.00000000000000000,-0.04540744492040270,0.23617932762202100
CASanta Cruz County,0.00000000000000000,-0.04827052477882900,0.24693643196999900
CAShasta County,0.00000000000000000,-0.04927816576719040,0.24765801540738600
CASierra County,0.00000000000000000,-0.04995379090440990,0.24976947355593700
CASiskiyou County,0.00000000000000000,-0.04942029823705350,0.24945023055316500
CASolano County,0.00000000000000000,-0.04598984108098390,0.23623110996273100
CASonoma County,0.00000000000000000,-0.04660608548359090,0.24412974922126000
CAStanislaus County,0.00000000000000000,-0.04972254143189870,0.24884836000868700
CASutter County,0.00000000000000000,-0.04441323360297500,0.22265922645749100
CATehama County,0.00000000000000000,-0.04972115347023280,0.24983157742444300
CATrinity County,0.00000000000000000,-0.04928518523278880,0.24894800028086200
CATulare County,0.00000000000000000,-0.04996115597915900,0.24982294387402400
CATuolumne County,0.00000000000000000,-0.04991946928399960,0.24960356174229600
CAVentura County,0.00000000000000000,-0.04540615117309700,0.23519847996132400
