state_code,county,state_county,us_ws_cat_limit_zone,us_eq_cat_limit_zone
MN,Clearwater County,MNClearwater County,3,3
MN,Cook County,MNCook County,3,3
MN,Cottonwood County,MNCottonwood County,3,3
MN,Crow Wing County,MNCrow Wing County,3,3
MN,Dakota County,MNDakota County,3,3
MN,Dodge County,MNDodge County,3,3
MN,Douglas County,MNDouglas County,3,3
MN,Faribault County,MNFaribault County,3,3
MN,Fillmore County,MNFillmore County,3,3
MN,Freeborn County,MNFreeborn County,3,3
MN,Goodhue County,MNGoodhue County,3,3
MN,Grant County,MNGrant County,3,3
MN,Hennepin County,MNHennepin County,3,3
MN,Houston County,MNHouston County,3,3
MN,Hubbard County,MNHubbard County,3,3
MN,Isanti County,MNIsanti County,3,3
MN,Itasca County,MNItasca County,3,3
MN,Jackson County,MNJackson County,3,3
MN,Kanabec County,MNKanabec County,3,3
MN,Kandiyohi County,MNKandiyohi County,3,3
MN,Kittson County,MNKittson County,3,3
MN,Koochiching County,MNKoochiching County,3,3
MN,Lac Qui Parle County,MNLac Qui Parle County,3,3
MN,Lake County,MNLake County,3,3
MN,Lake Of The Woods County,MNLake Of The Woods County,3,3
MN,Le Sueur County,MNLe Sueur County,3,3
MN,Lincoln County,MNLincoln County,3,3
MN,Lyon County,MNLyon County,3,3
MN,Mahnomen County,MNMahnomen County,3,3
MN,Marshall County,MNMarshall County,3,3
MN,Martin County,MNMartin County,3,3
MN,Mcleod County,MNMcleod County,3,3
MN,Meeker County,MNMeeker County,3,3
MN,Mille Lacs County,MNMille Lacs County,3,3
MN,Morrison County,MNMorrison County,3,3
MN,Mower County,MNMower County,3,3
MN,Murray County,MNMurray County,3,3
MN,Nicollet County,MNNicollet County,3,3
MN,Nobles County,MNNobles County,3,3
MN,Norman County,MNNorman County,3,3
MN,Olmsted County,MNOlmsted County,3,3
MN,Otter Tail County,MNOtter Tail County,3,3
MN,Pennington County,MNPennington County,3,3
MN,Pine County,MNPine County,3,3
MN,Pipestone County,MNPipestone County,3,3
MN,Polk County,MNPolk County,3,3
MN,Pope County,MNPope County,3,3
MN,Ramsey County,MNRamsey County,3,3
MN,Red Lake County,MNRed Lake County,3,3
MN,Redwood County,MNRedwood County,3,3
MN,Renville County,MNRenville County,3,3
MN,Rice County,MNRice County,3,3
MN,Rock County,MNRock County,3,3
MN,Roseau County,MNRoseau County,3,3
MN,Scott County,MNScott County,3,3
MN,Sherburne County,MNSherburne County,3,3
MN,Sibley County,MNSibley County,3,3
MN,St. Louis County,MNSt. Louis County,3,3
MN,Stearns County,MNStearns County,3,3
MN,Steele County,MNSteele County,3,3
MN,Stevens County,MNStevens County,3,3
MN,Swift County,MNSwift County,3,3
MN,Todd County,MNTodd County,3,3
MN,Traverse County,MNTraverse County,3,3
MN,Wabasha County,MNWabasha County,3,3
MN,Wadena County,MNWadena County,3,3
MN,Waseca County,MNWaseca County,3,3
MN,Washington County,MNWashington County,3,3
MN,Watonwan County,MNWatonwan County,3,3
MN,Wilkin County,MNWilkin County,3,3
MN,Winona County,MNWinona County,3,3
MN,Wright County,MNWright County,3,3
MN,Yellow Medicine County,MNYellow Medicine County,3,3
MO,Adair County,MOAdair County,3,3
MO,Andrew County,MOAndrew County,3,3
MO,Atchison County,MOAtchison County,3,3
MO,Audrain County,MOAudrain County,3,3
MO,Barry County,MOBarry County,3,3
MO,Barton County,MOBarton County,3,3
MO,Bates County,MOBates County,3,3
MO,Benton County,MOBenton County,3,3
MO,Bollinger County,MOBollinger County,3,1
MO,Boone County,MOBoone County,3,3
MO,Buchanan County,MOBuchanan County,3,3
MO,Butler County,MOButler County,3,1
MO,Caldwell County,MOCaldwell County,3,3
MO,Callaway County,MOCallaway County,3,3
MO,Camden County,MOCamden County,3,3
MO,Cape Girardeau County,MOCape Girardeau County,3,1
MO,Carroll County,MOCarroll County,3,3
MO,Carter County,MOCarter County,3,2
MO,Cass County,MOCass County,3,3
MO,Cedar County,MOCedar County,3,3
MO,Chariton County,MOChariton County,3,3
MO,Christian County,MOChristian County,3,3
MO,Clark County,MOClark County,3,3
MO,Clay County,MOClay County,3,3
MO,Clinton County,MOClinton County,3,3
MO,Cole County,MOCole County,3,3
MO,Cooper County,MOCooper County,3,3
MO,Crawford County,MOCrawford County,3,3
MO,Dade County,MODade County,3,3
MO,Dallas County,MODallas County,3,3
MO,Daviess County,MODaviess County,3,3
MO,Dekalb County,MODekalb County,3,3
MO,Dent County,MODent County,3,3
MO,Douglas County,MODouglas County,3,3
MO,Dunklin County,MODunklin County,3,1
MO,Franklin County,MOFranklin County,3,3
MO,Gasconade County,MOGasconade County,3,3
MO,Gentry County,MOGentry County,3,3
MO,Greene County,MOGreene County,3,3
MO,Grundy County,MOGrundy County,3,3
MO,Harrison County,MOHarrison County,3,3
MO,Henry County,MOHenry County,3,3
MO,Hickory County,MOHickory County,3,3
MO,Holt County,MOHolt County,3,3
MO,Howard County,MOHoward County,3,3
MO,Howell County,MOHowell County,3,3
MO,Iron County,MOIron County,3,2
MO,Jackson County,MOJackson County,3,3
MO,Jasper County,MOJasper County,3,3
MO,Jefferson County,MOJefferson County,3,2
MO,Johnson County,MOJohnson County,3,3
MO,Knox County,MOKnox County,3,3
MO,Laclede County,MOLaclede County,3,3
MO,Lafayette County,MOLafayette County,3,3
MO,Lawrence County,MOLawrence County,3,3
MO,Lewis County,MOLewis County,3,3
MO,Lincoln County,MOLincoln County,3,3
MO,Linn County,MOLinn County,3,3
MO,Livingston County,MOLivingston County,3,3
MO,Macon County,MOMacon County,3,3
MO,Madison County,MOMadison County,3,2
MO,Maries County,MOMaries County,3,3
MO,Marion County,MOMarion County,3,3
MO,Mcdonald County,MOMcdonald County,3,3
MO,Mercer County,MOMercer County,3,3
MO,Miller County,MOMiller County,3,3
MO,Mississippi County,MOMississippi County,3,1
MO,Moniteau County,MOMoniteau County,3,3
MO,Monroe County,MOMonroe County,3,3
MO,Montgomery County,MOMontgomery County,3,3
MO,Morgan County,MOMorgan County,3,3
MO,New Madrid County,MONew Madrid County,3,1
MO,Newton County,MONewton County,3,3
MO,Nodaway County,MONodaway County,3,3
MO,Oregon County,MOOregon County,3,2
MO,Osage County,MOOsage County,3,3
MO,Ozark County,MOOzark County,3,3
MO,Pemiscot County,MOPemiscot County,3,1
MO,Perry County,MOPerry County,3,2
MO,Pettis County,MOPettis County,3,3
MO,Phelps County,MOPhelps County,3,3
MO,Pike County,MOPike County,3,3
MO,Platte County,MOPlatte County,3,3
MO,Polk County,MOPolk County,3,3
MO,Pulaski County,MOPulaski County,3,3
MO,Putnam County,MOPutnam County,3,3
MO,Ralls County,MORalls County,3,3
MO,Randolph County,MORandolph County,3,3
MO,Ray County,MORay County,3,3
MO,Reynolds County,MOReynolds County,3,2
MO,Ripley County,MORipley County,3,2
MO,Saline County,MOSaline County,3,3
MO,Schuyler County,MOSchuyler County,3,3
MO,Scotland County,MOScotland County,3,3
MO,Scott County,MOScott County,3,1
MO,Shannon County,MOShannon County,3,3
MO,Shelby County,MOShelby County,3,3
MO,St. Charles County,MOSt. Charles County,3,2
MO,St. Clair County,MOSt. Clair County,3,3
MO,St. Francois County,MOSt. Francois County,3,2
MO,St. Louis City,MOSt. Louis City,3,3
MO,St. Louis County,MOSt. Louis County,3,2
MO,Ste. Genevieve County,MOSte. Genevieve County,3,2
MO,Stoddard County,MOStoddard County,3,1
MO,Stone County,MOStone County,3,3
MO,Sullivan County,MOSullivan County,3,3
MO,Taney County,MOTaney County,3,3
MO,Texas County,MOTexas County,3,3
MO,Vernon County,MOVernon County,3,3
MO,Warren County,MOWarren County,3,3
MO,Washington County,MOWashington County,3,2
MO,Wayne County,MOWayne County,3,2
MO,Webster County,MOWebster County,3,3
MO,Worth County,MOWorth County,3,3
MO,Wright County,MOWright County,3,3
MS,Adams County,MSAdams County,3,3
MS,Alcorn County,MSAlcorn County,3,2
MS,Amite County,MSAmite County,2,3
MS,Attala County,MSAttala County,3,3
MS,Benton County,MSBenton County,3,2
MS,Bolivar County,MSBolivar County,3,2
MS,Calhoun County,MSCalhoun County,3,3
MS,Carroll County,MSCarroll County,3,3
MS,Chickasaw County,MSChickasaw County,3,3
MS,Choctaw County,MSChoctaw County,3,3
MS,Claiborne County,MSClaiborne County,3,3
MS,Clarke County,MSClarke County,3,3
MS,Clay County,MSClay County,3,3
MS,Coahoma County,MSCoahoma County,3,2
MS,Copiah County,MSCopiah County,3,3
MS,Covington County,MSCovington County,3,3
MS,Desoto County,MSDesoto County,3,1
MS,Forrest County,MSForrest County,2,3
MS,Franklin County,MSFranklin County,3,3
MS,George County,MSGeorge County,1,3
MS,Greene County,MSGreene County,2,3
MS,Grenada County,MSGrenada County,3,3
MS,Hancock County,MSHancock County,1,3
MS,Harrison County,MSHarrison County,1,3
MS,Hinds County,MSHinds County,3,3
MS,Holmes County,MSHolmes County,3,3
MS,Humphreys County,MSHumphreys County,3,3
MS,Issaquena County,MSIssaquena County,3,3
MS,Itawamba County,MSItawamba County,3,3
MS,Jackson County,MSJackson County,1,3
MS,Jasper County,MSJasper County,3,3
MS,Jefferson County,MSJefferson County,3,3
MS,Jefferson Davis County,MSJefferson Davis County,3,3
MS,Jones County,MSJones County,3,3
MS,Kemper County,MSKemper County,3,3
MS,Lafayette County,MSLafayette County,3,2
MS,Lamar County,MSLamar County,2,3
MS,Lauderdale County,MSLauderdale County,3,3
MS,Lawrence County,MSLawrence County,3,3
MS,Leake County,MSLeake County,3,3
MS,Lee County,MSLee County,3,3
MS,Leflore County,MSLeflore County,3,2
MS,Lincoln County,MSLincoln County,3,3
MS,Lowndes County,MSLowndes County,3,3
MS,Madison County,MSMadison County,3,3
MS,Marion County,MSMarion County,2,3
MS,Marshall County,MSMarshall County,3,2
MS,Monroe County,MSMonroe County,3,3
MS,Montgomery County,MSMontgomery County,3,3
MS,Neshoba County,MSNeshoba County,3,3
MS,Newton County,MSNewton County,3,3
MS,Noxubee County,MSNoxubee County,3,3
MS,Oktibbeha County,MSOktibbeha County,3,3
MS,Panola County,MSPanola County,3,2
MS,Pearl River County,MSPearl River County,1,3
MS,Perry County,MSPerry County,2,3
MS,Pike County,MSPike County,2,3
MS,Pontotoc County,MSPontotoc County,3,2
MS,Prentiss County,MSPrentiss County,3,2
MS,Quitman County,MSQuitman County,3,2
MS,Rankin County,MSRankin County,3,3
MS,Scott County,MSScott County,3,3
MS,Sharkey County,MSSharkey County,3,3
MS,Simpson County,MSSimpson County,3,3
MS,Smith County,MSSmith County,3,3
MS,Stone County,MSStone County,1,3
MS,Sunflower County,MSSunflower County,3,2
MS,Tallahatchie County,MSTallahatchie County,3,2
MS,Tate County,MSTate County,3,2
MS,Tippah County,MSTippah County,3,2
MS,Tishomingo County,MSTishomingo County,3,2
MS,Tunica County,MSTunica County,3,1
MS,Union County,MSUnion County,3,2
MS,Walthall County,MSWalthall County,2,3
MS,Warren County,MSWarren County,3,3
MS,Washington County,MSWashington County,3,3
MS,Wayne County,MSWayne County,3,3
MS,Webster County,MSWebster County,3,3
MS,Wilkinson County,MSWilkinson County,2,3
MS,Winston County,MSWinston County,3,3
MS,Yalobusha County,MSYalobusha County,3,2
MS,Yazoo County,MSYazoo County,3,3
MT,Beaverhead County,MTBeaverhead County,3,3
MT,Big Horn County,MTBig Horn County,3,3
MT,Blaine County,MTBlaine County,3,3
MT,Broadwater County,MTBroadwater County,3,3
MT,Carbon County,MTCarbon County,3,3
MT,Carter County,MTCarter County,3,3
MT,Cascade County,MTCascade County,3,3
MT,Chouteau County,MTChouteau County,3,3
MT,Custer County,MTCuster County,3,3
MT,Daniels County,MTDaniels County,3,3
MT,Dawson County,MTDawson County,3,3
MT,Deer Lodge County,MTDeer Lodge County,3,3
MT,Fallon County,MTFallon County,3,3
MT,Fergus County,MTFergus County,3,3
MT,Flathead County,MTFlathead County,3,3
MT,Gallatin County,MTGallatin County,3,3
MT,Garfield County,MTGarfield County,3,3
MT,Glacier County,MTGlacier County,3,3
MT,Golden Valley County,MTGolden Valley County,3,3
MT,Granite County,MTGranite County,3,3
MT,Hill County,MTHill County,3,3
MT,Jefferson County,MTJefferson County,3,3
MT,Judith Basin County,MTJudith Basin County,3,3
MT,Lake County,MTLake County,3,3
MT,Lewis And Clark County,MTLewis And Clark County,3,3
MT,Liberty County,MTLiberty County,3,3
MT,Lincoln County,MTLincoln County,3,3
MT,Madison County,MTMadison County,3,3
MT,Mccone County,MTMccone County,3,3
MT,Meagher County,MTMeagher County,3,3
MT,Mineral County,MTMineral County,3,3
MT,Missoula County,MTMissoula County,3,3
MT,Musselshell County,MTMusselshell County,3,3
MT,Park County,MTPark County,3,3
MT,Petroleum County,MTPetroleum County,3,3
MT,Phillips County,MTPhillips County,3,3
MT,Pondera County,MTPondera County,3,3
MT,Powder River County,MTPowder River County,3,3
MT,Powell County,MTPowell County,3,3
MT,Prairie County,MTPrairie County,3,3
MT,Ravalli County,MTRavalli County,3,3
MT,Richland County,MTRichland County,3,3
MT,Roosevelt County,MTRoosevelt County,3,3
MT,Rosebud County,MTRosebud County,3,3
MT,Sanders County,MTSanders County,3,3
MT,Sheridan County,MTSheridan County,3,3
MT,Silver Bow County,MTSilver Bow County,3,3
MT,Stillwater County,MTStillwater County,3,3
MT,Sweet Grass County,MTSweet Grass County,3,3
MT,Teton County,MTTeton County,3,3
MT,Toole County,MTToole County,3,3
MT,Treasure County,MTTreasure County,3,3
MT,Valley County,MTValley County,3,3
MT,Wheatland County,MTWheatland County,3,3
MT,Wibaux County,MTWibaux County,3,3
MT,Yellowstone County,MTYellowstone County,3,3
NC,Alamance County,NCAlamance County,3,3
NC,Alexander County,NCAlexander County,3,3
NC,Alleghany County,NCAlleghany County,3,3
NC,Anson County,NCAnson County,3,3
NC,Ashe County,NCAshe County,3,3
NC,Avery County,NCAvery County,3,3
NC,Beaufort County,NCBeaufort County,1,3
NC,Bertie County,NCBertie County,2,3
NC,Bladen County,NCBladen County,2,3
NC,Brunswick County,NCBrunswick County,1,3
NC,Buncombe County,NCBuncombe County,3,3
NC,Burke County,NCBurke County,3,3
NC,Cabarrus County,NCCabarrus County,3,3
NC,Caldwell County,NCCaldwell County,3,3
NC,Camden County,NCCamden County,1,3
NC,Carteret County,NCCarteret County,1,3
NC,Caswell County,NCCaswell County,3,3
NC,Catawba County,NCCatawba County,3,3
NC,Chatham County,NCChatham County,3,3
NC,Cherokee County,NCCherokee County,3,3
NC,Chowan County,NCChowan County,2,3
NC,Clay County,NCClay County,3,3
NC,Cleveland County,NCCleveland County,3,3
NC,Columbus County,NCColumbus County,1,3
NC,Craven County,NCCraven County,1,3
NC,Cumberland County,NCCumberland County,2,3
NC,Currituck County,NCCurrituck County,1,3
NC,Dare County,NCDare County,1,3
NC,Davidson County,NCDavidson County,3,3
NC,Davie County,NCDavie County,3,3
NC,Duplin County,NCDuplin County,2,3
NC,Durham County,NCDurham County,3,3
NC,Edgecombe County,NCEdgecombe County,2,3
NC,Forsyth County,NCForsyth County,3,3
NC,Franklin County,NCFranklin County,3,3
NC,Gaston County,NCGaston County,3,3
NC,Gates County,NCGates County,2,3
NC,Graham County,NCGraham County,3,3
NC,Granville County,NCGranville County,3,3
NC,Greene County,NCGreene County,2,3
NC,Guilford County,NCGuilford County,3,3
NC,Halifax County,NCHalifax County,3,3
NC,Harnett County,NCHarnett County,2,3
NC,Haywood County,NCHaywood County,3,3
NC,Henderson County,NCHenderson County,3,3
NC,Hertford County,NCHertford County,2,3
NC,Hoke County,NCHoke County,2,3
NC,Hyde County,NCHyde County,1,3
NC,Iredell County,NCIredell County,3,3
NC,Jackson County,NCJackson County,3,3
NC,Johnston County,NCJohnston County,2,3
NC,Jones County,NCJones County,1,3
NC,Lee County,NCLee County,3,3
NC,Lenoir County,NCLenoir County,2,3
NC,Lincoln County,NCLincoln County,3,3
NC,Macon County,NCMacon County,3,3
NC,Madison County,NCMadison County,3,3
NC,Martin County,NCMartin County,2,3
NC,Mcdowell County,NCMcdowell County,3,3
NC,Mecklenburg County,NCMecklenburg County,3,3
NC,Mitchell County,NCMitchell County,3,3
NC,Montgomery County,NCMontgomery County,3,3
NC,Moore County,NCMoore County,3,3
NC,Nash County,NCNash County,3,3
NC,New Hanover County,NCNew Hanover County,1,3
NC,Northampton County,NCNorthampton County,3,3
NC,Onslow County,NCOnslow County,1,3
NC,Orange County,NCOrange County,3,3
NC,Pamlico County,NCPamlico County,1,3
NC,Pasquotank County,NCPasquotank County,1,3
NC,Pender County,NCPender County,1,3
NC,Perquimans County,NCPerquimans County,2,3
NC,Person County,NCPerson County,3,3
NC,Pitt County,NCPitt County,2,3
NC,Polk County,NCPolk County,3,3
NC,Randolph County,NCRandolph County,3,3
NC,Richmond County,NCRichmond County,3,3
NC,Robeson County,NCRobeson County,2,3
NC,Rockingham County,NCRockingham County,3,3
NC,Rowan County,NCRowan County,3,3
NC,Rutherford County,NCRutherford County,3,3
NC,Sampson County,NCSampson County,2,3
NC,Scotland County,NCScotland County,2,3
NC,Stanly County,NCStanly County,3,3
NC,Stokes County,NCStokes County,3,3
NC,Surry County,NCSurry County,3,3
NC,Swain County,NCSwain County,3,3
NC,Transylvania County,NCTransylvania County,3,3
NC,Tyrrell County,NCTyrrell County,1,3
NC,Union County,NCUnion County,3,3
NC,Vance County,NCVance County,3,3
NC,Wake County,NCWake County,3,3
NC,Warren County,NCWarren County,3,3
NC,Washington County,NCWashington County,2,3
NC,Watauga County,NCWatauga County,3,3
NC,Wayne County,NCWayne County,2,3
NC,Wilkes County,NCWilkes County,3,3
NC,Wilson County,NCWilson County,2,3
NC,Yadkin County,NCYadkin County,3,3
NC,Yancey County,NCYancey County,3,3
ND,Adams County,NDAdams County,3,3
ND,Barnes County,NDBarnes County,3,3
ND,Benson County,NDBenson County,3,3
ND,Billings County,NDBillings County,3,3
ND,Bottineau County,NDBottineau County,3,3
ND,Bowman County,NDBowman County,3,3
ND,Burke County,NDBurke County,3,3
ND,Burleigh County,NDBurleigh County,3,3
ND,Cass County,NDCass County,3,3
ND,Cavalier County,NDCavalier County,3,3
ND,Dickey County,NDDickey County,3,3
ND,Divide County,NDDivide County,3,3
ND,Dunn County,NDDunn County,3,3
ND,Eddy County,NDEddy County,3,3
ND,Emmons County,NDEmmons County,3,3
ND,Foster County,NDFoster County,3,3
ND,Golden Valley County,NDGolden Valley County,3,3
ND,Grand Forks County,NDGrand Forks County,3,3
ND,Grant County,NDGrant County,3,3
ND,Griggs County,NDGriggs County,3,3
ND,Hettinger County,NDHettinger County,3,3
ND,Kidder County,NDKidder County,3,3
ND,Lamoure County,NDLamoure County,3,3
ND,Logan County,NDLogan County,3,3
ND,Mchenry County,NDMchenry County,3,3
ND,Mcintosh County,NDMcintosh County,3,3
ND,Mckenzie County,NDMckenzie County,3,3
ND,Mclean County,NDMclean County,3,3
ND,Mercer County,NDMercer County,3,3
ND,Morton County,NDMorton County,3,3
ND,Mountrail County,NDMountrail County,3,3
ND,Nelson County,NDNelson County,3,3
ND,Oliver County,NDOliver County,3,3
ND,Pembina County,NDPembina County,3,3
ND,Pierce County,NDPierce County,3,3
ND,Ramsey County,NDRamsey County,3,3
ND,Ransom County,NDRansom County,3,3
ND,Renville County,NDRenville County,3,3
ND,Richland County,NDRichland County,3,3
ND,Rolette County,NDRolette County,3,3
ND,Sargent County,NDSargent County,3,3
ND,Sheridan County,NDSheridan County,3,3
ND,Sioux County,NDSioux County,3,3
ND,Slope County,NDSlope County,3,3
ND,Stark County,NDStark County,3,3
ND,Steele County,NDSteele County,3,3
ND,Stutsman County,NDStutsman County,3,3
ND,Towner County,NDTowner County,3,3
ND,Traill County,NDTraill County,3,3
ND,Walsh County,NDWalsh County,3,3
ND,Ward County,NDWard County,3,3
ND,Wells County,NDWells County,3,3
ND,Williams County,NDWilliams County,3,3
NE,Adams County,NEAdams County,3,3
NE,Antelope County,NEAntelope County,3,3
NE,Arthur County,NEArthur County,3,3
NE,Banner County,NEBanner County,3,3
NE,Blaine County,NEBlaine County,3,3
NE,Boone County,NEBoone County,3,3
NE,Box Butte County,NEBox Butte County,3,3
NE,Boyd County,NEBoyd County,3,3
NE,Brown County,NEBrown County,3,3
NE,Buffalo County,NEBuffalo County,3,3
NE,Burt County,NEBurt County,3,3
NE,Butler County,NEButler County,3,3
NE,Cass County,NECass County,3,3
NE,Cedar County,NECedar County,3,3
NE,Chase County,NEChase County,3,3
NE,Cherry County,NECherry County,3,3
NE,Cheyenne County,NECheyenne County,3,3
NE,Clay County,NEClay County,3,3
NE,Colfax County,NEColfax County,3,3
NE,Cuming County,NECuming County,3,3
NE,Custer County,NECuster County,3,3
NE,Dakota County,NEDakota County,3,3
NE,Dawes County,NEDawes County,3,3
NE,Dawson County,NEDawson County,3,3
NE,Deuel County,NEDeuel County,3,3
NE,Dixon County,NEDixon County,3,3
NE,Dodge County,NEDodge County,3,3
NE,Douglas County,NEDouglas County,3,3
NE,Dundy County,NEDundy County,3,3
NE,Fillmore County,NEFillmore County,3,3
NE,Franklin County,NEFranklin County,3,3
NE,Frontier County,NEFrontier County,3,3
NE,Furnas County,NEFurnas County,3,3
NE,Gage County,NEGage County,3,3
NE,Garden County,NEGarden County,3,3
NE,Garfield County,NEGarfield County,3,3
NE,Gosper County,NEGosper County,3,3
NE,Grant County,NEGrant County,3,3
NE,Greeley County,NEGreeley County,3,3
NE,Hall County,NEHall County,3,3
NE,Hamilton County,NEHamilton County,3,3
NE,Harlan County,NEHarlan County,3,3
NE,Hayes County,NEHayes County,3,3
NE,Hitchcock County,NEHitchcock County,3,3
NE,Holt County,NEHolt County,3,3
NE,Hooker County,NEHooker County,3,3
NE,Howard County,NEHoward County,3,3
NE,Jefferson County,NEJefferson County,3,3
NE,Johnson County,NEJohnson County,3,3
NE,Kearney County,NEKearney County,3,3
NE,Keith County,NEKeith County,3,3
NE,Keya Paha County,NEKeya Paha County,3,3
NE,Kimball County,NEKimball County,3,3
NE,Knox County,NEKnox County,3,3
NE,Lancaster County,NELancaster County,3,3
NE,Lincoln County,NELincoln County,3,3
NE,Logan County,NELogan County,3,3
NE,Loup County,NELoup County,3,3
NE,Madison County,NEMadison County,3,3
NE,Mcpherson County,NEMcpherson County,3,3
NE,Merrick County,NEMerrick County,3,3
NE,Morrill County,NEMorrill County,3,3
NE,Nance County,NENance County,3,3
NE,Nemaha County,NENemaha County,3,3
NE,Nuckolls County,NENuckolls County,3,3
NE,Otoe County,NEOtoe County,3,3
NE,Pawnee County,NEPawnee County,3,3
NE,Perkins County,NEPerkins County,3,3
NE,Phelps County,NEPhelps County,3,3
NE,Pierce County,NEPierce County,3,3
NE,Platte County,NEPlatte County,3,3
NE,Polk County,NEPolk County,3,3
NE,Red Willow County,NERed Willow County,3,3
NE,Richardson County,NERichardson County,3,3
NE,Rock County,NERock County,3,3
NE,Saline County,NESaline County,3,3
NE,Sarpy County,NESarpy County,3,3
NE,Saunders County,NESaunders County,3,3
NE,Scotts Bluff County,NEScotts Bluff County,3,3
NE,Seward County,NESeward County,3,3
NE,Sheridan County,NESheridan County,3,3
NE,Sherman County,NESherman County,3,3
NE,Sioux County,NESioux County,3,3
NE,Stanton County,NEStanton County,3,3
NE,Thayer County,NEThayer County,3,3
NE,Thomas County,NEThomas County,3,3
NE,Thurston County,NEThurston County,3,3
NE,Valley County,NEValley County,3,3
NE,Washington County,NEWashington County,3,3
NE,Wayne County,NEWayne County,3,3
NE,Webster County,NEWebster County,3,3
NE,Wheeler County,NEWheeler County,3,3
NE,York County,NEYork County,3,3
NH,Belknap County,NHBelknap County,2,3
NH,Carroll County,NHCarroll County,2,3
NH,Cheshire County,NHCheshire County,2,3
NH,Coos County,NHCoos County,3,3
NH,Grafton County,NHGrafton County,3,3
NH,Hillsborough County,NHHillsborough County,2,3
NH,Merrimack County,NHMerrimack County,2,3
NH,Rockingham County,NHRockingham County,1,3
NH,Strafford County,NHStrafford County,2,3
NH,Sullivan County,NHSullivan County,3,3
NJ,Atlantic County,NJAtlantic County,1,3
NJ,Bergen County,NJBergen County,2,3
NJ,Burlington County,NJBurlington County,2,3
NJ,Camden County,NJCamden County,2,3
NJ,Cape May County,NJCape May County,1,3
NJ,Cumberland County,NJCumberland County,1,3
NJ,Essex County,NJEssex County,2,3
NJ,Gloucester County,NJGloucester County,2,3
NJ,Hudson County,NJHudson County,1,3
NJ,Hunterdon County,NJHunterdon County,2,3
NJ,Mercer County,NJMercer County,2,3
NJ,Middlesex County,NJMiddlesex County,2,3
NJ,Monmouth County,NJMonmouth County,1,3
NJ,Morris County,NJMorris County,2,3
NJ,Ocean County,NJOcean County,1,3
NJ,Passaic County,NJPassaic County,2,3
NJ,Salem County,NJSalem County,1,3
NJ,Somerset County,NJSomerset County,2,3
NJ,Sussex County,NJSussex County,3,3
NJ,Union County,NJUnion County,2,3
NJ,Warren County,NJWarren County,3,3
NM,Bernalillo County,NMBernalillo County,3,3
NM,Catron County,NMCatron County,3,3
NM,Chaves County,NMChaves County,3,3
NM,Cibola County,NMCibola County,3,3
NM,Colfax County,NMColfax County,3,3
NM,Curry County,NMCurry County,3,3
NM,Debaca County,NMDebaca County,3,3
NM,Dona Ana County,NMDona Ana County,3,3
NM,Eddy County,NMEddy County,3,3
NM,Grant County,NMGrant County,3,3
NM,Guadalupe County,NMGuadalupe County,3,3
NM,Harding County,NMHarding County,3,3
NM,Hidalgo County,NMHidalgo County,3,3
NM,Lea County,NMLea County,3,3
NM,Lincoln County,NMLincoln County,3,3
NM,Los Alamos County,NMLos Alamos County,3,3
NM,Luna County,NMLuna County,3,3
NM,Mckinley County,NMMckinley County,3,3
NM,Mora County,NMMora County,3,3
NM,Otero County,NMOtero County,3,3
NM,Quay County,NMQuay County,3,3
NM,Rio Arriba County,NMRio Arriba County,3,3
NM,Roosevelt County,NMRoosevelt County,3,3
NM,San Juan County,NMSan Juan County,3,3
NM,San Miguel County,NMSan Miguel County,3,3
NM,Sandoval County,NMSandoval County,3,3
NM,Santa Fe County,NMSanta Fe County,3,3
NM,Sierra County,NMSierra County,3,3
NM,Socorro County,NMSocorro County,3,3
NM,Taos County,NMTaos County,3,3
NM,Torrance County,NMTorrance County,3,3
NM,Union County,NMUnion County,3,3
NM,Valencia County,NMValencia County,3,3
NV,Carson City,NVCarson City,3,3
NV,Churchill County,NVChurchill County,3,3
NV,Clark County,NVClark County,3,3
NV,Douglas County,NVDouglas County,3,3
NV,Elko County,NVElko County,3,3
NV,Esmeralda County,NVEsmeralda County,3,3
NV,Eureka County,NVEureka County,3,3
NV,Humboldt County,NVHumboldt County,3,3
NV,Lander County,NVLander County,3,3
NV,Lincoln County,NVLincoln County,3,3
NV,Lyon County,NVLyon County,3,3
NV,Mineral County,NVMineral County,3,3
NV,Nye County,NVNye County,3,3
NV,Pershing County,NVPershing County,3,3
NV,Storey County,NVStorey County,3,3
NV,Washoe County,NVWashoe County,3,3
NV,White Pine County,NVWhite Pine County,3,3
NY,Albany County,NYAlbany County,3,3
NY,Allegany County,NYAllegany County,3,3
NY,Bronx County,NYBronx County,1,3
NY,Broome County,NYBroome County,3,3
NY,Cattaraugus County,NYCattaraugus County,3,3
NY,Cayuga County,NYCayuga County,3,3
NY,Chautauqua County,NYChautauqua County,3,3
NY,Chemung County,NYChemung County,3,3
NY,Chenango County,NYChenango County,3,3
NY,Clinton County,NYClinton County,3,3
NY,Columbia County,NYColumbia County,3,3
NY,Cortland County,NYCortland County,3,3
NY,Delaware County,NYDelaware County,3,3
NY,Dutchess County,NYDutchess County,2,3
NY,Erie County,NYErie County,3,3
NY,Essex County,NYEssex County,3,3
NY,Franklin County,NYFranklin County,3,3
NY,Fulton County,NYFulton County,3,3
NY,Genesee County,NYGenesee County,3,3
NY,Greene County,NYGreene County,3,3
