Zip,State,County,Wildfire,Flood,Tornado,Hail
01229,MA,BERKSHIRE COUNTY,1,3,0.1 - 0.2,0.1 - 0.2
01230,MA,BERKSHIRE COUNTY,1,2,0.1 - 0.2,0.1 - 0.2
01235,MA,BERKSHIRE COUNTY,1,2,0.1 - 0.2,0.1 - 0.2
01236,MA,BERKSHIRE COUNTY,1,5,0.1 - 0.2,0.1 - 0.2
01237,MA,BERKSHIRE COUNTY,1,2,0.1 - 0.2,0.1 - 0.2
01238,MA,BERKSHIRE COUNTY,1,10,0.1 - 0.2,0.1 - 0.2
01240,MA,BERKSHIRE COUNTY,1,2,0.1 - 0.2,0.1 - 0.2
01242,MA,BERKSHIRE COUNTY,1,8,0.1 - 0.2,0.1 - 0.2
01243,MA,HAMPSHIRE COUNTY,1,1,0.1 - 0.2,0.1 - 0.2
01244,MA,BERKSHIRE COUNTY,1,9,0.2 - 0.35,0.1 - 0.2
01245,MA,BERKSHIRE COUNTY,1,2,0.1 - 0.2,0.1 - 0.2
01247,MA,BERKSHIRE COUNTY,1,10,0.1 - 0.2,0.1 - 0.2
01252,MA,BERKSHIRE COUNTY,1,6,0.1 - 0.2,0.1 - 0.2
01253,MA,BERKSHIRE COUNTY,1,2,0.1 - 0.2,0.1 - 0.2
01254,MA,BERKSHIRE COUNTY,1,2,0.1 - 0.2,0.1 - 0.2
01255,MA,BERKSHIRE COUNTY,1,1,0.2 - 0.35,0.1 - 0.2
01256,MA,BERKSHIRE COUNTY,1,1,0.1 - 0.2,0.1 - 0.2
01257,MA,BERKSHIRE COUNTY,1,3,0.2 - 0.35,0.1 - 0.2
01258,MA,BERKSHIRE COUNTY,1,2,0.1 - 0.2,0.1 - 0.2
01259,MA,BERKSHIRE COUNTY,1,1,0.2 - 0.35,0.1 - 0.2
01260,MA,BERKSHIRE COUNTY,1,1,0.1 - 0.2,0.1 - 0.2
01262,MA,BERKSHIRE COUNTY,1,4,0.1 - 0.2,0.1 - 0.2
01263,MA,BERKSHIRE COUNTY,1,2,0.1 - 0.2,0.1 - 0.2
01264,MA,BERKSHIRE COUNTY,1,2,0.1 - 0.2,0.1 - 0.2
01266,MA,BERKSHIRE COUNTY,1,2,0.1 - 0.2,0.1 - 0.2
01267,MA,BERKSHIRE COUNTY,1,7,0.1 - 0.2,0.1 - 0.2
01270,MA,BERKSHIRE COUNTY,1,1,0.1 - 0.2,0.1 - 0.2
01301,MA,FRANKLIN COUNTY,1,1,0.1 - 0.2,0.1 - 0.2
01302,MA,FRANKLIN COUNTY,1,1,0.1 - 0.2,0.1 - 0.2
01330,MA,FRANKLIN COUNTY,1,2,0.1 - 0.2,0.1 - 0.2
01331,MA,WORCESTER COUNTY,1,4,0.1 - 0.2,0.1 - 0.2
01337,MA,FRANKLIN COUNTY,1,1,0.1 - 0.2,0.1 - 0.2
01338,MA,FRANKLIN COUNTY,1,10,0.1 - 0.2,0.1 - 0.2
01339,MA,FRANKLIN COUNTY,1,1,0.1 - 0.2,0.1 - 0.2
01340,MA,FRANKLIN COUNTY,1,2,0.1 - 0.2,0.1 - 0.2
01341,MA,FRANKLIN COUNTY,1,1,0.1 - 0.2,0.1 - 0.2
01342,MA,FRANKLIN COUNTY,1,1,0.1 - 0.2,0.1 - 0.2
01343,MA,BERKSHIRE COUNTY,1,2,0.1 - 0.2,0.1 - 0.2
01344,MA,FRANKLIN COUNTY,1,1,0.1 - 0.2,0.1 - 0.2
01346,MA,FRANKLIN COUNTY,1,2,0.1 - 0.2,0.1 - 0.2
01347,MA,FRANKLIN COUNTY,1,1,0.1 - 0.2,0.1 - 0.2
01349,MA,FRANKLIN COUNTY,1,2,0.1 - 0.2,0.1 - 0.2
01350,MA,FRANKLIN COUNTY,1,10,0.1 - 0.2,0.1 - 0.2
01351,MA,FRANKLIN COUNTY,1,2,0.1 - 0.2,0.1 - 0.2
