Country,Statecode,County,StateCounty,HA Buildings,HA Contents,HA BI
US,CO,Las Animas County,COLas Animas County,0.000297654,2.97654E-06,7.73899E-05
US,CO,Lincoln County,COLincoln County,0.001148131,1.14813E-05,0.000298514
US,CO,Logan County,COLogan County,0.004992189,4.99219E-05,0.001297969
US,CO,Mesa County,COMesa County,8.03124E-05,8.03124E-07,2.08812E-05
US,CO,Mineral County,COMineral County,6.48963E-05,6.48963E-07,1.6873E-05
US,CO,Moffat County,COMoffat County,8.52943E-05,8.52943E-07,2.21765E-05
US,CO,Montezuma County,COMontezuma County,6.97943E-05,6.97943E-07,1.81465E-05
US,CO,Montrose County,COMontrose County,6.62894E-05,6.62894E-07,1.72352E-05
US,CO,Morgan County,COMorgan County,0.001792155,1.79216E-05,0.00046596
US,CO,Otero County,COOtero County,0.000573903,5.73903E-06,0.000149215
US,CO,Ouray County,COOuray County,6.71927E-05,6.71927E-07,1.74701E-05
US,CO,Park County,COPark County,8.36873E-05,8.36873E-07,2.17587E-05
US,CO,Phillips County,COPhillips County,0.005666983,5.66698E-05,0.001473416
US,CO,Pitkin County,COPitkin County,6.87832E-05,6.87832E-07,1.78836E-05
US,CO,Prowers County,COProwers County,0.000449842,4.49842E-06,0.000116959
US,CO,Pueblo County,COPueblo County,0.000211815,2.11815E-06,5.50719E-05
US,CO,Rio Blanco County,CORio Blanco County,8.5211E-05,8.5211E-07,2.21549E-05
US,CO,Rio Grande County,CORio Grande County,7.11239E-05,7.11239E-07,1.84922E-05
US,CO,Routt County,CORoutt County,0.000121423,1.21423E-06,3.157E-05
US,CO,Saguache County,COSaguache County,7.44395E-05,7.44395E-07,1.93543E-05
US,CO,San Juan County,COSan Juan County,7.74055E-05,7.74055E-07,2.01254E-05
US,CO,San Miguel County,COSan Miguel County,6.4142E-05,6.4142E-07,1.66769E-05
US,CO,Sedgwick County,COSedgwick County,0.005569286,5.56929E-05,0.001448014
US,CO,Summit County,COSummit County,0.000100276,1.00276E-06,2.60718E-05
US,CO,Teller County,COTeller County,0.000136297,1.36297E-06,3.54372E-05
US,CO,Washington County,COWashington County,0.002093391,2.09339E-05,0.000544282
US,CO,Weld County,COWeld County,0.001867409,1.86741E-05,0.000485526
US,CO,Yuma County,COYuma County,0.00367909,3.67909E-05,0.000956563
US,CT,Fairfield County,CTFairfield County,2.65034E-05,2.65034E-07,6.89088E-06
US,CT,Hartford County,CTHartford County,3.85138E-05,3.85138E-07,1.00136E-05
US,CT,Litchfield County,CTLitchfield County,3.66866E-05,3.66866E-07,9.53851E-06
US,CT,Middlesex County,CTMiddlesex County,3.62633E-05,3.62633E-07,9.42845E-06
US,CT,New Haven County,CTNew Haven County,3.31023E-05,3.31023E-07,8.60659E-06
US,CT,New London County,CTNew London County,4.12318E-05,4.12318E-07,1.07203E-05
US,CT,Tolland County,CTTolland County,3.7309E-05,3.7309E-07,9.70033E-06
US,CT,Windham County,CTWindham County,3.86424E-05,3.86424E-07,1.0047E-05
US,DC,District of Columbia,DCDistrict of Columbia,1.90465E-05,1.90465E-07,4.95208E-06
US,DE,Kent County,DEKent County,3.75813E-05,3.75813E-07,9.77115E-06
US,DE,New Castle County,DENew Castle County,4.62057E-05,4.62057E-07,1.20135E-05
US,DE,Sussex County,DESussex County,3.11998E-05,3.11998E-07,8.11195E-06
US,FL,Alachua County,FLAlachua County,2.46063E-05,2.46063E-07,6.39765E-06
US,FL,Baker County,FLBaker County,2.715E-05,2.715E-07,7.059E-06
US,FL,Bay County,FLBay County,2.3499E-05,2.3499E-07,6.10975E-06
US,FL,Bradford County,FLBradford County,2.54076E-05,2.54076E-07,6.60597E-06
US,FL,Brevard County,FLBrevard County,1.71349E-05,1.71349E-07,4.45508E-06
US,FL,Broward County,FLBroward County,1.40914E-05,1.40914E-07,3.66377E-06
US,FL,Calhoun County,FLCalhoun County,2.2856E-05,2.2856E-07,5.94257E-06
US,FL,Charlotte County,FLCharlotte County,1.58475E-05,1.58475E-07,4.12034E-06
US,FL,Citrus County,FLCitrus County,2.06425E-05,2.06425E-07,5.36706E-06
US,FL,Clay County,FLClay County,2.52744E-05,2.52744E-07,6.57134E-06
US,FL,Collier County,FLCollier County,1.4059E-05,1.4059E-07,3.65534E-06
US,FL,Columbia County,FLColumbia County,2.69358E-05,2.69358E-07,7.00332E-06
US,FL,Desoto County,FLDesoto County,1.61148E-05,1.61148E-07,4.18984E-06
US,FL,Dixie County,FLDixie County,2.54284E-05,2.54284E-07,6.61138E-06
US,FL,Duval County,FLDuval County,2.75203E-05,2.75203E-07,7.15527E-06
US,FL,Escambia County,FLEscambia County,2.66549E-05,2.66549E-07,6.93027E-06
