country,risk_name,historic_updated_value,historic_updated_date
AE,Recession,2.9,2016-11-10
AE,Recession,2.7,2016-08-09
AE,Recession,2.6,2016-05-10
AE,Recession,2.3,2016-02-09
AE,Recession,2,2015-11-10
AE,Recession,1.9,2015-08-11
AE,Recession,1.8,2015-05-13
AE,Recession,1.6,2015-02-09
AE,RegulatoryBurden,1.9,2024-11-06
AE,RegulatoryBurden,1.8,2023-01-26
AE,RegulatoryBurden,1.8,2021-12-07
AE,RegulatoryBurden,1.9,2020-11-30
AE,RegulatoryBurden,2.1,2020-03-31
AE,RegulatoryBurden,2.2,2019-10-21
AE,RegulatoryBurden,2.4,2018-05-29
AE,RegulatoryBurden,2.6,2017-09-18
AE,RegulatoryBurden,2.5,2017-06-12
AE,RegulatoryBurden,2.4,2016-08-29
AE,RegulatoryBurden,1.6,2016-08-08
AE,Security,1.5,2022-09-23
AE,Security,1.6,2022-01-18
AE,Security,1.5,2020-09-18
AE,Security,1.6,2020-05-11
AE,Security,1.5,2020-01-07
AE,Security,1.3,2019-10-21
AE,Security,1.4,2019-06-17
AE,Security,1.3,2016-08-08
AE,SovereignDefault,0.1,2021-07-13
AE,StateFailure,1.4,2023-01-25
AE,StateFailure,1.8,2020-11-30
AE,StateFailure,1.8,2020-06-23
AE,StateFailure,1.5,2020-06-15
AE,StateFailure,1.5,2020-03-31
AE,StateFailure,0.9,2019-11-11
AE,StateFailure,0.9,2018-09-24
AE,StateFailure,1,2016-05-31
AE,StrategicOverall,1.5,2023-03-09
AE,StrategicOverall,1.6,2022-09-23
AE,StrategicOverall,1.7,2022-05-06
AE,StrategicOverall,1.8,2022-02-02
AE,StrategicOverall,1.7,2021-11-05
AE,StrategicOverall,1.6,2021-05-06
AE,StrategicOverall,1.7,2020-09-18
AE,StrategicOverall,1.8,2020-08-06
AE,StrategicOverall,1.9,2020-05-11
AE,StrategicOverall,1.8,2020-05-05
AE,StrategicOverall,1.9,2020-04-23
AE,StrategicOverall,1.7,2020-03-23
AE,StrategicOverall,1.6,2020-01-31
AE,StrategicOverall,1.5,2019-11-11
AE,StrategicOverall,1.4,2019-10-21
AE,StrategicOverall,1.5,2018-05-29
AE,StrategicOverall,1.6,2017-06-12
AE,StrategicOverall,1.5,2017-05-09
AE,StrategicOverall,1.6,2016-08-29
AE,StrategicOverall,1.5,2016-08-08
AE,StrategicOverall,1.4,2016-04-11
AE,Tax,1.7,2023-01-26
AE,Tax,1.6,2022-09-14
AE,Tax,1.7,2022-01-31
AE,Tax,1.6,2021-10-12
AE,Tax,1.7,2020-11-30
AE,Tax,1.8,2020-06-15
AE,Tax,1.7,2020-03-31
AE,Tax,1.8,2019-11-11
AE,Tax,1.7,2019-10-21
AE,Tax,1.8,2018-03-19
AE,Tax,1.9,2017-06-12
