"Path","Name","Type","Mode","Optionality","Label","Default Value"
"cds/exposure/granular/kansas/factor","factor","float","output","n/a","Factor","n/a"
"cds/exposure/granular/kansas/percentage","percentage","float","input","required","Venue Split","0"
"cds/exposure/granular/kansas/selection","selection","bool","input","required","Venue Selection","False"
"cds/exposure/granular/kansas/percentage_output_copy","percentage_output_copy","float","output","n/a","Percentage Output Copy","n/a"
"cds/exposure/granular/kansas/percentage_async_copy","percentage_async_copy","float","output","n/a","Percentage Async Copy","n/a"
"cds/exposure/granular/kansas/override_flag","override_flag","bool","output","n/a","Override Flag","n/a"
"cds/exposure/granular/kansas","kansas","structure","n/a","n/a","n/a","n/a"
"cds/exposure/granular/kentucky/factor","factor","float","output","n/a","Factor","n/a"
"cds/exposure/granular/kentucky/percentage","percentage","float","input","required","Venue Split","0"
"cds/exposure/granular/kentucky/selection","selection","bool","input","required","Venue Selection","False"
"cds/exposure/granular/kentucky/percentage_output_copy","percentage_output_copy","float","output","n/a","Percentage Output Copy","n/a"
"cds/exposure/granular/kentucky/percentage_async_copy","percentage_async_copy","float","output","n/a","Percentage Async Copy","n/a"
"cds/exposure/granular/kentucky/override_flag","override_flag","bool","output","n/a","Override Flag","n/a"
"cds/exposure/granular/kentucky","kentucky","structure","n/a","n/a","n/a","n/a"
"cds/exposure/granular/louisiana/factor","factor","float","output","n/a","Factor","n/a"
"cds/exposure/granular/louisiana/percentage","percentage","float","input","required","Venue Split","0"
"cds/exposure/granular/louisiana/selection","selection","bool","input","required","Venue Selection","False"
"cds/exposure/granular/louisiana/percentage_output_copy","percentage_output_copy","float","output","n/a","Percentage Output Copy","n/a"
"cds/exposure/granular/louisiana/percentage_async_copy","percentage_async_copy","float","output","n/a","Percentage Async Copy","n/a"
"cds/exposure/granular/louisiana/override_flag","override_flag","bool","output","n/a","Override Flag","n/a"
"cds/exposure/granular/louisiana","louisiana","structure","n/a","n/a","n/a","n/a"
"cds/exposure/granular/massachusetts/factor","factor","float","output","n/a","Factor","n/a"
"cds/exposure/granular/massachusetts/percentage","percentage","float","input","required","Venue Split","0"
"cds/exposure/granular/massachusetts/selection","selection","bool","input","required","Venue Selection","False"
"cds/exposure/granular/massachusetts/percentage_output_copy","percentage_output_copy","float","output","n/a","Percentage Output Copy","n/a"
"cds/exposure/granular/massachusetts/percentage_async_copy","percentage_async_copy","float","output","n/a","Percentage Async Copy","n/a"
"cds/exposure/granular/massachusetts/override_flag","override_flag","bool","output","n/a","Override Flag","n/a"
"cds/exposure/granular/massachusetts","massachusetts","structure","n/a","n/a","n/a","n/a"
"cds/exposure/granular/maryland_counties/factor","factor","float","output","n/a","Factor","n/a"
"cds/exposure/granular/maryland_counties/percentage","percentage","float","input","required","Venue Split","0"
"cds/exposure/granular/maryland_counties/selection","selection","bool","input","required","Venue Selection","False"
"cds/exposure/granular/maryland_counties/percentage_output_copy","percentage_output_copy","float","output","n/a","Percentage Output Copy","n/a"
"cds/exposure/granular/maryland_counties/percentage_async_copy","percentage_async_copy","float","output","n/a","Percentage Async Copy","n/a"
"cds/exposure/granular/maryland_counties/override_flag","override_flag","bool","output","n/a","Override Flag","n/a"
"cds/exposure/granular/maryland_counties","maryland_counties","structure","n/a","n/a","n/a","n/a"
"cds/exposure/granular/maryland_rest/factor","factor","float","output","n/a","Factor","n/a"
"cds/exposure/granular/maryland_rest/percentage","percentage","float","input","required","Venue Split","0"
"cds/exposure/granular/maryland_rest/selection","selection","bool","input","required","Venue Selection","False"
"cds/exposure/granular/maryland_rest/percentage_output_copy","percentage_output_copy","float","output","n/a","Percentage Output Copy","n/a"
"cds/exposure/granular/maryland_rest/percentage_async_copy","percentage_async_copy","float","output","n/a","Percentage Async Copy","n/a"
"cds/exposure/granular/maryland_rest/override_flag","override_flag","bool","output","n/a","Override Flag","n/a"
"cds/exposure/granular/maryland_rest","maryland_rest","structure","n/a","n/a","n/a","n/a"
"cds/exposure/granular/maine/factor","factor","float","output","n/a","Factor","n/a"
"cds/exposure/granular/maine/percentage","percentage","float","input","required","Venue Split","0"
"cds/exposure/granular/maine/selection","selection","bool","input","required","Venue Selection","False"
"cds/exposure/granular/maine/percentage_output_copy","percentage_output_copy","float","output","n/a","Percentage Output Copy","n/a"
"cds/exposure/granular/maine/percentage_async_copy","percentage_async_copy","float","output","n/a","Percentage Async Copy","n/a"
"cds/exposure/granular/maine/override_flag","override_flag","bool","output","n/a","Override Flag","n/a"
"cds/exposure/granular/maine","maine","structure","n/a","n/a","n/a","n/a"
"cds/exposure/granular/michigan_rest/factor","factor","float","output","n/a","Factor","n/a"
"cds/exposure/granular/michigan_rest/percentage","percentage","float","input","required","Venue Split","0"
"cds/exposure/granular/michigan_rest/selection","selection","bool","input","required","Venue Selection","False"
"cds/exposure/granular/michigan_rest/percentage_output_copy","percentage_output_copy","float","output","n/a","Percentage Output Copy","n/a"
"cds/exposure/granular/michigan_rest/percentage_async_copy","percentage_async_copy","float","output","n/a","Percentage Async Copy","n/a"
"cds/exposure/granular/michigan_rest/override_flag","override_flag","bool","output","n/a","Override Flag","n/a"
"cds/exposure/granular/michigan_rest","michigan_rest","structure","n/a","n/a","n/a","n/a"
"cds/exposure/granular/michigan_counties/factor","factor","float","output","n/a","Factor","n/a"
"cds/exposure/granular/michigan_counties/percentage","percentage","float","input","required","Venue Split","0"
"cds/exposure/granular/michigan_counties/selection","selection","bool","input","required","Venue Selection","False"
"cds/exposure/granular/michigan_counties/percentage_output_copy","percentage_output_copy","float","output","n/a","Percentage Output Copy","n/a"
"cds/exposure/granular/michigan_counties/percentage_async_copy","percentage_async_copy","float","output","n/a","Percentage Async Copy","n/a"
"cds/exposure/granular/michigan_counties/override_flag","override_flag","bool","output","n/a","Override Flag","n/a"
"cds/exposure/granular/michigan_counties","michigan_counties","structure","n/a","n/a","n/a","n/a"
"cds/exposure/granular/minnesota_counties/factor","factor","float","output","n/a","Factor","n/a"
"cds/exposure/granular/minnesota_counties/percentage","percentage","float","input","required","Venue Split","0"
"cds/exposure/granular/minnesota_counties/selection","selection","bool","input","required","Venue Selection","False"
"cds/exposure/granular/minnesota_counties/percentage_output_copy","percentage_output_copy","float","output","n/a","Percentage Output Copy","n/a"
"cds/exposure/granular/minnesota_counties/percentage_async_copy","percentage_async_copy","float","output","n/a","Percentage Async Copy","n/a"
"cds/exposure/granular/minnesota_counties/override_flag","override_flag","bool","output","n/a","Override Flag","n/a"
"cds/exposure/granular/minnesota_counties","minnesota_counties","structure","n/a","n/a","n/a","n/a"
"cds/exposure/granular/minnesota_rest/factor","factor","float","output","n/a","Factor","n/a"
"cds/exposure/granular/minnesota_rest/percentage","percentage","float","input","required","Venue Split","0"
"cds/exposure/granular/minnesota_rest/selection","selection","bool","input","required","Venue Selection","False"
"cds/exposure/granular/minnesota_rest/percentage_output_copy","percentage_output_copy","float","output","n/a","Percentage Output Copy","n/a"
"cds/exposure/granular/minnesota_rest/percentage_async_copy","percentage_async_copy","float","output","n/a","Percentage Async Copy","n/a"
"cds/exposure/granular/minnesota_rest/override_flag","override_flag","bool","output","n/a","Override Flag","n/a"
"cds/exposure/granular/minnesota_rest","minnesota_rest","structure","n/a","n/a","n/a","n/a"
"cds/exposure/granular/missouri_rest/factor","factor","float","output","n/a","Factor","n/a"
"cds/exposure/granular/missouri_rest/percentage","percentage","float","input","required","Venue Split","0"
"cds/exposure/granular/missouri_rest/selection","selection","bool","input","required","Venue Selection","False"
"cds/exposure/granular/missouri_rest/percentage_output_copy","percentage_output_copy","float","output","n/a","Percentage Output Copy","n/a"
"cds/exposure/granular/missouri_rest/percentage_async_copy","percentage_async_copy","float","output","n/a","Percentage Async Copy","n/a"
"cds/exposure/granular/missouri_rest/override_flag","override_flag","bool","output","n/a","Override Flag","n/a"
"cds/exposure/granular/missouri_rest","missouri_rest","structure","n/a","n/a","n/a","n/a"
"cds/exposure/granular/missouri_counties/factor","factor","float","output","n/a","Factor","n/a"
"cds/exposure/granular/missouri_counties/percentage","percentage","float","input","required","Venue Split","0"
"cds/exposure/granular/missouri_counties/selection","selection","bool","input","required","Venue Selection","False"
