StateCode,StateName,ZIP,County
AL,Alabama,36855,Chambers
AL,Alabama,36856,Russell
AL,Alabama,36858,Russell
AL,Alabama,36859,Russell
AL,Alabama,36860,Russell
AL,Alabama,36861,Tallapoosa
AL,Alabama,36862,Chambers
AL,Alabama,36863,Chambers
AL,Alabama,36865,Lee
AL,Alabama,36866,Macon
AL,Alabama,36867,Russell
AL,Alabama,36868,Russell
AL,Alabama,36869,Russell
AL,Alabama,36870,Lee
AL,Alabama,36871,Russell
AL,Alabama,36872,Chambers
AL,Alabama,36874,Lee
AL,Alabama,36875,Russell
AL,Alabama,36877,Lee
AL,Alabama,36879,Lee
AL,Alabama,36901,Sumter
AL,Alabama,36904,Choctaw
AL,Alabama,36907,Sumter
AL,Alabama,36908,Choctaw
AL,Alabama,36910,Choctaw
AL,Alabama,36912,Choctaw
AL,Alabama,36913,Choctaw
AL,Alabama,36915,Choctaw
AL,Alabama,36916,Choctaw
AL,Alabama,36919,Choctaw
AL,Alabama,36921,Choctaw
AL,Alabama,36922,Sumter
AL,Alabama,36925,Sumter
AK,Alaska,99501,Anchorage Borough
AK,Alaska,99502,Anchorage Borough
AK,Alaska,99503,Anchorage Borough
AK,Alaska,99504,Anchorage Borough
AK,Alaska,99505,Anchorage Borough
AK,Alaska,99506,Anchorage Borough
AK,Alaska,99507,Anchorage Borough
AK,Alaska,99508,Anchorage Borough
AK,Alaska,99509,Municipality of Anchorage
AK,Alaska,99510,Municipality of Anchorage
AK,Alaska,99511,Municipality of Anchorage
AK,Alaska,99513,Municipality of Anchorage
