Sex and Country,Age,SCA,Value
FPuerto Rico,15,FPuerto Rico15,0.783595207
FQatar,15,FQatar15,1.001227899
FRomania,15,FRomania15,0.87586444
FRussian Federation,15,FRussian Federation15,0.738032542
FRwanda,15,FRwanda15,0.85111641
FRéunion,15,FRéunion15,0.85111641
FSaint Barthélemy,15,FSaint Barthélemy15,0.783595207
FSaint Helena,15,FSaint Helena15,0.559636639
FSaint Kitts And Nevis,15,FSaint Kitts And Nevis15,0.783595207
FSaint Lucia,15,FSaint Lucia15,0.783595207
FSaint Martin,15,FSaint Martin15,0.783595207
FSaint Pierre And Miquelon,15,FSaint Pierre And Miquelon15,1.128648963
FSaint Vincent And The Grenadines,15,FSaint Vincent And The Grenadines15,0.783595207
FSamoa,15,FSamoa15,0.701076625
FSan Marino,15,FSan Marino15,1.368711991
FSao Tome and Principe,15,FSao Tome and Principe15,0.559636639
FSaudi Arabia,15,FSaudi Arabia15,0.666798126
FSenegal,15,FSenegal15,0.559636639
FSerbia,15,FSerbia15,0.934169711
FSeychelles,15,FSeychelles15,0.85111641
FSierra Leone,15,FSierra Leone15,0.559636639
FSingapore,15,FSingapore15,0.815593808
FSlovakia,15,FSlovakia15,0.727839984
FSlovenia,15,FSlovenia15,1.025736533
FSolomon Islands,15,FSolomon Islands15,0.701076625
FSomalia,15,FSomalia15,0.85111641
FSouth Africa,15,FSouth Africa15,0.410541808
FSouth Georgia and the South Sandwich Islands,15,FSouth Georgia and the South Sandwich Islands15,0.410541808
FSpain,15,FSpain15,0.90140208
FSri Lanka,15,FSri Lanka15,0.441108064
FSudan,15,FSudan15,0.559636639
FSuriname,15,FSuriname15,0.838623116
FSvalbard And Jan Mayen,15,FSvalbard And Jan Mayen15,1.085058715
FSwaziland,15,FSwaziland15,0.410541808
FSweden,15,FSweden15,0.968924824
FSwitzerland,15,FSwitzerland15,1.082800987
FSyrian Arab Republic,15,FSyrian Arab Republic15,0.820988585
"FTaiwan, Province Of China",15,"FTaiwan, Province Of China15",0.611285744
FTajikistan,15,FTajikistan15,0.441108064
"FTanzania, United Republic of",15,"FTanzania, United Republic of15",0.85111641
FThailand,15,FThailand15,0.521818786
FTimor-Leste,15,FTimor-Leste15,0.815593808
FTogo,15,FTogo15,0.559636639
FTokelau,15,FTokelau15,0.701076625
FTonga,15,FTonga15,0.701076625
FTrinidad and Tobago,15,FTrinidad and Tobago15,0.783595207
FTunisia,15,FTunisia15,0.496396399
FTurkey,15,FTurkey15,0.829665814
FTurkmenistan,15,FTurkmenistan15,0.441108064
FTurks and Caicos Islands,15,FTurks and Caicos Islands15,0.783595207
FTuvalu,15,FTuvalu15,0.701076625
FUganda,15,FUganda15,0.85111641
FUkraine,15,FUkraine15,0.896437467
FUnited Arab Emirates,15,FUnited Arab Emirates15,0.666798126
FUnited Kingdom,15,FUnited Kingdom15,1
FUnited States,15,FUnited States15,1.206355538
FUnited States Minor Outlying Islands,15,FUnited States Minor Outlying Islands15,1.206355538
FUruguay,15,FUruguay15,0.946708066
FUzbekistan,15,FUzbekistan15,0.441108064
FVanuatu,15,FVanuatu15,0.701076625
FVenezuela,15,FVenezuela15,0.838623116
Fvietnam,15,Fvietnam15,0.815593808
"FVirgin Islands, British",15,"FVirgin Islands, British15",0.783595207
"FVirgin Islands, U.S.",15,"FVirgin Islands, U.S.15",0.783595207
FWallis and Futuna,15,FWallis and Futuna15,0.701076625
FWestern Sahara,15,FWestern Sahara15,0.559636639
FYemen,15,FYemen15,0.666798126
FZambia,15,FZambia15,0.85111641
FZimbabwe,15,FZimbabwe15,0.640359544
FÅland Islands,15,FÅland Islands15,0.968924824
MAfghanistan,20,MAfghanistan20,0.747889139
MAlbania,20,MAlbania20,1.090497547
MAlgeria,20,MAlgeria20,0.679640458
MAmerican Samoa,20,MAmerican Samoa20,0.628298616
MAndorra,20,MAndorra20,1.102873483
MAngola,20,MAngola20,0.479376418
MAnguilla,20,MAnguilla20,0.710296977
MAntarctica,20,MAntarctica20,0.835320314
MAntigua and Barbuda,20,MAntigua and Barbuda20,0.710296977
MArgentina,20,MArgentina20,0.870618769
MArmenia,20,MArmenia20,0.673863529
MAruba,20,MAruba20,0.710296977
MAustralia,20,MAustralia20,1.383828916
MAustria,20,MAustria20,1.070632483
MAzerbaijan,20,MAzerbaijan20,0.673863529
MBahamas,20,MBahamas20,0.710296977
MBahrain,20,MBahrain20,0.439902287
MBangladesh,20,MBangladesh20,0.372180358
MBarbados,20,MBarbados20,0.710296977
MBelarus,20,MBelarus20,0.741990777
MBelgium,20,MBelgium20,1.244032876
MBelize,20,MBelize20,0.839891418
MBenin,20,MBenin20,0.479376418
MBermuda,20,MBermuda20,1.035539244
MBhutan,20,MBhutan20,0.372180358
MBolivia,20,MBolivia20,0.790315158
MBosnia and Herzegovina,20,MBosnia and Herzegovina20,1.090497547
MBotswana,20,MBotswana20,0.160835752
MBouvet Island,20,MBouvet Island20,0.870618769
MBrazil,20,MBrazil20,0.913983306
MBritish Indian Ocean Territory,20,MBritish Indian Ocean Territory20,0.666982042
MBrunei Darussalam,20,MBrunei Darussalam20,0.578985235
MBulgaria,20,MBulgaria20,0.771089685
MBurkina Faso,20,MBurkina Faso20,0.479376418
MBurundi,20,MBurundi20,0.666982042
MCambodia,20,MCambodia20,0.578985235
MCameroon,20,MCameroon20,0.479376418
MCanada,20,MCanada20,1.041584532
MCape Verde,20,MCape Verde20,0.479376418
MCayman Islands,20,MCayman Islands20,0.710296977
MCentral African Republic,20,MCentral African Republic20,0.479376418
MChad,20,MChad20,0.479376418
MChile,20,MChile20,0.835320314
MChina,20,MChina20,0.45906118
MChristmas Island,20,MChristmas Island20,0.578985235
MCocos (Keeling) Islands,20,MCocos (Keeling) Islands20,0.578985235
MColombia,20,MColombia20,0.837789646
MComoros,20,MComoros20,0.666982042
MCongo,20,MCongo20,0.479376418
"MCongo, The Democratic Republic Of The",20,"MCongo, The Democratic Republic Of The20",0.479376418
MCook Islands,20,MCook Islands20,0.628298616
MCosta Rica,20,MCosta Rica20,0.839891418
MCroatia,20,MCroatia20,1.362287731
MCuba,20,MCuba20,0.891768152
MCyprus,20,MCyprus20,1.146525823
MCzech Republic,20,MCzech Republic20,0.968968531
