Index,OccupancyGroup,BUILDING,CONTENTS
MAINESERVICE - HIGH,12.0,0.00000,0.12100
MAINESERVICE - LOW,13.0,0.00000,0.08700
MARYLANDBUILDINGS,1.0,0.09450,0.00000
MARYLANDCONTRACTORS,14.0,0.00000,0.46950
MARYLANDINDUST-PROC - HIGH,10.0,0.00000,0.40950
MARYLANDINDUST-PROC - LOW,11.0,0.00000,0.34050
MARYLANDINSTITUTIONAL - HIGH,8.0,0.00000,0.16200
MARYLANDINSTITUTIONAL - LOW,0.0,0.00000,0.10200
MARYLANDMERCANTILE - HIGH,4.0,0.00000,0.34800
MARYLANDMERCANTILE - LOW,6.0,0.00000,0.23850
MARYLANDMERCANTILE - MEDIUM,5.0,0.00000,0.28050
MARYLANDMOTELS AND HOTELS,7.0,0.00000,0.16950
MARYLANDOFFICES,3.0,0.00000,0.34950
MARYLANDRES APTS AND CONDOS,2.0,0.00000,0.25350
MARYLANDSERVICE - HIGH,12.0,0.00000,0.34650
MARYLANDSERVICE - LOW,13.0,0.00000,0.27750
MASSACHUSETTSBUILDINGS,1.0,0.04125,0.00000
MASSACHUSETTSCONTRACTORS,14.0,0.00000,0.21150
MASSACHUSETTSINDUST-PROC - HIGH,10.0,0.00000,0.11250
MASSACHUSETTSINDUST-PROC - LOW,11.0,0.00000,0.09975
MASSACHUSETTSINSTITUTIONAL - HIGH,8.0,0.00000,0.08625
MASSACHUSETTSINSTITUTIONAL - LOW,0.0,0.00000,0.05325
MASSACHUSETTSMERCANTILE - HIGH,4.0,0.00000,0.17250
MASSACHUSETTSMERCANTILE - LOW,6.0,0.00000,0.11775
MASSACHUSETTSMERCANTILE - MEDIUM,5.0,0.00000,0.16200
MASSACHUSETTSMOTELS AND HOTELS,7.0,0.00000,0.09225
MASSACHUSETTSOFFICES,3.0,0.00000,0.12675
MASSACHUSETTSRES APTS AND CONDOS,2.0,0.00000,0.14700
MASSACHUSETTSSERVICE - HIGH,12.0,0.00000,0.11850
MASSACHUSETTSSERVICE - LOW,13.0,0.00000,0.08250
MICHIGANBUILDINGS,1.0,0.04800,0.00000
MICHIGANCONTRACTORS,14.0,0.00000,0.33100
MICHIGANINDUST-PROC - HIGH,10.0,0.00000,0.15800
