Version,Benchmark Class,Item,Value
13,PA reinsurance,Cat LR,9.39E-02
13,PA reinsurance,Att COV,0.467079531
13,PA reinsurance,Large COV,1.287220916
13,PA reinsurance,Cat COV,1.854328489
13,PA reinsurance,Large Loss Threshold,1000000
13,PA reinsurance,Decay Factor,0.9
13,PA reinsurance,Target NLR,0.7
13,PA reinsurance,NML,0.025
13,PA reinsurance,LAE,0
13,PA reinsurance,RoC,0.15
13,PA reinsurance,Variable Expense,0
13,PA reinsurance,Fixed Expense,0
13,PA reinsurance,Climate Load,0
13,Sports,Gross Net Att ULR,0.68800149
13,Sports,Gross Net Cat ULR,0.024
13,Sports,Total ULR,0.71200149
13,Sports,BP GN Premium,8247905.334
13,Sports,BP NN Premium,8247905.334
13,Sports,Net Premium,7173657.591
13,Sports,Net Expense/ GN Premium,0.187266397
13,Sports,Investment Income /GN Premium,7.40E-02
13,Sports,RI Premium/GN Premium,0.130244917
13,Sports,RI Recoveries/ GN Premium,0.0520713
13,Sports,Capital Required / GN Premium,0.487798866
13,Sports,Att LR,0.412915167
13,Sports,Large LR,0.120541697
13,Sports,Cat LR,9.39E-02
13,Sports,Att COV,0.467079531
13,Sports,Large COV,1.287220916
13,Sports,Cat COV,1.854328489
13,Sports,Large Loss Threshold,1000000
13,Sports,Decay Factor,0.9
13,Sports,Target NLR,0.7
13,Sports,NML,0.025
13,Sports,LAE,0
13,Sports,RoC,0.15
13,Sports,Variable Expense,0
13,Sports,Fixed Expense,0
13,Sports,Climate Load,0
13,Open Market,Gross Net Att ULR,0.37
13,Open Market,Gross Net Cat ULR,0.274243403
13,Open Market,Total ULR,0.644243403
13,Open Market,BP GN Premium,352778594.4
13,Open Market,BP NN Premium,352778594.4
13,Open Market,Net Premium,295591770.2
13,Open Market,Net Expense/ GN Premium,0.133391838
13,Open Market,Investment Income /GN Premium,7.25E-02
13,Open Market,RI Premium/GN Premium,0.162104008
13,Open Market,RI Recoveries/ GN Premium,8.67E-02
13,Open Market,Capital Required / GN Premium,0.558722501
13,Open Market,Att LR,0.226950504
13,Open Market,Large LR,0.135923334
13,Open Market,Cat LR,0.190559465
13,Open Market,Att COV,0.632633176
13,Open Market,Large COV,1.083054644
13,Open Market,Cat COV,3.052692664
13,Open Market,Large Loss Threshold,250000
13,Open Market,Decay Factor,0.9
13,Open Market,Target NLR,0.7
13,Open Market,NML,0.045
13,Open Market,LAE,0.075
13,Open Market,RoC,0.15
13,Open Market,Variable Expense,0
13,Open Market,Fixed Expense,0
13,Open Market,Climate Load,0.006
13,E&S Property,Gross Net Att ULR,0.385903802
13,E&S Property,Gross Net Cat ULR,0.223339525
13,E&S Property,Total ULR,0.609243327
13,E&S Property,BP GN Premium,553600000
13,E&S Property,BP NN Premium,553600000
13,E&S Property,Net Premium,451159294.8
13,E&S Property,Net Expense/ GN Premium,0.133084381
13,E&S Property,Investment Income /GN Premium,7.05E-02
13,E&S Property,RI Premium/GN Premium,0.185044627
13,E&S Property,RI Recoveries/ GN Premium,9.52E-02
13,E&S Property,Capital Required / GN Premium,0.539913472
13,E&S Property,Att LR,0.233447802
13,E&S Property,Large LR,0.149610695
13,E&S Property,Cat LR,0.125065533
13,E&S Property,Att COV,1.409889154
13,E&S Property,Large COV,1.539605887
13,E&S Property,Cat COV,2.659600004
13,E&S Property,Large Loss Threshold,250000
13,E&S Property,Decay Factor,0.9
13,E&S Property,Target NLR,0.7
13,E&S Property,NML,0.045
13,E&S Property,LAE,0.075
13,E&S Property,RoC,0.15
13,E&S Property,Variable Expense,0
13,E&S Property,Fixed Expense,0
13,E&S Property,Climate Load,0.006
13,E&S Homeowners,Gross Net Att ULR,0.443
13,E&S Homeowners,Gross Net Cat ULR,0.22021225
13,E&S Homeowners,Total ULR,0.66321225
13,E&S Homeowners,BP GN Premium,123550000
13,E&S Homeowners,BP NN Premium,123550000
13,E&S Homeowners,Net Premium,102714000
13,E&S Homeowners,Net Expense/ GN Premium,9.85E-02
13,E&S Homeowners,Investment Income /GN Premium,0.074177636
13,E&S Homeowners,RI Premium/GN Premium,0.168644274
13,E&S Homeowners,RI Recoveries/ GN Premium,0.077171671
13,E&S Homeowners,Capital Required / GN Premium,0.573449462
13,E&S Homeowners,Att LR,0.233447802
13,E&S Homeowners,Large LR,0.149610695
13,E&S Homeowners,Cat LR,0.125065533
13,E&S Homeowners,Att COV,1.409889154
13,E&S Homeowners,Large COV,1.539605887
