Limit as proportion of TIV,WS1,EQ1
0.672000,0.994300,0.762800
0.673000,0.994300,0.763500
0.674000,0.994300,0.764300
0.675000,0.994400,0.765000
0.676000,0.994400,0.765700
0.677000,0.994400,0.766400
0.678000,0.994500,0.767100
0.679000,0.994500,0.767900
0.680000,0.994500,0.768600
0.681000,0.994500,0.769300
0.682000,0.994600,0.770000
0.683000,0.994600,0.770800
0.684000,0.994600,0.771500
0.685000,0.994600,0.772200
0.686000,0.994700,0.772900
0.687000,0.994700,0.773700
0.688000,0.994700,0.774400
0.689000,0.994700,0.775100
0.690000,0.994800,0.775800
0.691000,0.994800,0.776600
0.692000,0.994800,0.777300
0.693000,0.994800,0.778000
0.694000,0.994900,0.778700
0.695000,0.994900,0.779500
0.696000,0.994900,0.780200
0.697000,0.994900,0.780900
0.698000,0.995000,0.781600
0.699000,0.995000,0.782400
0.700000,0.995000,0.783100
0.701000,0.995000,0.783800
0.702000,0.995100,0.784500
0.703000,0.995100,0.785300
0.704000,0.995100,0.786000
0.705000,0.995100,0.786700
0.706000,0.995200,0.787400
0.707000,0.995200,0.788200
0.708000,0.995200,0.788900
0.709000,0.995200,0.789600
0.710000,0.995300,0.790300
0.711000,0.995300,0.791000
0.712000,0.995300,0.791800
0.713000,0.995300,0.792500
0.714000,0.995400,0.793200
0.715000,0.995400,0.793900
0.716000,0.995400,0.794700
0.717000,0.995400,0.795400
0.718000,0.995400,0.796100
0.719000,0.995500,0.796800
0.720000,0.995500,0.797600
0.721000,0.995500,0.798300
0.722000,0.995500,0.799000
0.723000,0.995600,0.799700
0.724000,0.995600,0.800500
0.725000,0.995600,0.801200
0.726000,0.995600,0.801900
0.727000,0.995700,0.802600
0.728000,0.995700,0.803400
0.729000,0.995700,0.804100
0.730000,0.995800,0.804800
0.731000,0.995800,0.805500
0.732000,0.995800,0.806300
0.733000,0.995800,0.807000
0.734000,0.995800,0.807700
0.735000,0.995900,0.808400
0.736000,0.995900,0.809200
0.737000,0.995900,0.809900
0.738000,0.995900,0.810600
0.739000,0.996000,0.811300
0.740000,0.996000,0.812100
0.741000,0.996000,0.812800
0.742000,0.996000,0.813500
0.743000,0.996100,0.814200
0.744000,0.996100,0.814900
0.745000,0.996100,0.815700
0.746000,0.996100,0.816400
0.747000,0.996200,0.817100
0.748000,0.996200,0.817800
0.749000,0.996200,0.818600
0.750000,0.996200,0.819300
0.751000,0.996300,0.820000
0.752000,0.996300,0.820700
0.753000,0.996300,0.821500
0.754000,0.996400,0.822200
0.755000,0.996400,0.822900
0.756000,0.996400,0.823600
0.757000,0.996400,0.824400
0.758000,0.996500,0.825100
0.759000,0.996500,0.825800
0.760000,0.996500,0.826500
0.761000,0.996500,0.827300
0.762000,0.996600,0.828000
0.763000,0.996600,0.828700
0.764000,0.996600,0.829400
0.765000,0.996600,0.830200
0.766000,0.996700,0.830900
0.767000,0.996700,0.831600
0.768000,0.996700,0.832300
0.769000,0.996700,0.833100
0.770000,0.996700,0.833800
0.771000,0.996800,0.834500
0.772000,0.996800,0.835200
0.773000,0.996800,0.836000
0.774000,0.996800,0.836700
0.775000,0.996900,0.837400
0.776000,0.996900,0.838100
0.777000,0.996900,0.838800
0.778000,0.997000,0.839600
0.779000,0.997000,0.840300
0.780000,0.997000,0.841000
0.781000,0.997000,0.841700
0.782000,0.997100,0.842500
0.783000,0.997100,0.843200
0.784000,0.997100,0.843900
0.785000,0.997100,0.844600
0.786000,0.997200,0.845400
0.787000,0.997200,0.846100
0.788000,0.997200,0.846800
0.789000,0.997200,0.847500
0.790000,0.997300,0.848300
0.791000,0.997300,0.849000
0.792000,0.997300,0.849700
0.793000,0.997300,0.850400
0.794000,0.997400,0.851200
0.795000,0.997400,0.851900
0.796000,0.997400,0.852600
0.797000,0.997400,0.853300
0.798000,0.997500,0.854100
0.799000,0.997500,0.854800
0.800000,0.997500,0.855500
0.801000,0.997500,0.856200
0.802000,0.997600,0.857000
0.803000,0.997600,0.857700
0.804000,0.997600,0.858400
0.805000,0.997600,0.859100
0.806000,0.997700,0.859800
0.807000,0.997700,0.860600
0.808000,0.997700,0.861300
0.809000,0.997700,0.862000
0.810000,0.997800,0.862700
0.811000,0.997800,0.863500
0.812000,0.997800,0.864200
0.813000,0.997800,0.864900
0.814000,0.997900,0.865600
0.815000,0.997900,0.866400
0.816000,0.997900,0.867100
0.817000,0.997900,0.867800
0.818000,0.997900,0.868500
0.819000,0.998000,0.869300
0.820000,0.998000,0.870000
0.821000,0.998000,0.870700
0.822000,0.998000,0.871400
0.823000,0.998100,0.872200
0.824000,0.998100,0.872900
0.825000,0.998100,0.873600
0.826000,0.998100,0.874300
0.827000,0.998200,0.875100
0.828000,0.998200,0.875800
0.829000,0.998200,0.876500
0.830000,0.998300,0.877200
0.831000,0.998300,0.878000
0.832000,0.998300,0.878700
0.833000,0.998300,0.879400
0.834000,0.998300,0.880100
0.835000,0.998400,0.880900
0.836000,0.998400,0.881600
0.837000,0.998400,0.882300
0.838000,0.998400,0.883000
0.839000,0.998500,0.883700
0.840000,0.998500,0.884500
0.841000,0.998500,0.885200
0.842000,0.998500,0.885900
0.843000,0.998600,0.886600
