StateCounty,FL,WF,TN,HA
FLBay County,4.84313725490196,12.36764705882350,1.00000000000000,1.00000000000000
FLBradford County,3.72222222222222,17.62500000000000,1.00000000000000,1.00000000000000
FLBrevard County,6.38095238095238,19.15816326530610,1.00000000000000,1.00000000000000
FLBroward County,7.69230769230769,5.40384615384615,1.00000000000000,1.00000000000000
FLCalhoun County,5.08333333333333,10.43750000000000,1.00000000000000,1.00000000000000
FLCharlotte County,5.64313725490196,18.98529411764710,1.00000000000000,1.00000000000000
FLCitrus County,4.49898989898990,18.44696969696970,1.00000000000000,1.00000000000000
FLClay County,2.65000000000000,17.00000000000000,1.00000000000000,1.00000000000000
FLCollier County,6.77777777777778,15.92857142857140,1.00000000000000,1.00000000000000
FLColumbia County,5.27777777777778,17.62500000000000,1.00000000000000,1.00000000000000
FLDesoto County,3.91666666666667,20.75000000000000,1.00000000000000,1.00000000000000
FLDixie County,7.06666666666667,9.50000000000000,1.00000000000000,1.00000000000000
FLDuval County,2.70508474576271,3.10169491525424,1.00000000000000,1.00000000000000
FLEscambia County,5.50387596899225,2.47674418604651,1.00000000000000,1.00000000000000
FLFlagler County,2.11666666666667,15.12500000000000,1.00000000000000,1.00000000000000
FLFranklin County,1.93333333333333,14.75000000000000,1.00000000000000,1.00000000000000
FLGadsden County,2.40833333333333,15.12500000000000,1.00000000000000,1.00000000000000
FLGilchrist County,9.16666666666667,20.75000000000000,1.00000000000000,1.00000000000000
FLGlades County,6.83333333333333,26.37500000000000,1.00000000000000,1.00000000000000
FLGulf County,3.80000000000000,9.50000000000000,1.00000000000000,1.00000000000000
FLHamilton County,3.33333333333333,15.75000000000000,1.00000000000000,1.00000000000000
FLHardee County,5.66666666666667,21.68750000000000,1.00000000000000,1.00000000000000
FLHendry County,6.83333333333333,26.37500000000000,1.00000000000000,1.00000000000000
FLHernando County,3.97142857142857,12.17857142857140,1.00000000000000,1.00000000000000
FLHighlands County,2.44848484848485,21.43181818181820,1.00000000000000,1.00000000000000
FLHillsborough County,4.94333333333333,4.82500000000000,1.00000000000000,1.00000000000000
