Lookup code,Values,AOP,WS,EQ,Excess FL,Equipment breakdown,PAF,Wildfire
0.191,-999,0.32499999999999996,0.07950000000000002,0.5856,0.32499999999999996,-999,-999,0.32499999999999996
0.192,-999,0.32399999999999995,0.07899999999999996,0.5848,0.32399999999999995,-999,-999,0.32399999999999995
0.193,-999,0.32299999999999995,0.07850000000000001,0.5840000000000001,0.32299999999999995,-999,-999,0.32299999999999995
0.194,-999,0.32199999999999995,0.07799999999999996,0.5832999999999999,0.32199999999999995,-999,-999,0.32199999999999995
0.195,-999,0.32110000000000005,0.07750000000000001,0.5825,0.32110000000000005,-999,-999,0.32110000000000005
0.196,-999,0.32010000000000005,0.07699999999999996,0.5818,0.32010000000000005,-999,-999,0.32010000000000005
0.197,-999,0.31910000000000005,0.07650000000000001,0.581,0.31910000000000005,-999,-999,0.31910000000000005
0.198,-999,0.31820000000000004,0.07599999999999996,0.5802,0.31820000000000004,-999,-999,0.31820000000000004
0.199,-999,0.31720000000000004,0.07550000000000001,0.5795,0.31720000000000004,-999,-999,0.31720000000000004
0.2,-999,0.31620000000000004,0.07499999999999996,0.5787,0.31620000000000004,-999,-999,0.31620000000000004
0.201,-999,0.3153,0.0746,0.5780000000000001,0.3153,-999,-999,0.3153
0.202,-999,0.3143,0.07410000000000005,0.5772999999999999,0.3143,-999,-999,0.3143
0.203,-999,0.3134,0.07369999999999999,0.5766,0.3134,-999,-999,0.3134
0.204,-999,0.3125,0.07320000000000004,0.5758,0.3125,-999,-999,0.3125
0.205,-999,0.3115,0.07279999999999998,0.5751,0.3115,-999,-999,0.3115
0.206,-999,0.3106,0.07230000000000003,0.5744,0.3106,-999,-999,0.3106
0.207,-999,0.3097,0.07189999999999996,0.5737,0.3097,-999,-999,0.3097
0.208,-999,0.30879999999999996,0.07140000000000002,0.5729,0.30879999999999996,-999,-999,0.30879999999999996
0.209,-999,0.30779999999999996,0.07099999999999995,0.5722,0.30779999999999996,-999,-999,0.30779999999999996
0.21,-999,0.30689999999999995,0.07050000000000001,0.5715,0.30689999999999995,-999,-999,0.30689999999999995
0.211,-999,0.30600000000000005,0.07010000000000005,0.5708,0.30600000000000005,-999,-999,0.30600000000000005
0.212,-999,0.30510000000000004,0.06969999999999998,0.5700000000000001,0.30510000000000004,-999,-999,0.30510000000000004
0.213,-999,0.3042,0.06930000000000003,0.5692999999999999,0.3042,-999,-999,0.3042
0.214,-999,0.3033,0.06889999999999996,0.5686,0.3033,-999,-999,0.3033
0.215,-999,0.3024,0.0685,0.5679000000000001,0.3024,-999,-999,0.3024
0.216,-999,0.3015,0.06810000000000005,0.5670999999999999,0.3015,-999,-999,0.3015
0.217,-999,0.30069999999999997,0.06769999999999998,0.5664,0.30069999999999997,-999,-999,0.30069999999999997
0.218,-999,0.29979999999999996,0.06730000000000003,0.5657,0.29979999999999996,-999,-999,0.29979999999999996
0.219,-999,0.29890000000000005,0.06689999999999996,0.565,0.29890000000000005,-999,-999,0.29890000000000005
0.22,-999,0.29800000000000004,0.0665,0.5642,0.29800000000000004,-999,-999,0.29800000000000004
0.221,-999,0.2972,0.06610000000000005,0.5635,0.2972,-999,-999,0.2972
0.222,-999,0.2963,0.06569999999999998,0.5628,0.2963,-999,-999,0.2963
0.223,-999,0.2954,0.06530000000000002,0.5621,0.2954,-999,-999,0.2954
0.224,-999,0.2946,0.06489999999999996,0.5613,0.2946,-999,-999,0.2946
