PolicyReference,SectionReference,YOA,CoverageName,TriFocusName,Division,RateChangeDivisor,SettlementCurrency,WrittenOrEstimatPrem,TotalIncurred,RateChangeReformat,WEPOnLevel,Index,TotalWrittenIfNotSignedMultiplier,TotalWEP
F8604Z93,F8604Z93ANFW,1993,Jewellers - Wholesale,Jewellers,Property Risks,0,GBP,0,0,1,0,F8604ZANFW,0.125,0
F8618X93,F8618X93ANFJ,1993,Jewellers - Retail,Jewellers,Property Risks,0,GBP,508,0,1,508,F8618XANFJ,0.5,1016
F8596S93,F8596S93ANFJ,1993,Jewellers - Retail,Jewellers,Property Risks,0,GBP,114237.9194,68234.8955,1,114237.9194,F8596SANFJ,0.1137,1004731.041
F8733B93,F8733B93ANFJ,1993,Jewellers - Retail,Jewellers,Property Risks,0,GBP,8273.2123,364.497,1,8273.2123,F8733BANFJ,0.1357,60966.92926
B1506V93,B1506V93ANFM,1993,General Specie,Fine Art and Specie,Property Risks,0,GBP,4113.3648,0,1,4113.3648,B1506VANFM,0.1,41133.648
F8611A93,F8611A93ANFW,1993,Jewellers - Wholesale,Jewellers,Property Risks,0,GBP,2701.4805,0,1,2701.4805,F8611AANFW,0.0978,27622.5
F8720K93,F8720K93ANFD,1993,Art Dealers,Jewellers,Property Risks,0,GBP,931.2402,0,1,931.2402,F8720KANFD,0.3333,2794
F8619F93,F8619F93ANFD,1993,Art Dealers,Jewellers,Property Risks,0,GBP,291.3922,0,1,291.3922,F8619FANFD,0.1904,1530.421218
F8612H93,F8612H93ANFD,1993,Art Dealers,Jewellers,Property Risks,0,GBP,346.3798,0,1,346.3798,F8612HANFD,0.13637,2540
F8616B93,F8616B93ANFJ,1993,Jewellers - Retail,Jewellers,Property Risks,0,GBP,546.1,0,1,546.1,F8616BANFJ,0.5,1092.2
L0662H93,L0662H93ANFJ,1993,Jewellers - Retail,Jewellers,Property Risks,0,GBP,87705.8692,48060.292,1,87705.8692,L0662HANFJ,0.1346,651603.7831
F8615N93,F8615N93ANFD,1993,Art Dealers,Jewellers,Property Risks,0,GBP,1339.6874,0,1,1339.6874,F8615NANFD,0.1449,9245.599724
B1026D93,B1026D93ANFR,1993,Fine Art,Fine Art and Specie,Property Risks,0,GBP,2610.3331,286.1987,1,2610.3331,B1026DANFR,0.1429,18266.85164
F8617J93,F8617J93ANFD,1993,Art Dealers,Jewellers,Property Risks,0,GBP,2542.952,0,1,2542.952,F8617JANFD,0.14218,17885.44099
F8703D93,F8703D93ANFJ,1993,Jewellers - Retail,Jewellers,Property Risks,0,GBP,5385.4482,8605.52,1,5385.4482,F8703DANFJ,0.2,26927.241
F8696H93,F8696H93ANFJ,1993,Jewellers - Retail,Jewellers,Property Risks,0,GBP,6899.7415,0,1,6899.7415,F8696HANFJ,0.30303,22769.16972
F7112E93,F7112E93ANFJ,1993,Jewellers - Retail,Jewellers,Property Risks,0,GBP,915.5881,0,1,915.5881,F7112EANFJ,0.0250932,36487.49861
