Version,Benchmark Class,Year,Value
11,EPL,2028,1.05
11,EPL,2029,1.05
11,EPL,2030,1.05
11,EPL MM,2000,1.018084298
11,EPL MM,2001,1.412000955
11,EPL MM,2002,1.527343631
11,EPL MM,2003,1.30176335
11,EPL MM,2004,0.980465589
11,EPL MM,2005,0.98779399
11,EPL MM,2006,0.93487413
11,EPL MM,2007,0.922565446
11,EPL MM,2008,0.924375413
11,EPL MM,2009,0.990371128
11,EPL MM,2010,0.948347865
11,EPL MM,2011,0.951959765
11,EPL MM,2012,1.045633763
11,EPL MM,2013,1.148149999
11,EPL MM,2014,1.120125636
11,EPL MM,2015,1.02400753
11,EPL MM,2016,1.000438446
11,EPL MM,2017,0.992211266
11,EPL MM,2018,1.046708503
11,EPL MM,2019,1.130194971
11,EPL MM,2020,1.361442628
11,EPL MM,2021,1.217306076
11,EPL MM,2022,1.023303521
11,EPL MM,2023,1.08
11,EPL MM,2024,1.08
11,EPL MM,2025,1.08
11,EPL MM,2026,1.08
11,EPL MM,2027,1.08
11,EPL MM,2028,1.08
11,EPL MM,2029,1.08
11,EPL MM,2030,1.08
11,eTrading,2000,1.013692962
11,eTrading,2001,1.171632171
11,eTrading,2002,1.872763016
11,eTrading,2003,1.361767723
11,eTrading,2004,1.045070098
11,eTrading,2005,1.033953274
11,eTrading,2006,1.048960502
11,eTrading,2007,0.979898979
11,eTrading,2008,0.984162823
11,eTrading,2009,1.004978681
11,eTrading,2010,0.996527703
11,eTrading,2011,1.022328438
11,eTrading,2012,1.006087795
11,eTrading,2013,1.025760558
11,eTrading,2014,0.988863037
11,eTrading,2015,0.943524315
11,eTrading,2016,0.985496992
11,eTrading,2017,0.985794539
11,eTrading,2018,0.984484261
11,eTrading,2019,1.009406803
11,eTrading,2020,1.106027855
11,eTrading,2021,1.073557047
11,eTrading,2022,1.044902721
11,eTrading,2023,1.03
11,eTrading,2024,1.03
11,eTrading,2025,1.03
11,eTrading,2026,1.03
11,eTrading,2027,1.03
11,eTrading,2028,1.03
11,eTrading,2029,1.03
11,eTrading,2030,1.03
11,eTrading BBR,2000,1.039842072
11,eTrading BBR,2001,1.179199038
11,eTrading BBR,2002,1.387628983
11,eTrading BBR,2003,1.229139912
11,eTrading BBR,2004,1.097653234
11,eTrading BBR,2005,1.024892065
11,eTrading BBR,2006,1.024927899
11,eTrading BBR,2007,0.956301241
11,eTrading BBR,2008,0.941442076
11,eTrading BBR,2009,0.993515858
11,eTrading BBR,2010,0.998523014
11,eTrading BBR,2011,1.002816167
11,eTrading BBR,2012,1.043338741
11,eTrading BBR,2013,1.010255274
11,eTrading BBR,2014,1.00033074
11,eTrading BBR,2015,0.952824156
11,eTrading BBR,2016,0.970194697
11,eTrading BBR,2017,1.162285214
