"Path","Name","Type","Mode","Optionality","Label","Default Value"
"cds/exposure/granular/vessels/ship_building_rating/ship_building_pricing_vessels_list/ship_building_pricing_exposure_net_premium","ship_building_pricing_exposure_net_premium","float","output","n/a","Exposure net premium","n/a"
"cds/exposure/granular/vessels/ship_building_rating/ship_building_pricing_vessels_list","ship_building_pricing_vessels_list","list","n/a","n/a","n/a","n/a"
"cds/exposure/granular/vessels/ship_building_rating","ship_building_rating","structure","n/a","n/a","n/a","n/a"
"cds/exposure/granular/vessels/hull_rating/output_summary_xlsx","output_summary_xlsx","file","output","n/a","Not set","n/a"
"cds/exposure/granular/vessels/hull_rating/vessels_xlsx","vessels_xlsx","file","output","n/a","Not set","n/a"
"cds/exposure/granular/vessels/hull_rating/is_modelling","is_modelling","bool","input","required","Show Actuarial Pricing","False"
"cds/exposure/granular/vessels/hull_rating/fleet_soft_factors/fleet_casualty_history","fleet_casualty_history","str","input","optional","Fleet Casualty History","Average"
"cds/exposure/granular/vessels/hull_rating/fleet_soft_factors/owner_quality","owner_quality","str","input","optional","Owner/Manager Quality","Average"
"cds/exposure/granular/vessels/hull_rating/fleet_soft_factors","fleet_soft_factors","structure","n/a","n/a","n/a","n/a"
"cds/exposure/granular/vessels/hull_rating/operator_domicile","operator_domicile","str","input","optional","Operator Domicile","None"
"cds/exposure/granular/vessels/hull_rating/fleet_average_relativity/static/base","base","float","output","n/a","Base","n/a"
"cds/exposure/granular/vessels/hull_rating/fleet_average_relativity/static/year_built","year_built","float","output","n/a","Year Built","n/a"
"cds/exposure/granular/vessels/hull_rating/fleet_average_relativity/static/frequency_vessel_type","frequency_vessel_type","float","output","n/a","Claims Frequency Vessel Type","n/a"
"cds/exposure/granular/vessels/hull_rating/fleet_average_relativity/static/flag","flag","float","output","n/a","Flag","n/a"
"cds/exposure/granular/vessels/hull_rating/fleet_average_relativity/static/frequency_dwt","frequency_dwt","float","output","n/a","Claims Frequency DWT","n/a"
"cds/exposure/granular/vessels/hull_rating/fleet_average_relativity/static/base_x_year_x_value","base_x_year_x_value","float","output","n/a","Base x Year x Value","n/a"
"cds/exposure/granular/vessels/hull_rating/fleet_average_relativity/static/severity_vessel_type","severity_vessel_type","float","output","n/a","Claims Severity Vessel Type","n/a"
"cds/exposure/granular/vessels/hull_rating/fleet_average_relativity/static/severity_dwt","severity_dwt","float","output","n/a","Claims Severity DWT","n/a"
"cds/exposure/granular/vessels/hull_rating/fleet_average_relativity/static","static","structure","n/a","n/a","n/a","n/a"
"cds/exposure/granular/vessels/hull_rating/fleet_average_relativity/behavioural/base","base","float","output","n/a","Base","n/a"
"cds/exposure/granular/vessels/hull_rating/fleet_average_relativity/behavioural/year_built","year_built","float","output","n/a","Year Built","n/a"
"cds/exposure/granular/vessels/hull_rating/fleet_average_relativity/behavioural/frequency_vessel_type","frequency_vessel_type","float","output","n/a","Claims Frequency Vessel Type","n/a"
"cds/exposure/granular/vessels/hull_rating/fleet_average_relativity/behavioural/flag","flag","float","output","n/a","Flag","n/a"
"cds/exposure/granular/vessels/hull_rating/fleet_average_relativity/behavioural/frequency_dwt","frequency_dwt","float","output","n/a","Claims Frequency DWT","n/a"
"cds/exposure/granular/vessels/hull_rating/fleet_average_relativity/behavioural/base_x_year_x_value","base_x_year_x_value","float","output","n/a","Base x Year x Value","n/a"
"cds/exposure/granular/vessels/hull_rating/fleet_average_relativity/behavioural/severity_vessel_type","severity_vessel_type","float","output","n/a","Claims Severity Vessel Type","n/a"
"cds/exposure/granular/vessels/hull_rating/fleet_average_relativity/behavioural/severity_dwt","severity_dwt","float","output","n/a","Claims Severity DWT","n/a"
"cds/exposure/granular/vessels/hull_rating/fleet_average_relativity/behavioural/max_distance_ratio","max_distance_ratio","float","output","n/a","Max Distance Ratio","n/a"
"cds/exposure/granular/vessels/hull_rating/fleet_average_relativity/behavioural/perc_time_eez","perc_time_eez","float","output","n/a","Time EEZ","n/a"
"cds/exposure/granular/vessels/hull_rating/fleet_average_relativity/behavioural/ratio_moving","ratio_moving","float","output","n/a","Ratio Moving","n/a"
"cds/exposure/granular/vessels/hull_rating/fleet_average_relativity/behavioural/number_of_unique_port_visits","number_of_unique_port_visits","float","output","n/a","Number of Unique Port Visits","n/a"
"cds/exposure/granular/vessels/hull_rating/fleet_average_relativity/behavioural","behavioural","structure","n/a","n/a","n/a","n/a"
"cds/exposure/granular/vessels/hull_rating/fleet_average_relativity","fleet_average_relativity","structure","n/a","n/a","n/a","n/a"
