vessel_type,age_lower_bound,age_upper_bound,net_achieved_prem_adj_to_full_coverage,sum_of_agreed_value,count_of_identifier,achieved_rate
Fully Cellular Containership - UCC,30,999,72600,24000000,1,0.003025000000000000000000
Fully Cellular Containership - UCC,35,39,97139.430000000000000000000000,60000000,1,0.001618990500000000000000
Fully Cellular Containership - UCC,5,8,7484005.868570990000000000000000,3450419211.530580000000000000000000,85,0.002169013505246260000000
Fully Cellular Containership - UCC,9,14,31004589.866452300000000000000000,12020505506.356000000000000000000000,417,0.002579308320274740000000
General Cargo - GGC,0,1,664161.127446533000000000000000,161797960.028439000000000000000000,22,0.004104879488775970000000
General Cargo - GGC,15,19,2101551.239297750000000000000000,162448303.049572000000000000000000,31,0.012936738641440000000000
General Cargo - GGC,2,4,580186.410652088000000000000000,127580388.137052000000000000000000,23,0.004547614403154410000000
General Cargo - GGC,20,24,888479.718310501000000000000000,42587146.710602000000000000000000,13,0.020862626095805500000000
General Cargo - GGC,25,29,249988.398450000000000000000000,12286150,4,0.020347171282297500000000
General Cargo - GGC,30,999,135538.523027250000000000000000,79609020,3,0.001702552336748400000000
General Cargo - GGC,40,44,131358.096770591000000000000000,8626735.922214000000000000000000,4,0.015226859608898100000000
General Cargo - GGC,5,8,1947021.193403400000000000000000,506085184.359931000000000000000000,58,0.003847220297242830000000
General Cargo - GGC,9,14,4030046.768559890000000000000000,880089864.141492000000000000000000,81,0.004579130987369240000000
General Cargo With Container Capacity - GPC,0,1,141206.844252000000000000000000,65608000,3,0.002152280884221440000000
General Cargo With Container Capacity - GPC,15,19,1709053.709686500000000000000000,234343347.359733000000000000000000,21,0.007292947416437560000000
General Cargo With Container Capacity - GPC,2,4,402805.804800000000000000000000,128660000,4,0.003130777279651800000000
General Cargo With Container Capacity - GPC,20,24,1150961.307752090000000000000000,77503915.709926000000000000000000,16,0.014850363329509600000000
General Cargo With Container Capacity - GPC,25,29,367444.518187500000000000000000,24750000,4,0.014846243159090900000000
General Cargo With Container Capacity - GPC,5,8,815678.569600000000000000000000,148780000,9,0.005482447705336740000000
General Cargo With Container Capacity - GPC,9,14,1266277.387996000000000000000000,270932000,19,0.004673783045177390000000
Grab Dredger - DGD,35,39,42501.144686250000000000000000,3670000,2,0.011580693375000000000000
Hopper Barge - OHB,15,19,26997.620100000000000000000000,11000000,1,0.002454329100000000000000
Hopper Barge - OHB,20,24,29697.382110000000000000000000,11000000,1,0.002699762010000000000000
Hopper Barge - OHB,9,14,4406.400000000000000000000000,900000,6,0.004896000000000000000000
Hopper Dredger - DHD,15,19,436661.382976297000000000000000,104487955.030649000000000000000000,3,0.004179059517895750000000
Hopper Dredger - DHD,2,4,512701.681455713000000000000000,145183460.272363000000000000000000,2,0.003531405578113980000000
Hopper Dredger - DHD,20,24,406790.242558022000000000000000,81228707.587461000000000000000000,10,0.005007961527887420000000
Hopper Dredger - DHD,30,999,100510.601958294000000000000000,2541755.392758000000000000000000,1,0.039543774450000000000000
Hopper Dredger - DHD,5,8,76367.473200000000000000000000,34856892,3,0.002190885899982130000000
Hopper Dredger - DHD,9,14,115918.870023775000000000000000,29512210,1,0.003927827500000000000000
Hospital Ship - OHS,15,19,169112.639130435000000000000000,23611977,1,0.007162155000000000000000
