"Path","Name","Type","Mode","Optionality","Label","Default Value","Async Input","Async Output"
"cds/layers/peril_allocation/ivor_aal/el_eq","el_eq","float","input","optional","IVOR EQ AAL","None","['peril_allocation_task']","['start_renewal_task']"
"cds/layers/peril_allocation/ivor_aal/el_ws","el_ws","float","input","optional","IVOR WS AAL","None","['peril_allocation_task']","['start_renewal_task']"
"cds/layers/peril_allocation/ivor_aal/el_scs","el_scs","float","input","optional","IVOR SCS AAL","None","['peril_allocation_task']","['start_renewal_task']"
"cds/layers/peril_allocation/ivor_aal/el_wf","el_wf","float","input","optional","IVOR WF AAL","None","['peril_allocation_task']","['start_renewal_task']"
"cds/layers/peril_allocation/ivor_aal/el_winter","el_winter","float","input","optional","IVOR Winter AAL","None","['peril_allocation_task']","['start_renewal_task']"
"cds/layers/peril_allocation/ivor_aal/el_fl","el_fl","float","input","optional","IVOR FL AAL","None","['peril_allocation_task']","['start_renewal_task']"
"cds/layers/peril_allocation/ivor_aal/el_other","el_other","float","input","optional","IVOR Other AAL","None","['peril_allocation_task']","['start_renewal_task']"
"cds/layers/peril_allocation/ivor_aal","ivor_aal","structure","n/a","n/a","n/a","n/a","n/a","n/a"
"cds/layers/peril_allocation","peril_allocation","structure","n/a","n/a","n/a","n/a","n/a","n/a"
"cds/layers/quote/rol_ty/rol_rms","rol_rms","float","output","n/a","RMS ROL (GG)","n/a","n/a","n/a"
"cds/layers/quote/rol_ty/rol_ivor","rol_ivor","float","output","n/a","IVOR ROL (GG)","n/a","n/a","n/a"
"cds/layers/quote/rol_ty/rol_air","rol_air","float","output","n/a","AIR ROL (GG)","n/a","n/a","n/a"
"cds/layers/quote/rol_ty/rol_burn","rol_burn","float","output","n/a","Burn ROL (GG)","n/a","n/a","n/a"
"cds/layers/quote/rol_ty/rol_burn_override","rol_burn_override","float","input","optional","Burn Override (GG)","None","n/a","n/a"
"cds/layers/quote/rol_ty/weighting_rms","weighting_rms","float","input","optional","RMS Weighting","None","['pull_pml_curves_task', 'peril_allocation_task']","['start_renewal_task']"
"cds/layers/quote/rol_ty/weighting_ivor","weighting_ivor","float","input","optional","IVOR Weighting","None","['pull_pml_curves_task', 'peril_allocation_task']","['start_renewal_task']"
"cds/layers/quote/rol_ty/weighting_air","weighting_air","float","input","optional","AIR Weighting","None","['pull_pml_curves_task', 'peril_allocation_task']","['start_renewal_task']"
"cds/layers/quote/rol_ty/weighting_burn","weighting_burn","float","input","optional","Burn Weighting","None","['pull_pml_curves_task', 'peril_allocation_task']","['start_renewal_task']"
"cds/layers/quote/rol_ty/lol_rms","lol_rms","float","output","n/a","RMS LOL","n/a","n/a","n/a"
"cds/layers/quote/rol_ty/lol_ivor","lol_ivor","float","output","n/a","IVOR LOL","n/a","n/a","n/a"
"cds/layers/quote/rol_ty/lol_air","lol_air","float","output","n/a","AIR LOL","n/a","n/a","n/a"
"cds/layers/quote/rol_ty/lol_burn","lol_burn","float","output","n/a","Burn LOL","n/a","n/a","n/a"
"cds/layers/quote/rol_ty/lol_weighted","lol_weighted","float","output","n/a","Weighted LOL","n/a","n/a","n/a"
"cds/layers/quote/rol_ty/weighted_el","weighted_el","float","output","n/a","Net EL","n/a","n/a","n/a"
"cds/layers/quote/rol_ty/gross_lol_weighted","gross_lol_weighted","float","output","n/a","Gross Weighted LOL","n/a","['rate_change_task']","n/a"
"cds/layers/quote/rol_ty/rol_afb_tech","rol_afb_tech","float","output","n/a","AFB Tech ROL (GG)","n/a","n/a","n/a"
"cds/layers/quote/rol_ty/tpi","tpi","float","output","n/a","TPI","n/a","n/a","n/a"
"cds/layers/quote/rol_ty/roc","roc","float","output","n/a","ROC","n/a","n/a","n/a"
"cds/layers/quote/rol_ty/ulr","ulr","float","output","n/a","ULR (GN)","n/a","n/a","n/a"
"cds/layers/quote/rol_ty/bpi","bpi","float","output","n/a","BPI","n/a","n/a","n/a"
"cds/layers/quote/rol_ty/rol_quote","rol_quote","float","input","optional","Quoted ROL","None","n/a","['start_renewal_task']"
"cds/layers/quote/rol_ty/rol_fot","rol_fot","float","input","optional","FOT ROL","None","n/a","['start_renewal_task']"
"cds/layers/quote/rol_ty/quote_fot_ratio","quote_fot_ratio","float","output","n/a","FOT / Quote Comparison","n/a","n/a","n/a"
