coverage_label,coverage_name,us_international,product,class,surcharge
Stop Gap,stop_gap,US,Misc Med,Clinic - Physical Therapy,0.01
Sexual Abuse,sexual_abuse,US,Misc Med,Clinic - Physical Therapy,0.1
TRIA,tria,US,Misc Med,Clinic - Physical Therapy,0.02
Employee Benefits Liability,employee_benefits_liability,US,Misc Med,Clinic - Physical Therapy,0.005
Punitive Damages,punitive_damages,US,Misc Med,Clinic - Physical Therapy,0.1
Professional Liability/Medical Malpractice,professional_liability,International,Misc Med,Clinic - Physical Therapy,1.0
General Liability/Public Liability,general_liability,International,Misc Med,Clinic - Physical Therapy,0.07
Product Liability,product_liability,International,Misc Med,Clinic - Physical Therapy,0.02
E&O/Professional Indemnity,eo,International,Misc Med,Clinic - Physical Therapy,0.05
Employers Liability,employers_liability,International,Misc Med,Clinic - Physical Therapy,0.05
Stop Gap,stop_gap,International,Misc Med,Clinic - Physical Therapy,0.0
Sexual Abuse,sexual_abuse,International,Misc Med,Clinic - Physical Therapy,0.1
TRIA,tria,International,Misc Med,Clinic - Physical Therapy,0.0
Employee Benefits Liability,employee_benefits_liability,International,Misc Med,Clinic - Physical Therapy,0.005
Punitive Damages,punitive_damages,International,Misc Med,Clinic - Physical Therapy,0.1
Professional Liability,professional_liability,US,Misc Med,Clinic - ABA/Occupational/Speech Therapy,1.0
General Liability,general_liability,US,Misc Med,Clinic - ABA/Occupational/Speech Therapy,0.07
Product Liability,product_liability,US,Misc Med,Clinic - ABA/Occupational/Speech Therapy,0.02
E&O,eo,US,Misc Med,Clinic - ABA/Occupational/Speech Therapy,0.05
Employers Liability,employers_liability,US,Misc Med,Clinic - ABA/Occupational/Speech Therapy,0.05
Stop Gap,stop_gap,US,Misc Med,Clinic - ABA/Occupational/Speech Therapy,0.01
Sexual Abuse,sexual_abuse,US,Misc Med,Clinic - ABA/Occupational/Speech Therapy,0.1
TRIA,tria,US,Misc Med,Clinic - ABA/Occupational/Speech Therapy,0.02
Employee Benefits Liability,employee_benefits_liability,US,Misc Med,Clinic - ABA/Occupational/Speech Therapy,0.005
Punitive Damages,punitive_damages,US,Misc Med,Clinic - ABA/Occupational/Speech Therapy,0.1
Professional Liability/Medical Malpractice,professional_liability,International,Misc Med,Clinic - ABA/Occupational/Speech Therapy,1.0
General Liability/Public Liability,general_liability,International,Misc Med,Clinic - ABA/Occupational/Speech Therapy,0.07
Product Liability,product_liability,International,Misc Med,Clinic - ABA/Occupational/Speech Therapy,0.02
E&O/Professional Indemnity,eo,International,Misc Med,Clinic - ABA/Occupational/Speech Therapy,0.05
Employers Liability,employers_liability,International,Misc Med,Clinic - ABA/Occupational/Speech Therapy,0.05
Stop Gap,stop_gap,International,Misc Med,Clinic - ABA/Occupational/Speech Therapy,0.0
Sexual Abuse,sexual_abuse,International,Misc Med,Clinic - ABA/Occupational/Speech Therapy,0.1
TRIA,tria,International,Misc Med,Clinic - ABA/Occupational/Speech Therapy,0.0
Employee Benefits Liability,employee_benefits_liability,International,Misc Med,Clinic - ABA/Occupational/Speech Therapy,0.005
Punitive Damages,punitive_damages,International,Misc Med,Clinic - ABA/Occupational/Speech Therapy,0.1
Professional Liability,professional_liability,US,Misc Med,Clinic - Radiation/Oncology,1.0
General Liability,general_liability,US,Misc Med,Clinic - Radiation/Oncology,0.05
Product Liability,product_liability,US,Misc Med,Clinic - Radiation/Oncology,0.02
E&O,eo,US,Misc Med,Clinic - Radiation/Oncology,0.05
Employers Liability,employers_liability,US,Misc Med,Clinic - Radiation/Oncology,0.05
Stop Gap,stop_gap,US,Misc Med,Clinic - Radiation/Oncology,0.01
Sexual Abuse,sexual_abuse,US,Misc Med,Clinic - Radiation/Oncology,0.05
TRIA,tria,US,Misc Med,Clinic - Radiation/Oncology,0.02
Employee Benefits Liability,employee_benefits_liability,US,Misc Med,Clinic - Radiation/Oncology,0.005
Punitive Damages,punitive_damages,US,Misc Med,Clinic - Radiation/Oncology,0.1
Professional Liability/Medical Malpractice,professional_liability,International,Misc Med,Clinic - Radiation/Oncology,1.0
General Liability/Public Liability,general_liability,International,Misc Med,Clinic - Radiation/Oncology,0.05
Product Liability,product_liability,International,Misc Med,Clinic - Radiation/Oncology,0.02
E&O/Professional Indemnity,eo,International,Misc Med,Clinic - Radiation/Oncology,0.05
Employers Liability,employers_liability,International,Misc Med,Clinic - Radiation/Oncology,0.05
Stop Gap,stop_gap,International,Misc Med,Clinic - Radiation/Oncology,0.0
Sexual Abuse,sexual_abuse,International,Misc Med,Clinic - Radiation/Oncology,0.05
TRIA,tria,International,Misc Med,Clinic - Radiation/Oncology,0.0
Employee Benefits Liability,employee_benefits_liability,International,Misc Med,Clinic - Radiation/Oncology,0.005
Punitive Damages,punitive_damages,International,Misc Med,Clinic - Radiation/Oncology,0.1
Professional Liability,professional_liability,US,Misc Med,Clinic - Sleep,1.0
General Liability,general_liability,US,Misc Med,Clinic - Sleep,0.07
Product Liability,product_liability,US,Misc Med,Clinic - Sleep,0.02
E&O,eo,US,Misc Med,Clinic - Sleep,0.05
Employers Liability,employers_liability,US,Misc Med,Clinic - Sleep,0.05
Stop Gap,stop_gap,US,Misc Med,Clinic - Sleep,0.01
Sexual Abuse,sexual_abuse,US,Misc Med,Clinic - Sleep,0.1
TRIA,tria,US,Misc Med,Clinic - Sleep,0.02
Employee Benefits Liability,employee_benefits_liability,US,Misc Med,Clinic - Sleep,0.005
Punitive Damages,punitive_damages,US,Misc Med,Clinic - Sleep,0.1
Professional Liability/Medical Malpractice,professional_liability,International,Misc Med,Clinic - Sleep,1.0
General Liability/Public Liability,general_liability,International,Misc Med,Clinic - Sleep,0.07
Product Liability,product_liability,International,Misc Med,Clinic - Sleep,0.02
E&O/Professional Indemnity,eo,International,Misc Med,Clinic - Sleep,0.05
Employers Liability,employers_liability,International,Misc Med,Clinic - Sleep,0.05
Stop Gap,stop_gap,International,Misc Med,Clinic - Sleep,0.0
Sexual Abuse,sexual_abuse,International,Misc Med,Clinic - Sleep,0.1
TRIA,tria,International,Misc Med,Clinic - Sleep,0.0
Employee Benefits Liability,employee_benefits_liability,International,Misc Med,Clinic - Sleep,0.005
