"Path","Name","Type","Mode","Optionality","Label","Default Value","Async Input","Async Output"
"cds/exposure/aggregate/cbi_perils/unnamed/is_covered_selected","is_covered_selected","str","input","required","Covered","No","n/a","n/a"
"cds/exposure/aggregate/cbi_perils/unnamed/limit_selected","limit_selected","float","input","optional","Limit","None","n/a","n/a"
"cds/exposure/aggregate/cbi_perils/unnamed/excess_selected","excess_selected","float","input","optional","Excess","None","n/a","n/a"
"cds/exposure/aggregate/cbi_perils/unnamed/deductible_selected","deductible_selected","float","input","optional","Deductible","None","n/a","n/a"
"cds/exposure/aggregate/cbi_perils/unnamed/distance_selected","distance_selected","float","input","optional","Distance","None","n/a","n/a"
"cds/exposure/aggregate/cbi_perils/unnamed/metric_selected","metric_selected","str","input","optional","Distance
Metric","None","n/a","n/a"
"cds/exposure/aggregate/cbi_perils/unnamed/territory_covered","territory_covered","str","input","optional","Territory
Covered","None","n/a","n/a"
"cds/exposure/aggregate/cbi_perils/unnamed","unnamed","structure","n/a","n/a","n/a","n/a","n/a","n/a"
"cds/exposure/aggregate/cbi_perils/named/is_covered_selected","is_covered_selected","str","input","required","Covered","No","n/a","n/a"
"cds/exposure/aggregate/cbi_perils/named/limit_selected","limit_selected","float","input","optional","Limit","None","n/a","n/a"
"cds/exposure/aggregate/cbi_perils/named/excess_selected","excess_selected","float","input","optional","Excess","None","n/a","n/a"
"cds/exposure/aggregate/cbi_perils/named/deductible_selected","deductible_selected","float","input","optional","Deductible","None","n/a","n/a"
"cds/exposure/aggregate/cbi_perils/named/distance_selected","distance_selected","float","input","optional","Distance","None","n/a","n/a"
"cds/exposure/aggregate/cbi_perils/named/metric_selected","metric_selected","str","input","optional","Distance
Metric","None","n/a","n/a"
"cds/exposure/aggregate/cbi_perils/named/territory_covered","territory_covered","str","input","optional","Territory
Covered","None","n/a","n/a"
"cds/exposure/aggregate/cbi_perils/named","named","structure","n/a","n/a","n/a","n/a","n/a","n/a"
"cds/exposure/aggregate/cbi_perils/interruption/is_covered_selected","is_covered_selected","str","input","required","Covered","No","n/a","n/a"
"cds/exposure/aggregate/cbi_perils/interruption/limit_selected","limit_selected","float","input","optional","Limit","None","n/a","n/a"
"cds/exposure/aggregate/cbi_perils/interruption/excess_selected","excess_selected","float","input","optional","Excess","None","n/a","n/a"
"cds/exposure/aggregate/cbi_perils/interruption/deductible_selected","deductible_selected","float","input","optional","Deductible","None","n/a","n/a"
"cds/exposure/aggregate/cbi_perils/interruption/distance_selected","distance_selected","float","input","optional","Distance","None","n/a","n/a"
"cds/exposure/aggregate/cbi_perils/interruption/metric_selected","metric_selected","str","input","optional","Distance
Metric","None","n/a","n/a"
"cds/exposure/aggregate/cbi_perils/interruption/territory_covered","territory_covered","str","input","optional","Territory
Covered","None","n/a","n/a"
"cds/exposure/aggregate/cbi_perils/interruption","interruption","structure","n/a","n/a","n/a","n/a","n/a","n/a"
"cds/exposure/aggregate/cbi_perils/denial/is_covered_selected","is_covered_selected","str","input","required","Covered","No","n/a","n/a"
"cds/exposure/aggregate/cbi_perils/denial/limit_selected","limit_selected","float","input","optional","Limit","None","n/a","n/a"
"cds/exposure/aggregate/cbi_perils/denial/excess_selected","excess_selected","float","input","optional","Excess","None","n/a","n/a"
"cds/exposure/aggregate/cbi_perils/denial/deductible_selected","deductible_selected","float","input","optional","Deductible","None","n/a","n/a"
"cds/exposure/aggregate/cbi_perils/denial/distance_selected","distance_selected","float","input","optional","Distance","None","n/a","n/a"
"cds/exposure/aggregate/cbi_perils/denial/metric_selected","metric_selected","str","input","optional","Distance
Metric","None","n/a","n/a"
"cds/exposure/aggregate/cbi_perils/denial/territory_covered","territory_covered","str","input","optional","Territory
Covered","None","n/a","n/a"
"cds/exposure/aggregate/cbi_perils/denial","denial","structure","n/a","n/a","n/a","n/a","n/a","n/a"
"cds/exposure/aggregate/cbi_perils/ingress/is_covered_selected","is_covered_selected","str","input","required","Covered","No","n/a","n/a"
"cds/exposure/aggregate/cbi_perils/ingress/limit_selected","limit_selected","float","input","optional","Limit","None","n/a","n/a"
"cds/exposure/aggregate/cbi_perils/ingress/excess_selected","excess_selected","float","input","optional","Excess","None","n/a","n/a"
"cds/exposure/aggregate/cbi_perils/ingress/deductible_selected","deductible_selected","float","input","optional","Deductible","None","n/a","n/a"
"cds/exposure/aggregate/cbi_perils/ingress/distance_selected","distance_selected","float","input","optional","Distance","None","n/a","n/a"
"cds/exposure/aggregate/cbi_perils/ingress/metric_selected","metric_selected","str","input","optional","Distance
Metric","None","n/a","n/a"
