"Path","Name","Type","Mode","Optionality","Label","Default Value"
"cds/exposure/granular/music/record_label_medium/base_rate","base_rate","float","input","optional","Base Rate","0"
"cds/exposure/granular/music/record_label_medium/comment","comment","str","input","optional","Comment","None"
"cds/exposure/granular/music/record_label_medium/show_row","show_row","bool","output","n/a","Show Row","n/a"
"cds/exposure/granular/music/record_label_medium","record_label_medium","structure","n/a","n/a","n/a","n/a"
"cds/exposure/granular/music/music_talent/base_rate","base_rate","float","input","optional","Base Rate","0"
"cds/exposure/granular/music/music_talent/comment","comment","str","input","optional","Comment","None"
"cds/exposure/granular/music/music_talent/show_row","show_row","bool","output","n/a","Show Row","n/a"
"cds/exposure/granular/music/music_talent","music_talent","structure","n/a","n/a","n/a","n/a"
"cds/exposure/granular/music/other4/base_rate","base_rate","float","input","optional","Base Rate","0"
"cds/exposure/granular/music/other4/comment","comment","str","input","optional","Comment","None"
"cds/exposure/granular/music/other4/show_row","show_row","bool","output","n/a","Show Row","n/a"
"cds/exposure/granular/music/other4","other4","structure","n/a","n/a","n/a","n/a"
"cds/exposure/granular/music/composer_high/base_rate","base_rate","float","input","optional","Base Rate","0"
"cds/exposure/granular/music/composer_high/comment","comment","str","input","optional","Comment","None"
"cds/exposure/granular/music/composer_high/show_row","show_row","bool","output","n/a","Show Row","n/a"
"cds/exposure/granular/music/composer_high","composer_high","structure","n/a","n/a","n/a","n/a"
"cds/exposure/granular/music/artist_high/base_rate","base_rate","float","input","optional","Base Rate","0"
"cds/exposure/granular/music/artist_high/comment","comment","str","input","optional","Comment","None"
"cds/exposure/granular/music/artist_high/show_row","show_row","bool","output","n/a","Show Row","n/a"
"cds/exposure/granular/music/artist_high","artist_high","structure","n/a","n/a","n/a","n/a"
"cds/exposure/granular/music/record_label_high/base_rate","base_rate","float","input","optional","Base Rate","0"
"cds/exposure/granular/music/record_label_high/comment","comment","str","input","optional","Comment","None"
"cds/exposure/granular/music/record_label_high/show_row","show_row","bool","output","n/a","Show Row","n/a"
"cds/exposure/granular/music/record_label_high","record_label_high","structure","n/a","n/a","n/a","n/a"
"cds/exposure/granular/music/other5/base_rate","base_rate","float","input","optional","Base Rate","0"
"cds/exposure/granular/music/other5/comment","comment","str","input","optional","Comment","None"
"cds/exposure/granular/music/other5/show_row","show_row","bool","output","n/a","Show Row","n/a"
"cds/exposure/granular/music/other5","other5","structure","n/a","n/a","n/a","n/a"
"cds/exposure/granular/music/composer_severe/base_rate","base_rate","float","input","optional","Base Rate","0"
"cds/exposure/granular/music/composer_severe/comment","comment","str","input","optional","Comment","None"
"cds/exposure/granular/music/composer_severe/show_row","show_row","bool","output","n/a","Show Row","n/a"
"cds/exposure/granular/music/composer_severe","composer_severe","structure","n/a","n/a","n/a","n/a"
"cds/exposure/granular/music/licensing/base_rate","base_rate","float","input","optional","Base Rate","0"
"cds/exposure/granular/music/licensing/comment","comment","str","input","optional","Comment","None"
"cds/exposure/granular/music/licensing/show_row","show_row","bool","output","n/a","Show Row","n/a"
"cds/exposure/granular/music/licensing","licensing","structure","n/a","n/a","n/a","n/a"
"cds/exposure/granular/music/streaming/base_rate","base_rate","float","input","optional","Base Rate","0"
"cds/exposure/granular/music/streaming/comment","comment","str","input","optional","Comment","None"
"cds/exposure/granular/music/streaming/show_row","show_row","bool","output","n/a","Show Row","n/a"
"cds/exposure/granular/music/streaming","streaming","structure","n/a","n/a","n/a","n/a"
"cds/exposure/granular/music/royalties/base_rate","base_rate","float","input","optional","Base Rate","0"
"cds/exposure/granular/music/royalties/comment","comment","str","input","optional","Comment","None"
"cds/exposure/granular/music/royalties/show_row","show_row","bool","output","n/a","Show Row","n/a"
"cds/exposure/granular/music/royalties","royalties","structure","n/a","n/a","n/a","n/a"
"cds/exposure/granular/music/supervision/base_rate","base_rate","float","input","optional","Base Rate","0"
"cds/exposure/granular/music/supervision/comment","comment","str","input","optional","Comment","None"
"cds/exposure/granular/music/supervision/show_row","show_row","bool","output","n/a","Show Row","n/a"
"cds/exposure/granular/music/supervision","supervision","structure","n/a","n/a","n/a","n/a"
"cds/exposure/granular/music/other6/base_rate","base_rate","float","input","optional","Base Rate","0"
"cds/exposure/granular/music/other6/comment","comment","str","input","optional","Comment","None"
"cds/exposure/granular/music/other6/show_row","show_row","bool","output","n/a","Show Row","n/a"
"cds/exposure/granular/music/other6","other6","structure","n/a","n/a","n/a","n/a"
"cds/exposure/granular/music","music","structure","n/a","n/a","n/a","n/a"
"cds/exposure/granular/tvfilm/other1/base_rate","base_rate","float","input","optional","Base Rate","0"
"cds/exposure/granular/tvfilm/other1/comment","comment","str","input","optional","Comment","None"
"cds/exposure/granular/tvfilm/other1/show_row","show_row","bool","output","n/a","Show Row","n/a"
"cds/exposure/granular/tvfilm/other1","other1","structure","n/a","n/a","n/a","n/a"
"cds/exposure/granular/tvfilm/production2/base_rate","base_rate","float","input","optional","Base Rate","0"
"cds/exposure/granular/tvfilm/production2/comment","comment","str","input","optional","Comment","None"
"cds/exposure/granular/tvfilm/production2/show_row","show_row","bool","output","n/a","Show Row","n/a"
"cds/exposure/granular/tvfilm/production2","production2","structure","n/a","n/a","n/a","n/a"
"cds/exposure/granular/tvfilm/broadcast2/base_rate","base_rate","float","input","optional","Base Rate","0"
"cds/exposure/granular/tvfilm/broadcast2/comment","comment","str","input","optional","Comment","None"
"cds/exposure/granular/tvfilm/broadcast2/show_row","show_row","bool","output","n/a","Show Row","n/a"
"cds/exposure/granular/tvfilm/broadcast2","broadcast2","structure","n/a","n/a","n/a","n/a"
"cds/exposure/granular/tvfilm/distribution_verylow/base_rate","base_rate","float","input","optional","Base Rate","0"
"cds/exposure/granular/tvfilm/distribution_verylow/comment","comment","str","input","optional","Comment","None"
"cds/exposure/granular/tvfilm/distribution_verylow/show_row","show_row","bool","output","n/a","Show Row","n/a"
"cds/exposure/granular/tvfilm/distribution_verylow","distribution_verylow","structure","n/a","n/a","n/a","n/a"
"cds/exposure/granular/tvfilm/other2/base_rate","base_rate","float","input","optional","Base Rate","0"
"cds/exposure/granular/tvfilm/other2/comment","comment","str","input","optional","Comment","None"
"cds/exposure/granular/tvfilm/other2/show_row","show_row","bool","output","n/a","Show Row","n/a"
"cds/exposure/granular/tvfilm/other2","other2","structure","n/a","n/a","n/a","n/a"
"cds/exposure/granular/tvfilm/production3/base_rate","base_rate","float","input","optional","Base Rate","0"
"cds/exposure/granular/tvfilm/production3/comment","comment","str","input","optional","Comment","None"
"cds/exposure/granular/tvfilm/production3/show_row","show_row","bool","output","n/a","Show Row","n/a"
"cds/exposure/granular/tvfilm/production3","production3","structure","n/a","n/a","n/a","n/a"
"cds/exposure/granular/tvfilm/broadcast3/base_rate","base_rate","float","input","optional","Base Rate","0"
"cds/exposure/granular/tvfilm/broadcast3/comment","comment","str","input","optional","Comment","None"
"cds/exposure/granular/tvfilm/broadcast3/show_row","show_row","bool","output","n/a","Show Row","n/a"
"cds/exposure/granular/tvfilm/broadcast3","broadcast3","structure","n/a","n/a","n/a","n/a"
"cds/exposure/granular/tvfilm/distribution_low/base_rate","base_rate","float","input","optional","Base Rate","0"
"cds/exposure/granular/tvfilm/distribution_low/comment","comment","str","input","optional","Comment","None"
"cds/exposure/granular/tvfilm/distribution_low/show_row","show_row","bool","output","n/a","Show Row","n/a"
"cds/exposure/granular/tvfilm/distribution_low","distribution_low","structure","n/a","n/a","n/a","n/a"
"cds/exposure/granular/tvfilm/other3/base_rate","base_rate","float","input","optional","Base Rate","0"
"cds/exposure/granular/tvfilm/other3/comment","comment","str","input","optional","Comment","None"
"cds/exposure/granular/tvfilm/other3/show_row","show_row","bool","output","n/a","Show Row","n/a"
"cds/exposure/granular/tvfilm/other3","other3","structure","n/a","n/a","n/a","n/a"
"cds/exposure/granular/tvfilm/production4/base_rate","base_rate","float","input","optional","Base Rate","0"
"cds/exposure/granular/tvfilm/production4/comment","comment","str","input","optional","Comment","None"
"cds/exposure/granular/tvfilm/production4/show_row","show_row","bool","output","n/a","Show Row","n/a"
"cds/exposure/granular/tvfilm/production4","production4","structure","n/a","n/a","n/a","n/a"
"cds/exposure/granular/tvfilm/broadcast4/base_rate","base_rate","float","input","optional","Base Rate","0"
"cds/exposure/granular/tvfilm/broadcast4/comment","comment","str","input","optional","Comment","None"
"cds/exposure/granular/tvfilm/broadcast4/show_row","show_row","bool","output","n/a","Show Row","n/a"
"cds/exposure/granular/tvfilm/broadcast4","broadcast4","structure","n/a","n/a","n/a","n/a"
"cds/exposure/granular/tvfilm/distribution_medium/base_rate","base_rate","float","input","optional","Base Rate","0"
"cds/exposure/granular/tvfilm/distribution_medium/comment","comment","str","input","optional","Comment","None"
"cds/exposure/granular/tvfilm/distribution_medium/show_row","show_row","bool","output","n/a","Show Row","n/a"
"cds/exposure/granular/tvfilm/distribution_medium","distribution_medium","structure","n/a","n/a","n/a","n/a"
"cds/exposure/granular/tvfilm/other4/base_rate","base_rate","float","input","optional","Base Rate","0"
