"Path","Name","Type","Mode","Label","Default Value"
"cds/bi_data/claims_listing/loss_category","loss_category","str","input","Loss Category","None"
"cds/bi_data/claims_listing/bi_paid","bi_paid","float","input","BI Paid","None"
"cds/bi_data/claims_listing/bi_os","bi_os","float","input","BI OS","None"
"cds/bi_data/claims_listing/bi_incurred","bi_incurred","float","input","BI Incurred","None"
"cds/bi_data/claims_listing/pre_peer_blend_incurred","pre_peer_blend_incurred","float","input","Pre Peer Blend Incurred","None"
"cds/bi_data/claims_listing/pre_peer_most_likely_incurred","pre_peer_most_likely_incurred","float","input","Pre Peer most likely Incurred","None"
"cds/bi_data/claims_listing/show_cat","show_cat","bool","input","Show Cat","None"
"cds/bi_data/claims_listing/show_large","show_large","bool","input","Show Large","None"
"cds/bi_data/claims_listing/class_rank","class_rank","float","input","Rank","None"
"cds/bi_data/claims_listing","claims_listing","list","n/a","n/a","n/a"
"cds/bi_data/claims_movements/date_extracted","date_extracted","date","input","Date Extracted","None"
"cds/bi_data/claims_movements/loss_category","loss_category","str","input","Loss Category","None"
