Operator,Mapped TLO Group
Air Transport Acquisition Corp,G
Islamic Republic of Iran Navy,G
Misger S.A.,G
ING Lease France SNC,G
Servicios Aereos Rio Baker,G
Civil Aviation Authority,G
Quest Aviation Holdings Limited Partnership,G
CRJ 7440 LLC,G
Star Airways,G
Golden Wings,G
I-Fly Air,G
CityLine Hungary,G
MR Lines,G
Sverdlovsk 2nd Aviation Enterprise,G
TAVAJ,G
Dateline Overseas Ltd,G
Perfect Aviation SDN BHD,G
Crescent Air Cargo,G
ESL4SIA Educational Services Inc,G
Czech Air Force,G
Challenge Airlines,G
Magadan Regional Government,G
Rockland Aerospace,G
Euroguineana de Aviacion,G
Al Nassr Ltd,G
DC-Seis Cargo SA,G
H S Aviation,G
Pinnacle Aircraft Leasing,G
Calder Ltd,G
Fairchild Dornier (AvCraft),G
Pragma MB SA,G
Comlux Aruba,G
Constellation Productions Inc,G
Lamont Sea Maritime SA,G
Trident Aviation Leasing Services (Ireland) Ltd,G
ANAP Jets,G
DirektFlyg,G
Hex' Air,G
Aguila One Corp,G
SOAR,G
Star Air Aviation,G
Compagnie Mauritanienne de Transports Aerien,G
Lockheed Martin Aeronautical Systems,G
Conquest Air Inc,G
Montrose Global,G
Jet Maintenance Solutions,G
PS Group Inc,G
ATK Antey-2 OOO,G
ASL Airlines UK,G
Bornholmerflyet,G
Air Speed Charter FZE,G
Ilyushin Finance Company,G
Aeroparts Inc,G
Government of Turkmenistan,G
Jenny Jamet,G
Zebriflo Investments (Pty) Ltd,G
Nigeria Airways,G
Johnsons Air,G
El Dinder Aviation,G
Transpacific Heavylift Inc,G
ZAO Liner,G
Comfort Line Ltd,G
Fly BAe146,G
John Mark Chiddick,G
Quart Aviation Aircraft One,G
Wasaya Airways,G
Fira SarL,G
Triarc Company,G
Turbo 72-500 Leasing Ltd,G
Vizion Air,G
Gordon P Getty,G
Slovakian Airlines,G
Air Rotables Inc,G
Air Brasil Linhas Aereas,G
RSM Richter Inc,G
Tropical,G
Palau Airways,G
Thai Sky Airlines,G
Orient Air,G
AGV International Leasing NR 11 Gmbh & Inter KG,G
Coprix Finance Ltd,G
Aerotradex Inc,G
PRiMA Aero Trasporti Italiani,G
The Flightstar Group Inc,G
AviaStar Air Company,G
Heidi Aviation LLC,G
ISR Platforms LLC,G
Hudson United Bank,G
FlyValan,G
QIC Europe Ltd,G
Hibernian Airlines,G
Marshall Aerospace Ltd,G
Cybergate Nevada LLC,G
Russian Federal Frontier Guards,G
Mahfooz Aviation,G
Fanjet Express,G
SP Aircraft Owner I LLC,G
Aravco Ltd,G
Airlink (PNG),G
Honeywell International Inc (Arizona),G
Air Indus,G
Fairfield Aviation Ltd,G
Government of Gambia,G
Alok Air,G
Cape Finance Ltd,G
Pilar II Leasing Ltd,G
Sun Air Aviation,G
Luxury Air,G
Unconfirmed Philippine Airline,G
Wallis Trading Company,G
Fugro LADS Corporation Ltd,G
Congo Airways WAC,G
Elite Express LLC,G
Angola Air Charter,G
Canguro o.n.l.u.s. Flights Aid,G
Asia Wings,G
CATIC,G
Airclass Airways,G
JL Rhein Lease Co Ltd,G
Air Chathams,G
Nordea Finans Sverige AB,G
Double O Aviation LLC,G
Trans Air Benin,G
Sterna Linhas Aereas,G
Silverwing,G
Government of Madagascar,G
Atruvera Air Transport Company,G
Flycraft II ltd,G
Wingo xprs,G
Peresvet Avia,G
FlyEst,G
Easycharter,G
Caribbean Cargo Carriers LLC,G
Eurolynx Corporation,G
Khanty-Mansiysk Regional Government,G
Aero-Fret Business,G
Archway Aviation,G
Delcar Express,G
OFSB Ltd,G
Royal Dutch Air Force Historic Flight,G
Mena Cargo,G
Enterprise Aviation Bermuda Limited,G
Pilar I Leasing Ltd,G
Vitoria Regia Leasing Limited,G
Castle Aircraft Finance (No1) Ltd,G
Ban Air Cargo,G
Elbee Airlines,G
ASAS Linhas Aereas,G
Technoline FZC,G
Jet Express Holdings Ltd,G
Rudufu,G
Ajwa Aviation,G
Aztec Alliance Cargo,G
Flying Tech Co Ltd,G
Gala Trans Cargo,G
Transflorida Aviation LLC,G
Guardia di Finanza,G
Jetcom S.R.L,G
Jump Air,G
River One Ltd,G
Asia Airways,G
Hellenic Air Force,G
Sun Air (Egypt),G
Alan Moffatt,G
OK Consultants Inc (California),G
Aviodetachment 28,G
Cal Jet Air,G
Oryx Jet,G
V6U-737 LLC,G
Portigon Financial Services AG,G
Validus Aviation 757 LLC,G
Parallel Express,G
Yeongnam Air,G
UAUA 2000-2 EETC Portfolio,G
Business Aviation Group,G
SAAD Air Ltd,G
Mass Holding NV,G
AirSal,G
Kalitta Charters,G
Noor Airways,G
Asian Leasing Group Ltd,G
Greenapple Inc,G
DDH Aircraft Corp,G
Mr E Baleke et al,G
Djibouti Air,G
Starline.kz,G
International Airline Support Group Inc,G
Xejet,G
Freedom Air (Greece),G
Bismillah Airlines,G
South African Air Force,G
International Aviation Holdings,G
IFL Group,G
Air Leone,G
JMC Investments Pty Ltd,G
Avia Import,G
Aeronautica,G
Coapa Air SA de CV,G
AMS Airlines,G
Central Airlines,G
Galaxy Aviation,G
Savanna Aviation LLC,G
Sunu Air,G
ACME Aircraft Parts Emporium Inc,G
PharmAir Corp,G
KB Aircraft Acquisitions LLC,G
410 Airframe Acquisition LLC,G
Air Class Cargo,G
Heritaviation II,G
Pacific Royale,G
Clay Lacy Aviation Inc,G
Delos Leasing Corp,G
hdair.com,G
debis Financial Services Inc,G
Corporate Aircraft Leasing Ltd,G
Avias-2000 Ltd,G
Kush Aviation,G
Quiroz Sanchez Gerardo Alejandro,G
Special Ops Ltd,G
Melendez African Open Sky,G
GoldenWings Aviation (SA) Pty Ltd,G
PSEG Resources Inc,G
Finaval Aviation Srl,G
Societe Normande D'Enterprises SARL,G
M&I Equipment Finance Co,G
UEP Fly,G
Malu Aviation,G
Dimonim Air,G
Platinum Services Ltd,G
Northern Thunderbird Air,G
SUR Lineas Aereas,G
Sumitomo Mitsui Finance & Leasing,G
TNT Express Worldwide UK Ltd,G
Holiday Airways,G
Trident Jet (Jersey) Ltd,G
Airline Fleet Support BV,G
SST Aviation Ltd,G
Star Airlines,G
Enar Lindstrom AB,G
Nygard Ventures Inc,G
SZ General Aviation Service Co Ltd,G
Azov-Avia Aircompany,G
Federal Government of Nigeria,G
UAL 1994-A JETS Portfolio,G
Mercury Radio Arts Inc,G
Silk Road Cargo Business,G
Twinjet Aircraft,G
Atlantic Express,G
Reliance Commercial Dealers Ltd,G
Honeywell Inc,G
Astar Air Cargo Holdings LLC,G
Ukraine Ministry of Transport,G
Olesya Aircraft Leasing Limited,G
DB Export-Leasing GmbH,G
Penas Air Cargo,G
Aeromaster del Peru SAC,G
OLT Regional Express,G
ZanAir,G
Meelad Air,G
PIA Express,G
Dresdner Kleinwort Wasserstein Leasing M,G
Wanair,G
Blueberry Aviation,G
SAVA,G
Sky One,G
Ready 4 Aero,G
Sky Prime Aviation Services,G
TAG Aviation,G
KF Aero,G
Government of Uzbekistan,G
Banc of America Commercial Finance Corp,G
Aero Stock,G
El Sol De America,G
SouthJet One Limited,G
World Wide Aircraft Ferrying Ltd,G
K-Tractor Parts,G
Aircraft Technical Support Sales Inc,G
BAe Systems Inc,G
ACE Aviation Services Ltd,G
Government of Armenia,G
Albatross Avia,G
Fokker Aircraft N1426A Trust,G
Peruvian Coast Guard,G
Aero-Sky SA,G
Moalem Aviation,G
Stichting Fokker Heritage Flight,G
Evergreen Aviation Sales & Leasing Co,G
Falcon Air Leasing,G
VASP,G
Safire,G
Sky Mali,G
Rotec Industries Inc & RO II Inc,G
Valley Commercial Inc & Global T & E Inc,G
Kanem Air,G
Fly 6ix,G
Pacific Harbor Capital Inc,G
Click Airways International,G
Eagle Support Corp,G
Glynn County Sheriff,G
China Lantian Trade Company Ltd,G
Riverhorse Aviation Group Inc,G
Victorville Aerospace LLC,G
Best Kompaniya OOO,G
Elmo Aviation Ltd,G
Air Lib,G
422 Holdings Inc,G
Valahia Air,G
Gazelle Ltd,G
Caltex Pacific,G
Government of Ukraine,G
Jenis Air,G
Ukraine Air Alliance,G
AELF FlightService,G
Leasing Finance EAD,G
Scibe Airlift,G
Cen-Sad,G
Starjet,G
MGC Aircraft Maintenance,G
Red River Aircraft Leasing LLC,G
NXT Air,G
TAPC Aviatrans,G
Aerolineas Executive Jet,G
East Shore Aircraft LLC,G
GIE Lerins,G
OMNI Taxi Aereo,G
Asset Management Corp of Nigeria,G
Orbital Science LLC,G
Aerotekhservis,G
Jatayu Airlines,G
Antoine Finance Corp,G
Coleman Jet LLC,G
ConocoPhillips Alaska Inc & BP Exploration(Alaska),G
Pacific Sky Aviation Inc,G
Samaritans Purse,G
MLW Air LLC,G
Fly Tristar Services,G
Air Mali (1),G
Jetalliance Flugbetriebs,G
Osab Air,G
Photros Air,G
Jordan Gate Airlines,G
Blue Moon Aviation,G
Ishtar Airlines,G
Meteor Aero,G
Rossiya State Transport Company,G
Government of Chad,G
Northeast Airlines,G
Colombian Navy,G
Aviation Partenaires,G
Dau Global Leasing LLC,G
Jet Tech International Inc,G
D van Berkel,G
Spectrum Aerospace,G
PAC Jet Acquisitions III LLC,G
Rio Amazonas,G
K-Air,G
VIF Aircraft Pty Ltd,G
Banc of America Leasing & Capital LLC (2),G
Mangol Airlines,G
Aspire Airlines,G
Al Tameer Co,G
Fort Lauderdale Aerospace Inc,G
"Trust N695BR, N696BR, N697BR",G
Aeropostal Alas De Centroamerica,G
Voyager Airlines,G
Regional Aviation Group,G
Saudi Royal Aviation,G
AirTaxi Sudan,G
Commercial Finance EFD 2002-II LLC,G
Jetair Caribbean,G
IRBIS,G
Bricknell Aviation And Property Pty Ltd,G
Crede Capital Group LLC,G
X Aviation Group LLC,G
Victoria Air,G
Nav Canada Inventory Holding Company Inc,G
Almajara Aviation,G
Barclays Bank plc,G
Jet Finance Group LLC,G
Avio Bravo Ltd,G
Air Highnesses,G
Club328,G
Corretajes Verisa Ltda,G
Helicopteros Nimbus Sa,G
Kolob Canyons Air Services,G
Localease Aviation BV,G
Zoom Airways,G
Trans Gulf Corp,G
Government of Belarus,G
Globe Ltd,G
PSI Air 2007,G
Mundo Aereo S.A.,G
Sunrise Asset Management LLC,G
Aircraft Traders Belgium SA,G
Hello Air,G
Intergalactic,G
Libyan National Army,G
Picaflor Leasing Ltd,G
Bestfly Cabo Verde,G
Indus Airways,G
Ariel Aviation IV Limited,G
Air Tropiques,G
First Financial Insurance Co,G
Sky Aero,G
Corporate Mexican Operator,G
GRG Aircraft and Leasing,G
Awsaj Aviation Services,G
TM Aircraft 28563 Ltd,G
Key Equipment Finance,G
Sterlitamak Air Enterprise,G
Thai Express Cargo,G
Cheikh Niang,G
Safe Air Company,G
Socrates 622 Ltd,G
JS Air,G
Unconfirmed Venezuelan Airline,G
Azmar Airline,G
SAMCO Aviation,G
Aldus Aviation,G
Newjet Corp,G
Sky KG Airlines,G
Magellan Aviation Group,G
Government of South Africa,G
Asia Avia Airlines,G
Skylease Ltd,G
New Century Aviation - Oregon LLC,G
Clementine Aviation Services Inc,G
UMI International Inc,G
CFTE - China Flight Test Establishment,G
International Aircraft Management BV,G
Aerolesen S A,G
Go Jet Inc,G
Will Airlift,G
Stansted Aircraft Finance (No.2) Ltd,G
727X Aerospace Corp,G
Etram Air Wing,G
DXD Holdings,G
Arikayes Air,G
Fayaka Airways,G
Met Air,G
Hubli Aircraft Leasing Ltd,G
Ithifly,G
Hellenic Imperial Airways,G
Executive Airlines (Australia),G
San Paolo Leasing SPA,G
Eskglen Shipping Company,G
Ryan MDBJ LLC,G
McAir Inc,G
Pearl Jam Touring Inc,G
World2Fly,G
United Breweries,G
Drug Enforcement Administration,G
Latittude Hub,G
Busy Bee Congo,G
All Canada Express,G
JEGE Inc,G
Wat Phnom Airlines,G
Flying Fish Airline CC,G
Star Equatorial Airlines,G
Aerospace Sales & Leasing Co Inc,G
EP Institut Geographique National,G
AF Aerospace,G
Hillwood Airways,G
uSKY AIR,G
Sky Eyes Airlines,G
MET International Inc,G
Moscow Sky,G
Enimex,G
Northwest Aircraft Inc,G
Victory Jet,G
Jet Aviation 125 Services LLC,G
Safari Express Cargo,G
First International Airlines,G
Imetame Metalmechanica,G
Falcon Administration LLC,G
Kostar Airlines,G
Paramount Jet,G
Aquiline Austria,G
CTA Aerospace LLC,G
Mais Linhas Aereas,G
AVENSA,G
American Aerospace Inc,G
Cascade Spares,G
Maverick Aviation Holdings Inc,G
Royal Son's Inc,G
Airline Technical Support BV,G
ATM Aviation,G
ING Lease (Ireland) BV,G
Corporate Paraguayan Operator,G
Nicon Airways,G
Dodson International Charter,G
First Manx Aviation Holdings Ltd,G
Fly Wex,G
CMIG Leasing,G
FSG Aviation Ltd,G
International Student Recruitment (UK) Ltd,G
Aeroparts SA,G
Neptune Aviation Transport Services Inc,G
Transporte Aereo,G
Pacific Pearl Airways,G
Bombardier (Learjet),G
Century Services Inc,G
Sky Star FZC,G
Time Aviation SA (PTY) Ltd,G
Worldwide Aircraft Holding Co (Bermuda) Ltd,G
Aviation Inventory Resources Inc,G
Flyjet Sdn Bhd,G
Atlantic Aircraft Inc,G
Eagle Aviation,G
First Prop Aviation Ltd,G
Premier Aircraft Management Inc,G
Rom Cargo Airlines,G
Rubloff MD87-936 LLC,G
Sky Relief (Kenya),G
Air Hold Assets Ltd,G
Skyjet Ltd,G
Air Guinee International,G
CFS Air Cargo,G
Dugan Kinetics NV LLC,G
Government of Yemen Arab Republic,G
Intal Air,G
Mojave Jet LLC,G
First Class Aircraft Repair Inc,G
ConocoPhillips Alaska Inc,G
Flyways Linhas Aereas,G
Perris Valley Aviation Service,G
Air Ventures AVV,G
Avenue Capital AMR N625AA,G
Comerica Leasing Corp,G
Kayo Limited,G
ST Engineering Aerospace Resources,G
TAT Industries,G
The Yucaipa Companies LLC,G
AviancaTaca Holding SA,G
Suncor Energy Inc,G
Aerospace Asset Trading,G
M-DOT Aviation LLC,G
GS/MC Leasing Holdings (MD82) LLC,G
Heritaviation II Europe Ltd,G
Interflight Airline Marketing Consultant,G
NG Eagle,G
Saudi Oger,G
Chelsea Green Aviation Ltd,G
Dallah Avco,G
Mojave Jet Asset Services LLC,G
Petters Aviation LLC,G
Aircraft Finance Services Inc,G
Arabian Support and Services Co Ltd (ASASCO),G
Avenue Capital AMR N623AA,G
HL Aviation LLC,G
Pan Am Railways Inc,G
Tim Holdings,G
BPI Aerospace Trading LLC,G
Government of Azerbaijan,G
LOCAFIT Locazione Macchinari Industriali SpA,G
Bravo Cargo Air,G
Fry's Electronics Inc,G
Interstate Airways,G
Pratt & Whitney,G
Airbahn,G
Arabasco,G
Azul Uruguay,G
Gateway American Holdings Inc,G
Top Air,G
AeroDan SA de CV,G
Pan American Airways,G
Team Aviation LLC,G
Thales Airborne Systems,G
Aero Postal Cargo de Mexico,G
Corpac Canada,G
MAT Airways,G
One Charter LLC,G
Platinum Airlines,G
Star Dynamics Aviation LLC,G
THT Air Services,G
Corporate Central African Republic Operator,G
Wiggins Airways,G
CC2B LLC,G
Earth Airlines,G
XL Trading,G
African Holding Co of America Inc,G
Aviation Finance 3 Ltd,G
Fokker Aircraft Services BV,G
Jet Aviation Components&Aircraft International Inc,G
Noybim LLC,G
Planes For Africa,G
Sectum Air Services Kft,G
Semeyavia,G
University Alas Peruanas,G
ADC Airlines,G
Air Batumi,G
Interlease Aviation Investors LLC,G
Kurdistan Airlines,G
Magpie Aviation Leasing,G
MED Airlines,G
Peninsula Aviation LLC,G
VIA Uganda,G
227th State Airline Flight Unit,G
230th State Airline Flight Unit,G
231st State Airline Flight Unit,G
"987 Investments, LLC",G
A I Burnazyan Federal Medical & Biophysical Center,G
A M F Aircraft Leasing Meier & Fisher Gmbh & Co KG,G
A Zelinsky,G
A. A. Bashirov,G
Abavia,G
ABX Holdings Inc,G
Adeks-Avia,G
Administration of Kogalym,G
Advance Aviation Support Ltd,G
Advance Leasing Company,G
Aer Caribe Peru,G
Aeriantur-M Airlines,G
Aero-Pioneer Group,G
Aero-Pioneer of Africa,G
Aero-Service,G
Aero-Tranzit,G
Aero Africa,G
Aero Lab International,G
Aero North International Ltd,G
Aero Partners Ltd,G
Aero Rent 2000,G
Aero Sky LLC,G
Aero Trans Service,G
Aerobratsk,G
Aerocentro de Servicios Caroni,G
Aerocom,G
Aeroejecutivos CA,G
Aeroexpress,G
Aerofreighter LLC,G
AeroGeo,G
Aerogryf,G
Aerojet Ltd,G
Aeroklub Nowy Targ,G
Aerokuzbass,G
Aerolimousine,G
Aerolineas Andinas,G
Aerolux,G
Aerom,G
Aeromoscovia,G
Aeromost - Kharkov Airlines,G
Aeronautical Airmotive Modifications Inc,G
Aeronavigatsiya Yuga,G
Aeronord-Group,G
Aeroparaguana,G
Aeroservis OAO (Kazan),G
Aerospace,G
Aerospace Finance Leasing Inc,G
Aerostroy,G
Aerotec,G
Aerotecnic LLC,G
Aerotrust Ltd,G
Aerotur Air,G
Aerovis Airlines,G
Aerovista Gulf Express,G
Aerowings,G
AfrBail GIE de Droit Francais,G
Afreximbank,G
Africa Air Assistance,G
Africa One,G
Africa United Holding Co,G
Africa West,G
Africa West Cargo,G
African Air Service Commuter,G
African Airlines Express,G
African Daze Trading 513 CC,G
Afrik Air Links,G
Agat OOO,G
Aigle Aviation,G
AIM Air,G
Air-Van Airlines,G
Air 26,G
Air Aceh,G
Air Afrique,G
Air Atlantic Congo,G
Air Baghdad,G
Air Burundi,G
Air Cargo Chartering,G
Air Charter Cargo,G
Air Chayka,G
Air company North-West,G
Air Continental Ltd,G
Air Costa Rica,G
Air Eagle,G
Air Efata,G
Air Express,G
Air Force Museum Heritage Foundation,G
Air Gulf Falcon,G
Air Horizon,G
Air KG,G
Air Kiribati,G
Air Koryo,G
Air Kyrgyzstan (1),G
Air Link International Airways,G
Air Linkers LLC,G
Air Livonia,G
Air Mark International,G
Air Max,G
Air Million Cargo Charter,G
Air Nacoia,G
Air Nave,G
Air Navette,G
Air Ocean Airlines,G
Air One Corr,G
Air One LLC,G
Air Premia,G
Air Scorpio,G
Air Services International,G
Air Sofia,G
Air Space Agency,G
Air Stork,G
Air Tomisko,G
Air Travel,G
Air Tsolak,G
Air Ukraine,G
Air Vendee Investissements,G
Air Victory Georgia,G
Air Wings,G
AirAsia Japan,G
AirAsia Japan (1),G
Airborne Support Inc,G
Aircompany Grodno,G
Aircompany Rosavia,G
Aircraft  Maintenance Services Ltd,G
Aircraft International Renting (AIR) Ltd,G
Aircraft Inventory Corp,G
Aircraft Purchase Company No. 12 Ltd,G
Aircraft Repair Plant No 411,G
Aircraft stolen from legal owner/operator,G
Airline Transport Incorporation FZE,G
Airlines Ukraero,G
Airlogic Holding SA,G
Airmark Aviation,G
Airplane Sales International,G
Airsmith Inc,G
AirTanker,G
Airtec Inc,G
Airworthy Parts International,G
AIST M Airclub,G
AK Bars-Avia AL OOO,G
AK Bars Bank,G
Akka MA1 Ltd,G
Akros OOO,G
Aktyubinsk Higher Flying College of Civil Aviation,G
Al-Rafedain Falcon,G
Al Hokair Aviation Ltd,G
Al Rais Cargo Airlines,G
Al Salam,G
Al Thuraya Marine Services,G
ALADA,G
Albatross Aero Club,G
Alcazar LLC,G
ALCI Aviation Ltd,G
Alcon,G
Alexandair,G
Alexandra Avia Leasing,G
Alfa 92 Aircompany,G
ALG- VIR-747RR Ltd,G
Algerian Air Force,G
ALJ Engines Supply Inc,G
Alkmaar Air Holding BV,G
Alliance Avia,G
Allied Services,G
Allied Services Limited,G
Almaty Avia,G
Almiron Aviation (Uganda),G
Alpha Wings Ltd,G
Alrosa Avia,G
Alter Bail Aviation,G
AMAC Aerospace,G
Amako Airlines,G
Amazon Sky,G
AMC - Aircraft Maintenance Center FZA 3-45,G
Amel Aruba Ltd & MME Aviation (Cayman Islands) Ltd,G
America Linares Beltran,G
American Museum of Aviation,G
AMMZ Ltd,G
Amur Airlines,G
Amur Regional Government,G
AMW tchad,G
Anglo Operations,G
Anikay Air Company,G
Anrad Aero,G
Antal Service Ltd,G
Antinea Airlines,G
Anton Air,G
Antonov,G
Antonov Airlines,G
Antonov Finance State Enterprise,G
AOPA Nigeria,G
APS Trading Services,G
Arctic Aviation Assets,G
ARGO,G
Ariella Airlines,G
Arizona Department of Public Safety,G
ARjet Airlines,G
Armenian Airlines,G
Armenian International Airways,G
Armi Global Business Airways,G
Arnoro,G
ART 21799 LLC,G
Art Business Group,G
Artem-Avia,G
Artic Group Ltd,G
Artik Avia,G
AS Aviakompania,G
ASAP Charters CA,G
Ascend Aviation Marketing & Sales LLC,G
Ascent Aviation Services (Tuscon),G
ASEC Inc,G
Asencion Investments LLC,G
Asia Air Transport,G
Asia Alpha Airways,G
Asia Pacific Aerospace Pty Ltd,G
Asian Air,G
Askar,G
Asken Aviation Ltd,G
Associated Aviation,G
Associated Sales International,G
Astoria Aircraft Leasing Inc,G
Astrakhan Airlines,G
ATA Brasil,G
ATI Aircompany,G
Atlant Airways,G
Atlant Hungary Airlines,G
Atlantic BP Exploration (Alaska) Inc,G
Atlantic Express Airlines,G
Atlantic Richfield Co,G
Atlas Jet,G
Atom Airways,G
ATRiam Capital DAC,G
Autogroup VIPOS,G
AVFL Logistics Ltd,G
Avia-Lizing,G
Avia leasing Asset Management Inc,G
Aviaekspresskruiz (Russia),G
Aviaenergo,G
Aviaexpress Aircompany,G
Aviaglobal,G
Avial,G
Avialeasing Company,G
Avialift Vladivostok,G
Aviant,G
Aviaoptim Ltd,G
Aviaspetssnab Kontrol,G
Aviast,G
Aviatest ZAO,G
Aviation Communication UK Ltd,G
Aviation Connections,G
Aviation Group Holdings I,G
Aviation Inc,G
Aviation Link Co,G
Aviation Link Int,G
Aviation Parts Depot Inc,G
Aviation Technology Broker OOO,G
Aviation University of Tbilisi,G
Aviaton,G
Aviatrade Congo,G
Aviatrans,G
Avioimpex,G
Aviostart Airlines,G
Avis-Amur,G
Avluga-Trans,G
AVTrade,G
Axiom Air,G
Ayk Avia,G
Azerbaijan Air Force,G
Azimuth,G
Babani Sissko,G
Bakhtar Afghan Airline,G
Bako Air,G
Bakrie Aviation Inc,G
Bali Air,G
Baltika Airlines,G
Baltiskaya stroitelnaya kompania,G
Bangladesh Air Force,G
Bank of America NA,G
Barash Aviation,G
Barkol Aviakompania,G
BASe,G
Basler Turbo Conversions LLC,G
Bayham Ltd,G
BB 11 Ltd,G
BBC Aircraft LLC,G
Belarus Air Force,G
Belgorod Air Enterprise,G
Bellview Airlines SL,G
Belogorie,G
Ben Air,G
Benin Air Force,G
Beriev TANTK,G
Bestfly,G
BGB Air,G
Big Flats LLC,G
Bio Air,G
Bischoff Aerospace,G
Blagoveshchensk Airlines,G
Blair Investors Corp,G
BLMZ Gulf FZC,G
Blue Air Leasing,G
Blue Airlines,G
Blue Falcon Inc,G
Blue Jackets Air LLC,G
Blue Lines,G
Blue Ridge Aero Services LLC,G
Blue Sky Airways,G
Blue Sky Aviation Services,G
Blue Sky Aviation Trading LLC,G
Blue Sky Five Ltd,G
Blue Sky Four Ltd,G
Blue Sky Six Ltd,G
Blue Wing Airlines,G
BMD Investment,G
Boeing Logistics Spares Inc,G
Bolivian Army,G
Bosphorus European Airways,G
BPI Leasing-Soc.Locacao Financeira AS,G
BPV Group Ltd,G
Brascoota,G
Brass Holdings Ltd,G
Bravia,G
Bravo Air Congo,G
Bravo Air Congo Brazzaville,G
Brazza Airways,G
Bright Aviation Services,G
Brise Air,G
Bristol Air Ltd,G
Britannia Aviation Services Inc,G
British Gulf International,G
Broken Wing LLC,G
Brooklands Museum,G
BT Slavuta,G
Buckley 905W LLC,G
Buguruslan Flying School,G
Bulgarian Air Force,G
Burundaiavia,G
Bushair Safaris,G
Business Aviation Center JSC,G
Business Aviation Services Guernsey Ltd,G
Butembo Airlines,G
Buzz,G
Bylina,G
C & M Airways,G
C&L Aerospace LLC,G
CABI Airlines,G
CAIC - China Aviation Industry Corp,G
CAICA,G
California Microwave Inc,G
California Pacific Airlines (1),G
Cambodia Bayon Airlines,G
Cameroon Air Force,G
Canair Congo,G
Capital Asset Management,G
Capital Avia Invest,G
Career Aviation Company Inc,G
Cargair International Ltd,G
Cargo Airways International,G
Cargo Jets International LLC,G
Cargo North,G
Cargo Plus,G
Carpax International LLC,G
Carre Aviation Georgia,G
Casbah AG,G
Caskett Trading,G
Cavok Air,G
Celsius Amtec Corp,G
Centec Aviation,G
Centrafrique Air Express,G
Central Air,G
Central Asian Aviation Services,G
Central Leasing Corp,G
Central Siberian Skydiving Club,G
CF6-50 LLC,G
Chabahar Airlines,G
Chad Air Force,G
Challenge Aero,G
Champion Air,G
Charter America Holdings Inc,G
Chelyabinsk Airline,G
Chernomor Avia,G
China Air Cargo,G
China Coast Guard,G
China Electronic Technology Corporation No.38,G
China Flying Dragon General Aviation Co,G
China Meteorlogical Administration,G
China Southern Air Cargo,G
Chinese Academy of Meteorological Science,G
Chinese Arctic & Antarctic Administration,G
Chitaavia,G
Christian Sindie,G
Chuvashia Airlines,G
CIS Air Corp,G
Citibank Leasing Canada,G
Civil Aviation Flight University of China,G
Classic Rotors Museum,G
Clesh Aviation,G
CLF6 Inc,G
Clipper Leasing Corp,G
Clover Aircraft Leasing,G
Club Jetstream Inc,G
Co-Za Airways,G
Colibri,G
Colombian Army,G
Columbus Avia,G
COMAC,G
Comac Express,G
Comaf Industria Aeronautica Ltda,G
Comair (DRC),G
Company Resail Ltd,G
Congolese Air Force,G
Constellation West Indian Airways,G
Constructions Marketing Limited,G
Continental Airlines Purchasing Services LLC,G
Contrails Capital Inc,G
Cordial Tours & Cargo,G
Corporate Angolan Operator,G
Corporate Azerbaijan Operator,G
Corporate Bangladesh Operator,G
Corporate Colombian Operator,G
Corporate Czech Operator,G
Corporate DR Congo Operator,G
Corporate Georgian Operator,G
Corporate German Operator,G
Corporate Guinean Operator,G
Corporate Kazakhstan Operator,G
Corporate Kyrgyzstan Operator,G
Corporate Lithuanian Operator,G
Corporate Madagascan Operator,G
Corporate Romanian Operator,G
Corporate Rwandan Operator,G
Corporate Sudanese Operator,G
Corporate Ukrainian Operator,G
Corporate Venezuelan Operator,G
Cosmos Air Cargo,G
Costa Rica Skies,G
Cougar Leasing Limited,G
Crianza Aviation,G
Croatian Air Force,G
Crossline,G
Crystal Luxury Air,G
CS Aviation,G
Cuban Revolutionary Air and Air Defense Force - DA,G
Cuda Ray Investments,G
D S Kuzovenkov,G
Dakota Aviation,G
Dakota Express LLC,G
Dalian Airlines,G
Dalmashlizing,G
Damascene Airways,G
Dasab Airlines,G
Daviak Aviation Ltd (Ireland),G
DC-Cinco Pax SA,G
Delmun Aviation Services,G
Delta Air Aviation,G
Democratic Republic of Madagascar,G
Denver Inversts,G
Derco Aerospace,G
Des R. Cargo Express,G
Destiny Air,G
DGI I LLC,G
DHL Aviation (South Africa),G
Dinar Lineas Aereas,G
Diversified Aero Services Inc,G
Djibouti Air Force,G
Djibouti Airlines,G
Dobro Ltd,G
Dodson Aviation Inc,G
Dodson International Parts Inc,G
Dodson Services Inc,G
Doren Air Congo,G
Dove Air Inc,G
Dow Chemical Co,G
Dvin Air,G
Dynami Aviation,G
DynCorp Inc,G
Eagle Jet Aviation,G
EASCO,G
East-Wind,G
East African Airlines,G
East Clipper Ukraine,G
Easy Freight FZC,G
Ecolines International FZE,G
Ecuadorian Army Aviation,G
Ecuato Guineana De Aviacion,G
EFC Leasing Corp,G
Egyptian Air Force,G
El Magal Aviation,G
El Sam Airlift,G
Elitsovka Airport,G
Eltsovka,G
Emirate Touch Aviation Services,G
Emirates International Air Cargo,G
Empresa abierta,G
Energia RKK,G
Enhance Aero Group,G
Enhance Aero Maintenance SAS,G
ENIKSTSE,G
Equajet,G
Equatorial Cargo,G
