RiskCode,High Level Class of Business,Generic Class of Business,Type of Placement,Risk Code Description,Risk Code Description - Expanded,OECD Class Mapping,Assigned Tracker,Assigned BP Class
WL,Marine,Cargo,"Direct, Facultative Proportional, Facultative Excess Loss, Proportional Treaty","WAR ON LAND - From 01/01/05 also includes business previously coded ""QL""",Property physical damage for war on land,PROPERTY DAMAGE,Tracker Marine,Cargo
WX,Marine,Marine War,Excess of Loss Treaty,"XOL VESSELS  WAR AND OR CONFISCATION RISKS ONLY - From 01/01/05 also includes business previously coded ""QX""",Excess loss treaty in respect of war and/or confiscation of vessels,SHIPS DMGE & LIABILITY,Tracker Marine,War
X1,Aviation,Aviation XL,Excess of Loss Treaty,"AVIATION EXCESS OF LOSS ON EXCESS OF LOSS - From 01/01/05 also includes business previously coded ""XZ""",Aviation excess of loss treaty on excess of loss,AIRCRAFT DMGE & LIAB,Tracker Marine,Aviation PD
X2,Marine,Marine XL,Excess of Loss Treaty,MARINE XOL ON XOL INCL WAR,"Marine excess of loss treaty on excess of loss, including war",SHIPS DMGE & LIABILITY,Tracker Marine,Marine Misc
X3,Property Treaty,Property Cat XL (Non-US),Excess of Loss Treaty,NM PROP OR PECUNIARY LOSS XOL ON XOL RETROCESSION,Non-marine property including business interruption excess of loss treaty on excess of loss,PROPERTY DAMAGE,Tracker Property,Open Market
XA,Property Treaty,Property Cat XL (US),Excess of Loss Treaty,NM PROPERTY OR PECUNIARY LOSS WHOLE ACCOUNT XOL IN USA,Non-marine property damage including business interruption whole account excess of loss treaty in the USA,PROPERTY DAMAGE,Tracker Property,Open Market
XC,Property Treaty,Property Risk XS,Excess of Loss Treaty,PER RISK EXCESS OF LOSS PROP PECUNIARY LOSS REINS,Property damage including business interruption per risk excess of loss treaty,PROPERTY DAMAGE,Tracker Property,Open Market
XE,Marine,Marine XL,Excess of Loss Treaty,"ENERGY ACCOUNT XOL INCL WAR - From 01/01/05 also includes business previously coded ""X5""",Energy whole account excess of loss treaty including war,SHIPS DMGE & LIABILITY,Tracker Marine,Marine Misc
XF,Casualty Treaty,Casualty Treaty (US),Excess of Loss Treaty,NM LIABILITY EXCESS OF LOSS IN USA - FROM 2019 RISK EXPOSED,Non-marine liability whole account excess of loss treaty in the USA which is risk exposed.,GENERAL LIABILITY,Tracker SR,US Specialty Programmes
XG,Casualty Treaty,Casualty Treaty (non-US),Excess of Loss Treaty,NM LIABILITY EXCESS OF LOSS CLAIMS MADE OR LOSSES DISCOVERED EXCL USA ,Non-marine liability whole account excess of loss treaty where the original business is written on a claims made and/or losses discovered basis excluding the USA,GENERAL LIABILITY,Tracker SR,International Specialty Programmes
XH,Casualty Treaty,Casualty Treaty (non-US),Excess of Loss Treaty,NM LIABILITY EXCESS OF LOSS LOSSES OCCURRING EXCL USA ,Non-marine liability whole account excess of loss treaty where the original business is written on an occurrence basis excluding the USA,GENERAL LIABILITY,Tracker SR,International Specialty Programmes
XJ,Property Treaty,Property Cat XL (Non-US),Excess of Loss Treaty,NM PROPERTY OR PECUNIARY LOSS WHOLE ACCOUNT XOL IN JAPAN ,Non-marine property damage including business interruption whole account excess of loss treaty in Japan,PROPERTY DAMAGE,Tracker Property,Open Market
XM,Casualty Treaty,Motor XL,Excess of Loss Treaty,MOTOR WHOLE ACCOUNT EXCESS OF LOSS ORIGINAL BUSINESS IN UK,Motor whole account excess of loss treaty where original business is in the UK only,MTR VHCLE DMGE & LIAB,Tracker Property,Open Market
XN,Casualty Treaty,Motor XL,Excess of Loss Treaty,MOTOR WHOLE ACCOUNT EXCESS OF LOSS ORIGINAL BUSINESS OUTSIDE UK,Motor whole account excess of loss treaty where original business is outside the UK,MTR VHCLE DMGE & LIAB,Tracker Property,Open Market
XQ,Casualty Treaty,Casualty Treaty (US),Excess of Loss Treaty,NM LIABILITY EXCESS OF LOSS IN USA - CLASH,Non-marine liability whole account excess of loss treaty in the USA clash cover,GENERAL LIABILITY,Tracker SR,US Specialty Programmes
XR,Property Treaty,Property Cat XL (Non-US),Excess of Loss Treaty,NM PROPERTY OR PECUNIARY LOSS WHOLE ACCOUNT XOL IN REST OF WORLD ,"Non-marine property damage including business interruption whole account excess of loss treaty worldwide other than Europe, Japan and the USA",PROPERTY DAMAGE,Tracker Property,International Specialty Programmes
XT,Marine,Marine XL,Excess of Loss Treaty,MARINE WHOLE ACCOUNT XOL INCL WAR,Marine whole account excess of loss treaty including war,SHIPS DMGE & LIABILITY,Tracker Marine,Marine Misc
XU,Property Treaty,Property Cat XL (Non-US),Excess of Loss Treaty,NM PROPERTY OR PECUNIARY LOSS WHOLE ACCOUNT XOL IN ALL OF EUROPE INCL UK,Non-marine property damage including business interruption whole account excess of loss treaty in Europe including the UK,PROPERTY DAMAGE,Tracker Property,Open Market
XY,Aviation,Aviation XL,Excess of Loss Treaty,"AVIATION WHOLE ACCOUNT XOL INCL WAR EXCL XOL ON XOL - From 01/01/05 also includes business previously coded ""AR"" and ""AX"" - From 01/01/08 also includes business previously coded ""HX""",Aviation whole account excess of loss treaty including war,AIRCRAFT DMGE & LIAB,Tracker Marine,Aviation PD
