lloyds_risk_code,yoa,gpi,gnpi,acquisition_cost,latest_paid_position,latest_incurred_position,gn_ulr,incurred_development,paid_development,premium_development
E4,2008,21446915.26,19306727.84,0.099789988,19771158.22,19771155.33,0,1,0,1
E4,2009,16892710.34,14963088.43,0.114228082,25326778.2,25326779.23,0,1,0,1
E4,2010,17101089.36,16227325.3,0.051094059,6833720.267,6834630.894,0,1,0,1
E4,2011,21228458.61,19887163.88,0.063183803,6584564.895,6584564.922,0,1,0,0.999999986
E4,2012,17462720.4,16230458.1,0.070565311,8831863.746,8832418.644,0,1,0,0.999999619
E4,2013,23522508.53,21761928.43,0.074846613,3407233.008,3417056.423,0,1,0,1
E4,2014,24421926.36,22123182.67,0.094126223,12342528.42,14025635.79,0,1,0,0.999812118
E4,2015,24483201.78,22424478.56,0.084087173,21740202.76,23191253.74,0,1,0,0.999357484
E4,2016,22562289.57,20729305.32,0.081241057,10887559.3,12853719.91,0,0.980807831,0,0.998964036
E4,2017,23090865.57,20694826.15,0.103765682,19005885.42,23514853.25,0,0.944319603,0,0.989370925
E4,2018,22468168.7,19949344.95,0.112106322,6647789.676,7193165.286,0,0.886633891,0,0.979202283
E4,2019,14814167.01,12801348.37,0.1358712,14984251.71,15128421.36,0,0.803594499,0,0.967300274
E4,2020,11046660.67,8552429.064,0.225790552,4361405.92,9683537.273,0,0.691467635,0,0.9538859
E4,2021,12318696.06,9892003.959,0.196992611,1569205.44,2382494.133,0,0.548635094,0,0.939391071
E4,2022,13752514.8,10166873.35,0.260726238,1371743.626,2097826.573,0,0.37948717,0,0.934233867
E4,2023,34416259.3,30067704.09,0.126351768,1414940.999,2291250.334,0,0.20238492,0,0.932465412
E4,2024,32329298.32,27888680.3,0.137355843,824048.4259,1227131.31,0,0.060246519,0,0.930147525
E4,2025,26649252.94,23197646.65,0.129519814,18657.6093,172653.1082,0,0.003279255,0,0.792206355
E5,2005,0,0,0,0,0,0,1,0,1
E5,2006,39704661.54,35094933.53,0.116100423,14432682.65,14685670.88,0,1,0,1
E5,2007,41295356.93,35791162.48,0.133288458,34362166.61,34431658.93,0,0.99826941,0,1
E5,2008,46327484.93,39511254.17,0.147131466,44315139.48,46370798.78,0,0.997308954,0,1
E5,2009,50172465.19,42485898.56,0.153202889,54552190.29,54687984.06,0,0.995819057,0,1
E5,2010,56708824.04,47692221.21,0.158998233,73778041.73,73776504.6,0,0.993509526,0,1
E5,2011,61547045.67,51432985.48,0.164330555,80070359.13,84400908.77,0,0.98993344,0,1
E5,2012,62580480.67,50866801.28,0.187177843,61302546.53,62539677.74,0,0.984405778,0,1
E5,2013,64268280.05,52762597.6,0.179025834,50181142.63,55144366.08,0,0.9758844,0,1
E5,2014,86660016.44,72318159.77,0.165495661,34181473,43843236.4,0,0.962802508,0,1
E5,2015,92742641.5,78652908.49,0.151922921,77424964.85,90867073.06,0,0.942848583,0,1
E5,2016,104114276.2,85687287.21,0.17698811,58702738.72,67760878.84,0,0.912715465,0,1
E5,2017,103052710.7,83420717.41,0.190504386,42289936.16,63682827.61,0,0.867908724,0,1
E5,2018,72267839.9,59156253.78,0.181430442,50288495.76,54129185.24,0,0.802854309,0,1
E5,2019,84275918.21,67317586.91,0.201223928,58521604.21,66376215.93,0,0.707611158,0,1
E5,2020,83498266.21,68175106.02,0.183514711,20871501.07,39514814.63,0,0.623297764,0,1
E5,2021,77946640.61,64222928.47,0.176065473,19053399.21,21367171.81,0,0.542671769,0,1
E5,2022,87868460.46,72924361.03,0.170073532,11559862.85,16284250.25,0,0.452632683,0,1
E5,2023,88396726.1,71742174.96,0.188406877,7844942.477,13424749.85,0,0.287090566,0,1
E5,2024,95390573.85,78934109.86,0.172516668,2488161.77,5008019.294,0,0.117721972,0,0.968802438
E5,2025,68399285.66,60153386.25,0.120555344,499229.2709,742077.2144,0,0.020400128,0,0.640222213
E6,2005,0,0,0,0,0,0,1,0,1
E6,2006,99570913.66,80242161.63,0.194120465,78540982.81,80330835.08,0,1,0,1
E6,2007,127508674.9,100405698.1,0.212557905,81470015.39,81471224.25,0,0.999697936,0,1
E6,2008,0,0,0,0,0,0,1,0,1
E6,2009,150812286.3,116974713.7,0.224368806,82010553.92,82222199.27,0,1,0,1
E6,2010,139001610.3,108160344.2,0.221877042,89063016.33,89074391.34,0,1,0,1
E6,2011,145134679.7,114532691.3,0.21085235,70139204.93,70183153.59,0,1,0,0.999999997
E6,2012,155799108.5,119904455.7,0.230390618,97934549.85,106198108.5,0,1,0,1
E6,2013,181266828.8,138215324.6,0.237503489,105548297.1,106114517.6,0,1,0,0.998952493
E6,2014,214510340.5,161887741.1,0.245314978,113258157.4,119786637.6,0,1,0,0.998880656
E6,2015,209183241.1,156455751.1,0.252063644,152639655.9,184883529.3,0,1,0,0.999369757
E6,2016,249821614.9,195450046.5,0.21764157,168250993.8,180590561.7,0,0.979359843,0,0.999632903
E6,2017,205040293,155283780.3,0.242667,128318657.9,136639432.1,0,0.946831814,0,0.999574795
E6,2018,214695849.9,160130772.3,0.254150593,152326505.7,164056867.4,0,0.916596514,0,0.99872437
E6,2019,238005315.8,174712259.5,0.265931272,135153792.4,157268401.4,0,0.862478085,0,0.999293637
E6,2020,235574242.1,170629339.1,0.275687624,69916255.47,76633046.84,0,0.794092792,0,1
E6,2021,291099334,210156437.2,0.278059368,69084268.77,90679030.71,0,0.656587918,0,1
E6,2022,299271260.6,217456834.9,0.273378825,59438426.61,79309635.67,0,0.514962935,0,1
E6,2023,342626803.9,250770366.9,0.26809472,29299127.95,45224432.84,0,0.358131913,0,1
E6,2024,363163639.6,267518102.5,0.263367603,11136699.35,27815350.8,0,0.157992318,0,0.993191362
E6,2025,218138352.2,165268430.2,0.24236876,1262234.882,3027330.607,0,0.01831797,0,0.620671405
E7,2005,0,0,0,0,0,0,1,0,1
E7,2006,151564897.8,124193574.6,0.180591441,91444916.81,94888113.87,0,1,0,1
E7,2007,154678707.9,128525010.8,0.169084016,117186890.6,119198285.2,0,0.998427651,0,1
E7,2008,158973378.7,131119442,0.175211328,137272442.9,137484468.3,0,0.992570055,0,1
E7,2009,176737091.2,145781833.1,0.175148622,129663143.6,134906814.2,0,0.992937639,0,1
E7,2010,169919882.2,139014798.3,0.181880328,127316860.1,135362677.4,0,0.987276082,0,0.999992148
E7,2011,179496608.7,146636821.8,0.183066339,187894328.7,195060091.8,0,0.984337536,0,1
E7,2012,188339961.7,150556427.5,0.200613475,172945251.1,187072211.4,0,0.979486948,0,1
E7,2013,194739284.5,157856543.5,0.189395484,136702774.8,160266903.8,0,0.987030695,0,1
E7,2014,204387361.7,162528924.8,0.204799536,308499455,342343640.1,0,0.981288521,0,1
E7,2015,225648951.4,183442762.5,0.187043585,212210790.4,243628752.8,0,0.964614067,0,1
E7,2016,231468229.2,180271847.8,0.22118103,251675333.9,338007871.4,0,0.940659563,0,1
E7,2017,225450693.2,176374776.7,0.217679155,276797540.7,322135342,0,0.884668546,0,1
E7,2018,249607031.8,199060429.8,0.20250472,206619537.3,269783299.5,0,0.834221884,0,1
