"Path","Name","Type","Mode","Optionality","Label","Default Value"
"cds/exposure/granular/political/country_exposure/sublimit_pv","sublimit_pv","float","output","n/a","Sub-limit: Political Violence","n/a"
"cds/exposure/granular/political/country_exposure/deductible_pv","deductible_pv","float","output","n/a","Deductible: Political Violence","n/a"
"cds/exposure/granular/political/country_exposure/sublimit_ci","sublimit_ci","float","output","n/a","Sub-limit: Currency Inconvertibility","n/a"
"cds/exposure/granular/political/country_exposure/ihs_political","ihs_political","float","output","n/a","IHS Score: Political","n/a"
"cds/exposure/granular/political/country_exposure/ihs_violence","ihs_violence","float","output","n/a","IHS Score: Violence","n/a"
"cds/exposure/granular/political/country_exposure/ihs_ci","ihs_ci","float","output","n/a","IHS Score: Currency Inconvertibility","n/a"
"cds/exposure/granular/political/country_exposure/prem_roe_gai","prem_roe_gai","float","output","n/a","Premium Rate on Exposure: Government Action & Intervention","n/a"
"cds/exposure/granular/political/country_exposure/prem_roe_pv","prem_roe_pv","float","output","n/a","Premium Rate on Exposure: Political Violence","n/a"
"cds/exposure/granular/political/country_exposure/prem_roe_ci","prem_roe_ci","float","output","n/a","Premium Rate on Exposure: Currency Inconvertibility","n/a"
"cds/exposure/granular/political/country_exposure/prem_roe_crg","prem_roe_crg","float","output","n/a","Premium Rate on Exposure: Contractual Relationship with Government","n/a"
"cds/exposure/granular/political/country_exposure/prem_roe_tot","prem_roe_tot","float","output","n/a","Premium Rate on Exposure: Total","n/a"
"cds/exposure/granular/political/country_exposure/loss_roe_gai","loss_roe_gai","float","output","n/a","Loss Rate on Exposure: Government Action & Intervention","n/a"
"cds/exposure/granular/political/country_exposure/loss_roe_pv","loss_roe_pv","float","output","n/a","Loss Rate on Exposure: Political Violence","n/a"
"cds/exposure/granular/political/country_exposure/loss_roe_ci","loss_roe_ci","float","output","n/a","Loss Rate on Exposure: Currency Inconvertibility","n/a"
"cds/exposure/granular/political/country_exposure/loss_roe_crg","loss_roe_crg","float","output","n/a","Loss Rate on Exposure: Contractual Relationship with Government","n/a"
"cds/exposure/granular/political/country_exposure/loss_roe_tot","loss_roe_tot","float","output","n/a","Loss Rate on Exposure: Total","n/a"
"cds/exposure/granular/political/country_exposure/struc_adj_gai","struc_adj_gai","float","output","n/a","Allowing for Attach/Limit: Government Action & Intervention","n/a"
"cds/exposure/granular/political/country_exposure/struc_adj_pv","struc_adj_pv","float","output","n/a","Allowing for Attach/Limit: Political Violence","n/a"
"cds/exposure/granular/political/country_exposure/struc_adj_ci","struc_adj_ci","float","output","n/a","Allowing for Attach/Limit: Currency Inconvertibility","n/a"
"cds/exposure/granular/political/country_exposure/struc_adj_crg","struc_adj_crg","float","output","n/a","Allowing for Attach/Limit: Contractual Relationship with Government","n/a"
"cds/exposure/granular/political/country_exposure/net_rol_gai","net_rol_gai","float","output","n/a","Net Rate on Line: Government Action & Intervention","n/a"
"cds/exposure/granular/political/country_exposure/net_rol_pv","net_rol_pv","float","output","n/a","Net Rate on Line: Political Violence","n/a"
"cds/exposure/granular/political/country_exposure/net_rol_ci","net_rol_ci","float","output","n/a","Net Rate on Line: Currency Inconvertibility","n/a"
"cds/exposure/granular/political/country_exposure/net_rol_crg","net_rol_crg","float","output","n/a","Net Rate on Line: Contractual Relationship with Government","n/a"
"cds/exposure/granular/political/country_exposure/net_rol_tot","net_rol_tot","float","output","n/a","Net Rate on Line: Total","n/a"
"cds/exposure/granular/political/country_exposure/gross_rol_tot","gross_rol_tot","float","output","n/a","Gross Rate on Line: Total","n/a"
"cds/exposure/granular/political/country_exposure","country_exposure","list","n/a","n/a","n/a","n/a"
"cds/exposure/granular/political","political","structure","n/a","n/a","n/a","n/a"
"cds/exposure/granular","granular","structure","n/a","n/a","n/a","n/a"
"cds/exposure","exposure","structure","n/a","n/a","n/a","n/a"
"cds/standard_fields/insured_name","insured_name","str","input","optional","Insured Name","None"
"cds/standard_fields/broker","broker","str","input","optional","Broker Name","None"
"cds/standard_fields/expiry_date","expiry_date","date","output","n/a","Expiry Date","n/a"
"cds/standard_fields/inception_date","inception_date","date","output","n/a","Inception Date","n/a"
"cds/standard_fields/insured_country","insured_country","str","output","n/a","Insured Country","n/a"
"cds/standard_fields/insured_postal_code","insured_postal_code","str","input","optional","Insured Postal Code","None"
"cds/standard_fields/insured_state_or_province","insured_state_or_province","str","input","optional","Insured State or Province","None"
"cds/standard_fields/is_admitted_or_surplus","is_admitted_or_surplus","str","input","optional","Is Admitted Or Surplus","None"
"cds/standard_fields/is_free_trade_zone","is_free_trade_zone","bool","input","required","Is Free-Trade Zone","False"
"cds/standard_fields/is_renewal","is_renewal","bool","input","required","Is Renewal","False"
"cds/standard_fields/underwriter","underwriter","str","input","optional","Underwriter","None"
"cds/standard_fields/policy_reference","policy_reference","str","output","n/a","Policy Reference","n/a"
"cds/standard_fields/facility_reference","facility_reference","str","input","optional","Facility Reference","None"
"cds/standard_fields/benchmark_class","benchmark_class","str","output","n/a","Benchmark Class","n/a"
"cds/standard_fields/uw_rationale","uw_rationale","str","input","optional","Underwriter Rationale","None"
"cds/standard_fields/trifocus","trifocus","str","output","n/a","Trifocus","n/a"
"cds/standard_fields/rating_methodology","rating_methodology","str","input","required","Rater Priced or Case Priced?","Rater"
"cds/standard_fields/is_case_priced","is_case_priced","bool","output","n/a","Is Case Priced","n/a"
"cds/standard_fields/is_rater_priced","is_rater_priced","bool","output","n/a","Is Rater Priced","n/a"
"cds/standard_fields","standard_fields","structure","n/a","n/a","n/a","n/a"
"cds/layers/limit","limit","float","input","optional","Policy Limit","None"
"cds/layers/excess","excess","float","input","optional","Policy Excess","None"
"cds/layers/deductible","deductible","float","input","optional","Deductible","None"
"cds/layers/aggregate_limit","aggregate_limit","float","output","n/a","Aggregate Limit","n/a"
"cds/layers/aggregate_excess","aggregate_excess","float","output","n/a","Aggregate Excess","n/a"
"cds/layers/aggregate_deductible","aggregate_deductible","float","input","optional","Aggregate Deductible","None"
"cds/layers/currency","currency","str","output","n/a","Currency","n/a"
"cds/layers/section_reference","section_reference","str","input","optional","Policy Section Reference","None"
"cds/layers/brokerage","brokerage","float","input","required","Brokerage","0"
"cds/layers/written_line","written_line","float","input","optional","Written Line","None"
"cds/layers/premium","premium","float","input","optional","Gross Bound Premium","None"
"cds/layers/status","status","str","input","optional","Status","None"
"cds/layers/is_primary_excess","is_primary_excess","str","input","optional","Primary or Excess","None"
"cds/layers/benchmark_premium","benchmark_premium","float","output","n/a","Gross Benchmark Premium","n/a"
"cds/layers/bpi","bpi","float","output","n/a","BPI","n/a"
"cds/layers/bpi_pre_uw_adj","bpi_pre_uw_adj","float","output","n/a","BPI (Pre-UW Adjustment)","n/a"
"cds/layers/model_premium","model_premium","float","output","n/a","Gross Model Premium","n/a"
"cds/layers/unity_premium","unity_premium","float","output","n/a","Gross Unity Premium","n/a"
"cds/layers/quoted_premium","quoted_premium","float","output","n/a","Gross Quoted Premium","n/a"
"cds/layers/technical_premium","technical_premium","float","output","n/a","Gross Technical Premium","n/a"
"cds/layers/technical_premium_pre_uw_adj","technical_premium_pre_uw_adj","float","output","n/a","Gross Technical Premium (Pre-UW Adjustment)","n/a"
"cds/layers/technical_premium_net","technical_premium_net","float","output","n/a","Net Technical Premium","n/a"
"cds/layers/tpi","tpi","float","output","n/a","TPI","n/a"
"cds/layers/tpi_pre_uw_adj","tpi_pre_uw_adj","float","output","n/a","TPI (Pre-UW Adjustment)","n/a"
"cds/layers/pflr_att","pflr_att","float","output","n/a","Priced-for Loss Ratio (Att)","n/a"
"cds/layers/pflr_cat","pflr_cat","float","output","n/a","Priced-for Loss Ratio (Cat)","n/a"
"cds/layers/pflr","pflr","float","output","n/a","Priced-for Loss Ratio","n/a"
"cds/layers/roc","roc","float","output","n/a","Return on Capital","n/a"
"cds/layers/uw_adj_impact","uw_adj_impact","float","output","n/a","Impact of Underwriting Adjustments","n/a"
"cds/layers/trifocus","trifocus","str","output","n/a","Trifocus","n/a"
"cds/layers/expected_loss_cost","expected_loss_cost","float","output","n/a","Expected Loss Cost","n/a"
"cds/layers/expected_loss_cost_pre_uw_adj","expected_loss_cost_pre_uw_adj","float","output","n/a","Expected Loss Cost (Pre-UW Ajustment)","n/a"
"cds/layers/rate_change/exposure_change/model_calculated","model_calculated","float","output","n/a","Model %","n/a"
"cds/layers/rate_change/exposure_change/uw_selected","uw_selected","float","override","n/a","UW Selected %","n/a"
"cds/layers/rate_change/exposure_change/comments","comments","str","input","optional","Comment","None"
"cds/layers/rate_change/exposure_change","exposure_change","structure","n/a","n/a","n/a","n/a"
"cds/layers/rate_change/risk_characteristics_change/model_calculated","model_calculated","float","output","n/a","Model %","n/a"
"cds/layers/rate_change/risk_characteristics_change/uw_selected","uw_selected","float","override","n/a","UW Selected %","n/a"
