GroupItem,GroupType,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
SEMICONDUCTORS AND RELATED DEVICES,Exposure,95.0,90.0,87.0,85.0,123.4979,127.2679,134.3979,124.5935,119.2799,132.3076,130.8313,121.1766,124.6576,133.7026,131.5303,118.1082,106.6179,120.00259170851503,124.3414241596842,133.30631588718907,127.31398034486253,127.31398034486253
SEMICONDUCTORS AND RELATED DEVICES,Base Frequency,0.07368421052631578,0.06666666666666667,0.09195402298850575,0.047058823529411764,0.07287573310963183,0.031429763514601874,0.007440592449733218,0.00802610088006196,0.0,0.03023257923203202,0.0076434308915374225,0.024757255113611046,0.024065921371821692,0.029917144468394784,0.007602810911250106,0.02540043790354946,0.065655016652926,0.008333153357462387,0.03216948838275361,0.007501520039352475,0.02356379080972672,0.0314183877463023
TRANSPORTATION,Claims,3.0,1.0,8.0,1.0,2.0,1.0,2.0,0.0,0.0,3.0,2.0,1.0,2.0,1.0,1.0,5.0,5.0,4.0,5.0,1.0,1.0,5.0
TRANSPORTATION,Exposure,107.0,102.0,96.0,98.0,123.6151,125.8622,131.6817,134.2236,128.9759,141.883,143.8596,132.8502,152.3636,165.8798,170.1193,163.8999,172.8617,166.8558167780324,163.49163883082838,176.5536570166887,200.6172229984668,200.6172229984668
TRANSPORTATION,Base Frequency,0.028037383177570093,0.00980392156862745,0.08333333333333333,0.01020408163265306,0.016179253181852378,0.007945197207739894,0.01518813927827481,0.0,0.0,0.021144182178273647,0.013902443771566166,0.007527275081256934,0.013126494779593026,0.006028461572777397,0.005878227808367422,0.030506424958160437,0.028924857270291798,0.02397279326090971,0.030582603708399478,0.005664000490827982,0.004984616899056779,0.0249230844952839
VARIOUS SERVICES,Claims,7.0,3.0,7.0,3.0,4.0,3.0,3.0,3.0,11.0,1.0,5.0,4.0,6.0,3.0,5.0,4.0,3.0,3.0,3.0,0.0,1.0,2.0
VARIOUS SERVICES,Exposure,125.0,116.0,110.0,104.0,88.63478,92.70516,100.4369,91.70305,84.23332,88.34284,85.78306,86.76233,90.12223,91.81567,88.71114,89.55311,96.44234,92.35880059087359,96.36550661879158,99.13703344042669,112.55301241837157,112.55301241837157
VARIOUS SERVICES,Base Frequency,0.056,0.02586206896551724,0.06363636363636363,0.028846153846153848,0.045129011433209396,0.03236065824167716,0.029869500153827926,0.032714288128911743,0.1305896526457701,0.011319536478564648,0.0582865661355517,0.0461029573548797,0.06657624872353914,0.03267416117532007,0.05636270709631282,0.04466623213867168,0.031106669539540412,0.032482015582784046,0.03113147126250868,0.0,0.008884702226208688,0.017769404452417377
WASTE & SEWAGE SERVICES,Claims,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
WASTE & SEWAGE SERVICES,Exposure,37.0,33.0,29.0,27.0,16.4757,17.13448,18.91054,17.72084,14.73313,16.81404,16.33078,16.08363,16.37492,15.63707,16.22961,16.43104,16.41294,25.611269528940994,23.44068552630535,23.023559809249633,23.715920653968418,23.715920653968418
WASTE & SEWAGE SERVICES,Base Frequency,0.02702702702702703,0.030303030303030304,0.06896551724137931,0.0,0.0,0.0,0.0,0.05643073353181904,0.0,0.0,0.0,0.0,0.0,0.0,0.0616157751172086,0.0,0.0,0.0,0.0,0.0,0.04216576765417153,0.0
WHOLESALE,Claims,14.0,6.0,6.0,4.0,3.0,1.0,1.0,2.0,0.0,4.0,1.0,2.0,4.0,0.0,2.0,4.0,11.0,4.0,1.0,0.0,0.0,2.0
WHOLESALE,Exposure,182.0,160.0,139.0,136.0,120.6306,117.7338,121.8748,113.7123,104.7187,113.7841,112.3342,114.1708,120.9004,130.338,133.0076,139.8332,138.3061,132.95579223989782,125.6881671007811,140.0019297237534,141.65721101489734,141.65721101489734
WHOLESALE,Base Frequency,0.07692307692307693,0.0375,0.04316546762589928,0.029411764705882353,0.02486931176666617,0.008493737567291635,0.008205141669976074,0.017588246829938363,0.0,0.03515429660207358,0.008902008471151262,0.017517613960837623,0.033085084912870426,0.0,0.015036734742977094,0.028605509993334916,0.07953372989333081,0.030085187960691696,0.007956198447847247,0.0,0.0,0.014118589415046937
