"Path","Name","Type","Mode","Label","Default Value"
"cds/exposure/granular/eo_lawyer_property_development","eo_lawyer_property_development","structure","n/a","n/a","n/a"
"cds/exposure/granular/eo_lawyer_provision_of_directors_officers/input_pct","input_pct","float","input","Percentage of Fees (%)","0"
"cds/exposure/granular/eo_lawyer_provision_of_directors_officers/relativity","relativity","float","output","Relativity","n/a"
"cds/exposure/granular/eo_lawyer_provision_of_directors_officers/show_row","show_row","bool","output","Provision Of Directors/Officers","n/a"
"cds/exposure/granular/eo_lawyer_provision_of_directors_officers","eo_lawyer_provision_of_directors_officers","structure","n/a","n/a","n/a"
"cds/exposure/granular/eo_lawyer_trustee_appointments/input_pct","input_pct","float","input","Percentage of Fees (%)","0"
"cds/exposure/granular/eo_lawyer_trustee_appointments/relativity","relativity","float","output","Relativity","n/a"
"cds/exposure/granular/eo_lawyer_trustee_appointments/show_row","show_row","bool","output","Trustee Appointments","n/a"
"cds/exposure/granular/eo_lawyer_trustee_appointments","eo_lawyer_trustee_appointments","structure","n/a","n/a","n/a"
"cds/exposure/granular/eo_lawyer_other/input_pct","input_pct","float","input","Percentage of Fees (%)","0"
"cds/exposure/granular/eo_lawyer_other/relativity","relativity","float","output","Relativity","n/a"
"cds/exposure/granular/eo_lawyer_other/show_row","show_row","bool","output","Other (Please Specify)","n/a"
"cds/exposure/granular/eo_lawyer_other","eo_lawyer_other","structure","n/a","n/a","n/a"
"cds/exposure/granular/eo_misc_accident_investigation_consultants/input_pct","input_pct","float","input","Percentage of Fees (%)","0"
"cds/exposure/granular/eo_misc_accident_investigation_consultants/relativity","relativity","float","output","Relativity","n/a"
"cds/exposure/granular/eo_misc_accident_investigation_consultants/show_row","show_row","bool","output","Accident Investigation Consultants","n/a"
"cds/exposure/granular/eo_misc_accident_investigation_consultants","eo_misc_accident_investigation_consultants","structure","n/a","n/a","n/a"
"cds/exposure/granular/eo_misc_advertising_site_consultants/input_pct","input_pct","float","input","Percentage of Fees (%)","0"
"cds/exposure/granular/eo_misc_advertising_site_consultants/relativity","relativity","float","output","Relativity","n/a"
"cds/exposure/granular/eo_misc_advertising_site_consultants/show_row","show_row","bool","output","Advertising Site Consultants","n/a"
"cds/exposure/granular/eo_misc_advertising_site_consultants","eo_misc_advertising_site_consultants","structure","n/a","n/a","n/a"
"cds/exposure/granular/eo_misc_arboricultural_consultants/input_pct","input_pct","float","input","Percentage of Fees (%)","0"
"cds/exposure/granular/eo_misc_arboricultural_consultants/relativity","relativity","float","output","Relativity","n/a"
"cds/exposure/granular/eo_misc_arboricultural_consultants/show_row","show_row","bool","output","Arboricultural Consultants","n/a"
"cds/exposure/granular/eo_misc_arboricultural_consultants","eo_misc_arboricultural_consultants","structure","n/a","n/a","n/a"
"cds/exposure/granular/eo_misc_archaeological_consultants/input_pct","input_pct","float","input","Percentage of Fees (%)","0"
"cds/exposure/granular/eo_misc_archaeological_consultants/relativity","relativity","float","output","Relativity","n/a"
"cds/exposure/granular/eo_misc_archaeological_consultants/show_row","show_row","bool","output","Archaeological Consultants","n/a"
"cds/exposure/granular/eo_misc_archaeological_consultants","eo_misc_archaeological_consultants","structure","n/a","n/a","n/a"
"cds/exposure/granular/eo_misc_auctioneers/input_pct","input_pct","float","input","Percentage of Fees (%)","0"
"cds/exposure/granular/eo_misc_auctioneers/relativity","relativity","float","output","Relativity","n/a"
"cds/exposure/granular/eo_misc_auctioneers/show_row","show_row","bool","output","Auctioneers (On Behalf of Liquidators/Banks/Police)","n/a"
