Version,Benchmark Class,qtr,value
18,Hull,66,1
18,Hull,67,1
18,Hull,68,1
18,Hull,69,1
18,Hull,70,1
18,Hull,71,1
18,Hull,72,1
18,Hull,73,1
18,Hull,74,1
18,Hull,75,1
18,Hull,76,1
18,Hull,77,1
18,Hull,78,1
18,Hull,79,1
18,Hull,80,1
18,Marine Libs,1,0.014013
18,Marine Libs,2,0.040108
18,Marine Libs,3,0.077619
18,Marine Libs,4,0.116758
18,Marine Libs,5,0.20792
18,Marine Libs,6,0.276852
18,Marine Libs,7,0.382623
18,Marine Libs,8,0.491825
18,Marine Libs,9,0.544849
18,Marine Libs,10,0.61417
18,Marine Libs,11,0.679359
18,Marine Libs,12,0.74004
18,Marine Libs,13,0.796069
18,Marine Libs,14,0.847474
18,Marine Libs,15,0.87698
18,Marine Libs,16,0.902496
18,Marine Libs,17,0.924634
18,Marine Libs,18,0.943907
18,Marine Libs,19,0.960747
18,Marine Libs,20,0.975516
18,Marine Libs,21,0.988516
18,Marine Libs,22,1
18,Marine Libs,23,1
18,Marine Libs,24,1
18,Marine Libs,25,1
18,Marine Libs,26,1
18,Marine Libs,27,1
18,Marine Libs,28,1
18,Marine Libs,29,1
18,Marine Libs,30,1
18,Marine Libs,31,1
18,Marine Libs,32,1
18,Marine Libs,33,1
18,Marine Libs,34,1
18,Marine Libs,35,1
18,Marine Libs,36,1
18,Marine Libs,37,1
18,Marine Libs,38,1
18,Marine Libs,39,1
18,Marine Libs,40,1
18,Marine Libs,41,1
18,Marine Libs,42,1
18,Marine Libs,43,1
18,Marine Libs,44,1
18,Marine Libs,45,1
18,Marine Libs,46,1
18,Marine Libs,47,1
18,Marine Libs,48,1
18,Marine Libs,49,1
18,Marine Libs,50,1
18,Marine Libs,51,1
18,Marine Libs,52,1
18,Marine Libs,53,1
18,Marine Libs,54,1
18,Marine Libs,55,1
18,Marine Libs,56,1
18,Marine Libs,57,1
18,Marine Libs,58,1
18,Marine Libs,59,1
18,Marine Libs,60,1
18,Marine Libs,61,1
18,Marine Libs,62,1
18,Marine Libs,63,1
18,Marine Libs,64,1
18,Marine Libs,65,1
18,Marine Libs,66,1
18,Marine Libs,67,1
18,Marine Libs,68,1
18,Marine Libs,69,1
18,Marine Libs,70,1
18,Marine Libs,71,1
18,Marine Libs,72,1
18,Marine Libs,73,1
18,Marine Libs,74,1
18,Marine Libs,75,1
18,Marine Libs,76,1
18,Marine Libs,77,1
18,Marine Libs,78,1
18,Marine Libs,79,1
18,Marine Libs,80,1
18,Marine Misc,1,0.037802
18,Marine Misc,2,0.130426
18,Marine Misc,3,0.278211
18,Marine Misc,4,0.439833
18,Marine Misc,5,0.581572
18,Marine Misc,6,0.692202
18,Marine Misc,7,0.773938
18,Marine Misc,8,0.83307
