curve,LimitLow,LimitHigh,Ilf
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 7),2000000,2500000,3.44
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 7),2500000,3000000,3.66
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 7),3000000,4000000,3.979798773
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 7),4000000,5000000,4.32
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 7),5000000,7500000,4.93
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 7),7500000,10000000,5.43
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 7),10000000,15000000,6.516252611
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 7),15000000,20000000,7.254460095
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 7),20000000,30000000,8.439063072
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 7),30000000,40000000,9.395100214
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 7),40000000,50000000,10.21063514
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 7),50000000,75000000,10.86834069
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 7),75000000,100000000,12.49120602
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 7),100000000,150000000,13.78757963
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 7),150000000,200000000,15.84634698
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 7),200000000,300000000,17.49092686
CAL - 4 Zone Rated Risks (Group 7),0,100000,1
CAL - 4 Zone Rated Risks (Group 7),100000,250000,1.32
CAL - 4 Zone Rated Risks (Group 7),250000,500000,1.64
CAL - 4 Zone Rated Risks (Group 7),500000,750000,1.86
CAL - 4 Zone Rated Risks (Group 7),750000,1000000,2.02
CAL - 4 Zone Rated Risks (Group 7),1000000,2000000,2.41
CAL - 4 Zone Rated Risks (Group 7),2000000,2500000,2.54
CAL - 4 Zone Rated Risks (Group 7),2500000,3000000,2.66
CAL - 4 Zone Rated Risks (Group 7),3000000,4000000,2.8679283
CAL - 4 Zone Rated Risks (Group 7),4000000,5000000,3.01
CAL - 4 Zone Rated Risks (Group 7),5000000,7500000,3.34
CAL - 4 Zone Rated Risks (Group 7),7500000,10000000,3.62
CAL - 4 Zone Rated Risks (Group 7),10000000,15000000,4.127876497
CAL - 4 Zone Rated Risks (Group 7),15000000,20000000,4.468380018
CAL - 4 Zone Rated Risks (Group 7),20000000,30000000,4.99651467
CAL - 4 Zone Rated Risks (Group 7),30000000,40000000,5.408671099
CAL - 4 Zone Rated Risks (Group 7),40000000,50000000,5.75163663
CAL - 4 Zone Rated Risks (Group 7),50000000,75000000,5.985050117
CAL - 4 Zone Rated Risks (Group 7),75000000,100000000,6.624839169
CAL - 4 Zone Rated Risks (Group 7),100000000,150000000,7.119838503
CAL - 4 Zone Rated Risks (Group 7),150000000,200000000,7.880934006
CAL - 4 Zone Rated Risks (Group 7),200000000,300000000,8.469787105
CAL - 5 All Other Risks (Group 7),0,100000,1
CAL - 5 All Other Risks (Group 7),100000,250000,1.37
CAL - 5 All Other Risks (Group 7),250000,500000,1.71
CAL - 5 All Other Risks (Group 7),500000,750000,1.93
CAL - 5 All Other Risks (Group 7),750000,1000000,2.09
CAL - 5 All Other Risks (Group 7),1000000,2000000,2.49
CAL - 5 All Other Risks (Group 7),2000000,2500000,2.62
CAL - 5 All Other Risks (Group 7),2500000,3000000,2.73
CAL - 5 All Other Risks (Group 7),3000000,4000000,2.937800686
CAL - 5 All Other Risks (Group 7),4000000,5000000,3.07
CAL - 5 All Other Risks (Group 7),5000000,7500000,3.39
CAL - 5 All Other Risks (Group 7),7500000,10000000,3.65
CAL - 5 All Other Risks (Group 7),10000000,15000000,4.219691068
CAL - 5 All Other Risks (Group 7),15000000,20000000,4.565708282
CAL - 5 All Other Risks (Group 7),20000000,30000000,5.102101752
CAL - 5 All Other Risks (Group 7),30000000,40000000,5.520477174
CAL - 5 All Other Risks (Group 7),40000000,50000000,5.868478696
CAL - 5 All Other Risks (Group 7),50000000,75000000,6.069302549
CAL - 5 All Other Risks (Group 7),75000000,100000000,6.70659137
CAL - 5 All Other Risks (Group 7),100000000,150000000,7.198937869
CAL - 5 All Other Risks (Group 7),150000000,200000000,7.954840642
CAL - 5 All Other Risks (Group 7),200000000,300000000,8.538824029
CAL - 1 Light And Medium Trucks (Group 8),0,100000,1
CAL - 1 Light And Medium Trucks (Group 8),100000,250000,1.26
CAL - 1 Light And Medium Trucks (Group 8),250000,500000,1.53
CAL - 1 Light And Medium Trucks (Group 8),500000,750000,1.73
CAL - 1 Light And Medium Trucks (Group 8),750000,1000000,1.88
CAL - 1 Light And Medium Trucks (Group 8),1000000,2000000,2.28
CAL - 1 Light And Medium Trucks (Group 8),2000000,2500000,2.42
CAL - 1 Light And Medium Trucks (Group 8),2500000,3000000,2.53
CAL - 1 Light And Medium Trucks (Group 8),3000000,4000000,2.724117363
CAL - 1 Light And Medium Trucks (Group 8),4000000,5000000,2.88
CAL - 1 Light And Medium Trucks (Group 8),5000000,7500000,3.21
CAL - 1 Light And Medium Trucks (Group 8),7500000,10000000,3.48
CAL - 1 Light And Medium Trucks (Group 8),10000000,15000000,3.907853036
CAL - 1 Light And Medium Trucks (Group 8),15000000,20000000,4.227142664
CAL - 1 Light And Medium Trucks (Group 8),20000000,30000000,4.721939229
CAL - 1 Light And Medium Trucks (Group 8),30000000,40000000,5.107743456
CAL - 1 Light And Medium Trucks (Group 8),40000000,50000000,5.428574792
CAL - 1 Light And Medium Trucks (Group 8),50000000,75000000,5.691662648
CAL - 1 Light And Medium Trucks (Group 8),75000000,100000000,6.303916483
CAL - 1 Light And Medium Trucks (Group 8),100000000,150000000,6.7778568
CAL - 1 Light And Medium Trucks (Group 8),150000000,200000000,7.506952861
CAL - 1 Light And Medium Trucks (Group 8),200000000,300000000,8.07133972
CAL - 2 Heavy Trucks And Trucktractors (Group 8),0,100000,1
CAL - 2 Heavy Trucks And Trucktractors (Group 8),100000,250000,1.27
CAL - 2 Heavy Trucks And Trucktractors (Group 8),250000,500000,1.55
CAL - 2 Heavy Trucks And Trucktractors (Group 8),500000,750000,1.77
CAL - 2 Heavy Trucks And Trucktractors (Group 8),750000,1000000,1.94
CAL - 2 Heavy Trucks And Trucktractors (Group 8),1000000,2000000,2.42
CAL - 2 Heavy Trucks And Trucktractors (Group 8),2000000,2500000,2.59
CAL - 2 Heavy Trucks And Trucktractors (Group 8),2500000,3000000,2.74
CAL - 2 Heavy Trucks And Trucktractors (Group 8),3000000,4000000,2.987974022
CAL - 2 Heavy Trucks And Trucktractors (Group 8),4000000,5000000,3.19
CAL - 2 Heavy Trucks And Trucktractors (Group 8),5000000,7500000,3.64
CAL - 2 Heavy Trucks And Trucktractors (Group 8),7500000,10000000,4.01
CAL - 2 Heavy Trucks And Trucktractors (Group 8),10000000,15000000,4.473534323
CAL - 2 Heavy Trucks And Trucktractors (Group 8),15000000,20000000,4.884267084
CAL - 2 Heavy Trucks And Trucktractors (Group 8),20000000,30000000,5.527985293
CAL - 2 Heavy Trucks And Trucktractors (Group 8),30000000,40000000,6.03553134
CAL - 2 Heavy Trucks And Trucktractors (Group 8),40000000,50000000,6.461091419
CAL - 2 Heavy Trucks And Trucktractors (Group 8),50000000,75000000,6.844055296
CAL - 2 Heavy Trucks And Trucktractors (Group 8),75000000,100000000,7.679608874
CAL - 2 Heavy Trucks And Trucktractors (Group 8),100000000,150000000,8.33360332
CAL - 2 Heavy Trucks And Trucktractors (Group 8),150000000,200000000,9.351007734
CAL - 2 Heavy Trucks And Trucktractors (Group 8),200000000,300000000,10.14733828
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 8),0,100000,1
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 8),100000,250000,1.32
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 8),250000,500000,1.67
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 8),500000,750000,1.94
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 8),750000,1000000,2.16
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 8),1000000,2000000,2.75
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 8),2000000,2500000,2.96
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 8),2500000,3000000,3.14
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 8),3000000,4000000,3.474614564
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 8),4000000,5000000,3.73
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 8),5000000,7500000,4.32
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 8),7500000,10000000,4.82
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 8),10000000,15000000,5.47610332
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 8),15000000,20000000,6.046052882
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 8),20000000,30000000,6.951483103
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 8),30000000,40000000,7.674989311
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 8),40000000,50000000,8.287650142
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 8),50000000,75000000,8.824507666
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 8),75000000,100000000,10.04376129
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 8),100000000,150000000,11.00969027
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 8),150000000,200000000,12.53086349
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 8),200000000,300000000,13.73598216
CAL - 4 Zone Rated Risks (Group 8),0,100000,1
CAL - 4 Zone Rated Risks (Group 8),100000,250000,1.32
CAL - 4 Zone Rated Risks (Group 8),250000,500000,1.64
CAL - 4 Zone Rated Risks (Group 8),500000,750000,1.86
CAL - 4 Zone Rated Risks (Group 8),750000,1000000,2.02
CAL - 4 Zone Rated Risks (Group 8),1000000,2000000,2.41
CAL - 4 Zone Rated Risks (Group 8),2000000,2500000,2.54
CAL - 4 Zone Rated Risks (Group 8),2500000,3000000,2.66
CAL - 4 Zone Rated Risks (Group 8),3000000,4000000,2.8679283
CAL - 4 Zone Rated Risks (Group 8),4000000,5000000,3.01
CAL - 4 Zone Rated Risks (Group 8),5000000,7500000,3.34
CAL - 4 Zone Rated Risks (Group 8),7500000,10000000,3.62
CAL - 4 Zone Rated Risks (Group 8),10000000,15000000,4.127876497
CAL - 4 Zone Rated Risks (Group 8),15000000,20000000,4.468380018
CAL - 4 Zone Rated Risks (Group 8),20000000,30000000,4.99651467
CAL - 4 Zone Rated Risks (Group 8),30000000,40000000,5.408671099
CAL - 4 Zone Rated Risks (Group 8),40000000,50000000,5.75163663
CAL - 4 Zone Rated Risks (Group 8),50000000,75000000,5.985050117
CAL - 4 Zone Rated Risks (Group 8),75000000,100000000,6.624839169
CAL - 4 Zone Rated Risks (Group 8),100000000,150000000,7.119838503
CAL - 4 Zone Rated Risks (Group 8),150000000,200000000,7.880934006
CAL - 4 Zone Rated Risks (Group 8),200000000,300000000,8.469787105
CAL - 5 All Other Risks (Group 8),0,100000,1
CAL - 5 All Other Risks (Group 8),100000,250000,1.25
CAL - 5 All Other Risks (Group 8),250000,500000,1.48
CAL - 5 All Other Risks (Group 8),500000,750000,1.65
CAL - 5 All Other Risks (Group 8),750000,1000000,1.77
CAL - 5 All Other Risks (Group 8),1000000,2000000,2.1
CAL - 5 All Other Risks (Group 8),2000000,2500000,2.22
CAL - 5 All Other Risks (Group 8),2500000,3000000,2.32
CAL - 5 All Other Risks (Group 8),3000000,4000000,2.532756432
CAL - 5 All Other Risks (Group 8),4000000,5000000,2.66
CAL - 5 All Other Risks (Group 8),5000000,7500000,3
CAL - 5 All Other Risks (Group 8),7500000,10000000,3.29
CAL - 5 All Other Risks (Group 8),10000000,15000000,3.551725548
CAL - 5 All Other Risks (Group 8),15000000,20000000,3.822967779
CAL - 5 All Other Risks (Group 8),20000000,30000000,4.240796896
CAL - 5 All Other Risks (Group 8),30000000,40000000,4.564662914
CAL - 5 All Other Risks (Group 8),40000000,50000000,4.83281059
CAL - 5 All Other Risks (Group 8),50000000,75000000,5.05761839
CAL - 5 All Other Risks (Group 8),75000000,100000000,5.567156964
CAL - 5 All Other Risks (Group 8),100000000,150000000,5.959518241
CAL - 5 All Other Risks (Group 8),150000000,200000000,6.559920286
CAL - 5 All Other Risks (Group 8),200000000,300000000,7.022249391
GL - Low,0,100000,0.96
GL - Low,100000,250000,1.11375
GL - Low,250000,500000,1.37
GL - Low,500000,750000,1.44
GL - Low,750000,1000000,1.51
GL - Low,1000000,2000000,1.65
GL - Low,2000000,2500000,1.705
GL - Low,2500000,3000000,1.76
GL - Low,3000000,4000000,1.85
GL - Low,4000000,5000000,1.93
GL - Low,5000000,7500000,2.113952642
GL - Low,7500000,10000000,2.225726422
GL - Low,10000000,15000000,2.393369355
GL - Low,15000000,20000000,2.5199171
GL - Low,20000000,30000000,2.709718636
GL - Low,30000000,40000000,2.85299313
GL - Low,40000000,50000000,2.969322091
GL - Low,50000000,75000000,3.041047289
GL - Low,75000000,100000000,3.248811272
GL - Low,100000000,150000000,3.404774758
GL - Low,150000000,200000000,3.637388556
GL - Low,200000000,300000000,3.812006209
GL - Medium,0,100000,0.96
GL - Medium,100000,250000,1.12125
GL - Medium,250000,500000,1.39
GL - Medium,500000,750000,1.51
GL - Medium,750000,1000000,1.63
GL - Medium,1000000,2000000,1.89
GL - Medium,2000000,2500000,1.985
GL - Medium,2500000,3000000,2.08
GL - Medium,3000000,4000000,2.22
GL - Medium,4000000,5000000,2.34
GL - Medium,5000000,7500000,2.535
GL - Medium,7500000,10000000,2.73
GL - Medium,10000000,15000000,2.983329648
GL - Medium,15000000,20000000,3.182181911
GL - Medium,20000000,30000000,3.485156398
GL - Medium,30000000,40000000,3.717457659
GL - Medium,40000000,50000000,3.90825549
GL - Medium,50000000,75000000,4.09609412
GL - Medium,75000000,100000000,4.463006491
GL - Medium,100000000,150000000,4.743099116
GL - Medium,150000000,200000000,5.167967708
GL - Medium,200000000,300000000,5.492302804
GL - High,0,100000,0.96
GL - High,100000,250000,1.13625
GL - High,250000,500000,1.43
GL - High,500000,750000,1.59
GL - High,750000,1000000,1.75
GL - High,1000000,2000000,2.13
GL - High,2000000,2500000,2.255
GL - High,2500000,3000000,2.38
GL - High,3000000,4000000,2.57
GL - High,4000000,5000000,2.72
GL - High,5000000,7500000,3
GL - High,7500000,10000000,3.28
GL - High,10000000,15000000,3.615963241
GL - High,15000000,20000000,3.901735354
GL - High,20000000,30000000,4.343265095
GL - High,30000000,40000000,4.686516385
GL - High,40000000,50000000,4.971336345
GL - High,50000000,75000000,5.29022273
GL - High,75000000,100000000,5.860050492
GL - High,100000000,150000000,6.301197624
GL - High,150000000,200000000,6.979920907
GL - High,200000000,300000000,7.505372368
Healthcare (Low),0,100000,0.395650134
Healthcare (Low),100000,250000,0.641900377
Healthcare (Low),250000,500000,0.832939744
Healthcare (Low),500000,750000,0.93542769
Healthcare (Low),750000,1000000,1
Healthcare (Low),1000000,2000000,1.126499664
Healthcare (Low),2000000,2500000,1.158151001
Healthcare (Low),2500000,3000000,1.189802338
Healthcare (Low),3000000,4000000,1.222366388
Healthcare (Low),4000000,5000000,1.239979621
Healthcare (Low),5000000,7500000,1.255750305
Healthcare (Low),7500000,10000000,1.271520988
Healthcare (Low),10000000,15000000,1.277599559
Healthcare (Low),15000000,20000000,1.279467427
Healthcare (Low),20000000,30000000,1.279467427
Healthcare (Low),30000000,40000000,1.279467427
Healthcare (Low),40000000,50000000,1.279467427
Healthcare (Low),50000000,75000000,1.279467427
Healthcare (Low),75000000,100000000,1.279467427
Healthcare (Low),100000000,150000000,1.279467427
Healthcare (Low),150000000,200000000,1.279467427
Healthcare (Low),200000000,300000000,1.279467427
Healthcare (Medium),0,100000,0.317905437
Healthcare (Medium),100000,250000,0.551388539
Healthcare (Medium),250000,500000,0.766430096
Healthcare (Medium),500000,750000,0.900666711
Healthcare (Medium),750000,1000000,1
Healthcare (Medium),1000000,2000000,1.258193819
Healthcare (Medium),2000000,2500000,1.345909405
Healthcare (Medium),2500000,3000000,1.43362499
Healthcare (Medium),3000000,4000000,1.553384429
Healthcare (Medium),4000000,5000000,1.634575345
Healthcare (Medium),5000000,7500000,1.734503176
Healthcare (Medium),7500000,10000000,1.834431007
Healthcare (Medium),10000000,15000000,1.907491799
Healthcare (Medium),15000000,20000000,1.942545377
Healthcare (Medium),20000000,30000000,1.970460255
Healthcare (Medium),30000000,40000000,1.982392246
Healthcare (Medium),40000000,50000000,1.989788044
Healthcare (Medium),50000000,75000000,2.544849537
Healthcare (Medium),75000000,100000000,2.777119442
Healthcare (Medium),100000000,150000000,2.954663721
Healthcare (Medium),150000000,200000000,3.224337606
Healthcare (Medium),200000000,300000000,3.430473031
Healthcare (Medium/High),0,100000,0.24731925
Healthcare (Medium/High),100000,250000,0.469722817
Healthcare (Medium/High),250000,500000,0.708597526
Healthcare (Medium/High),500000,750000,0.872601083
Healthcare (Medium/High),750000,1000000,1
Healthcare (Medium/High),1000000,2000000,1.343110968
Healthcare (Medium/High),2000000,2500000,1.455177585
Healthcare (Medium/High),2500000,3000000,1.567244201
Healthcare (Medium/High),3000000,4000000,1.720231049
Healthcare (Medium/High),4000000,5000000,1.829568588
Healthcare (Medium/High),5000000,7500000,1.971706758
Healthcare (Medium/High),7500000,10000000,2.113844927
Healthcare (Medium/High),10000000,15000000,2.231690824
Healthcare (Medium/High),15000000,20000000,2.295919036
Healthcare (Medium/High),20000000,30000000,2.356606656
Healthcare (Medium/High),30000000,40000000,2.385761833
Healthcare (Medium/High),40000000,50000000,2.401693602
Healthcare (Medium/High),50000000,75000000,2.590657021
Healthcare (Medium/High),75000000,100000000,2.893183557
Healthcare (Medium/High),100000000,150000000,3.129020836
Healthcare (Medium/High),150000000,200000000,3.494415339
Healthcare (Medium/High),200000000,300000000,3.779261906
Healthcare (High),0,100000,0.226831767
Healthcare (High),100000,250000,0.441946451
Healthcare (High),250000,500000,0.685026904
Healthcare (High),500000,750000,0.86026851
Healthcare (High),750000,1000000,1
Healthcare (High),1000000,2000000,1.394439001
Healthcare (High),2000000,2500000,1.528223357
Healthcare (High),2500000,3000000,1.662007712
Healthcare (High),3000000,4000000,1.848183356
Healthcare (High),4000000,5000000,1.985261337
Healthcare (High),5000000,7500000,2.167186844
Healthcare (High),7500000,10000000,2.34911235
Healthcare (High),10000000,15000000,2.500734509
Healthcare (High),15000000,20000000,2.584140498
Healthcare (High),20000000,30000000,2.66281673
Healthcare (High),30000000,40000000,2.705497649
Healthcare (High),40000000,50000000,2.726761686
Healthcare (High),50000000,75000000,3.034483845
Healthcare (High),75000000,100000000,3.436578533
Healthcare (High),100000000,150000000,3.753784071
Healthcare (High),150000000,200000000,4.251192102
Healthcare (High),200000000,300000000,4.643588686
Healthcare (Very High),0,100000,0.206727536
Healthcare (Very High),100000,250000,0.411971916
Healthcare (Very High),250000,500000,0.657584031
Healthcare (Very High),500000,750000,0.844288845
Healthcare (Very High),750000,1000000,1
Healthcare (Very High),1000000,2000000,1.476110017
Healthcare (Very High),2000000,2500000,1.655845262
Healthcare (Very High),2500000,3000000,1.835580508
Healthcare (Very High),3000000,4000000,2.101053265
Healthcare (Very High),4000000,5000000,2.307533324
Healthcare (Very High),5000000,7500000,2.624681342
Healthcare (Very High),7500000,10000000,2.94182936
Healthcare (Very High),10000000,15000000,3.260863346
Healthcare (Very High),15000000,20000000,3.460226833
Healthcare (Very High),20000000,30000000,3.691375636
Healthcare (Very High),30000000,40000000,3.830670242
Healthcare (Very High),40000000,50000000,3.921343249
Healthcare (Very High),50000000,75000000,4.420165917
Healthcare (Very High),75000000,100000000,5.174009592
Healthcare (Very High),100000000,150000000,5.785617986
Healthcare (Very High),150000000,200000000,6.772334685
Healthcare (Very High),200000000,300000000,7.572877604
Cyber (Low),0,100000,0.569730394
Cyber (Low),100000,250000,0.569730394
Cyber (Low),250000,500000,0.633363731
Cyber (Low),500000,750000,0.676536435
Cyber (Low),750000,1000000,0.71970914
Cyber (Low),1000000,2000000,1.212153036
Cyber (Low),2000000,2500000,1.389448838
Cyber (Low),2500000,3000000,1.544641365
Cyber (Low),3000000,4000000,1.812038305
Cyber (Low),4000000,5000000,2.041539979
Cyber (Low),5000000,7500000,2.517735741
Cyber (Low),7500000,10000000,2.910333477
Cyber (Low),10000000,15000000,3.557005073
Cyber (Low),15000000,20000000,4.093912127
Cyber (Low),20000000,30000000,4.982531486
Cyber (Low),30000000,40000000,5.646551861
Cyber (Low),40000000,50000000,6.167809758
Cyber (Low),50000000,75000000,6.798296979
Cyber (Low),75000000,100000000,8.182483375
Cyber (Low),100000000,150000000,9.332331284
Cyber (Low),150000000,200000000,11.23246687
Cyber (Low),200000000,300000000,12.81091536
Cyber (High),0,100000,0.569730394
Cyber (High),100000,250000,0.569730394
Cyber (High),250000,500000,0.633363731
Cyber (High),500000,750000,0.676536435
Cyber (High),750000,1000000,0.71970914
Cyber (High),1000000,2000000,1.218173154
Cyber (High),2000000,2500000,1.430941108
Cyber (High),2500000,3000000,1.618029305
Cyber (High),3000000,4000000,1.935485339
Cyber (High),4000000,5000000,2.216895411
Cyber (High),5000000,7500000,2.759064059
Cyber (High),7500000,10000000,3.187913152
Cyber (High),10000000,15000000,3.915642121
Cyber (High),15000000,20000000,4.522225091
Cyber (High),20000000,30000000,5.503813516
Cyber (High),30000000,40000000,6.237304981
Cyber (High),40000000,50000000,6.813097882
Cyber (High),50000000,75000000,7.673775366
Cyber (High),75000000,100000000,9.323611761
Cyber (High),100000000,150000000,10.70511085
Cyber (High),150000000,200000000,13.00667438
Cyber (High),200000000,300000000,14.93390057
Public D&O (Small),0,100000,0.365276098
Public D&O (Small),100000,250000,0.642968999
Public D&O (Small),250000,500000,0.98617876
Public D&O (Small),500000,750000,1.266547728
Public D&O (Small),750000,1000000,1.599001204
Public D&O (Small),1000000,2000000,1.93145468
Public D&O (Small),2000000,2500000,2.360489079
Public D&O (Small),2500000,3000000,2.789523479
Public D&O (Small),3000000,4000000,3.581435719
Public D&O (Small),4000000,5000000,4.315149813
Public D&O (Small),5000000,7500000,5.81932573
Public D&O (Small),7500000,10000000,7.323501646
Public D&O (Small),10000000,15000000,9.58345028
Public D&O (Small),15000000,20000000,11.36868382
Public D&O (Small),20000000,30000000,14.04619286
Public D&O (Small),30000000,40000000,15.9824116
Public D&O (Small),40000000,50000000,17.45937902
Public D&O (Small),50000000,75000000,21.4407815
Public D&O (Small),75000000,100000000,27.49569252
Public D&O (Small),100000000,150000000,32.80265126
Public D&O (Small),150000000,200000000,42.0661725
Public D&O (Small),200000000,300000000,50.1853876
Public D&O (Medium),0,100000,0.188594922
Public D&O (Medium),100000,250000,0.390708184
Public D&O (Medium),250000,500000,0.677861943
Public D&O (Medium),500000,750000,0.935655972
Public D&O (Medium),750000,1000000,1
Public D&O (Medium),1000000,2000000,1.985970527
Public D&O (Medium),2000000,2500000,2.468100875
Public D&O (Medium),2500000,3000000,2.950231223
Public D&O (Medium),3000000,4000000,3.889956456
Public D&O (Medium),4000000,5000000,4.804347293
Public D&O (Medium),5000000,7500000,6.90852635
Public D&O (Medium),7500000,10000000,9.012705406
Public D&O (Medium),10000000,15000000,12.69470889
Public D&O (Medium),15000000,20000000,15.95317888
Public D&O (Medium),20000000,30000000,21.49760077
Public D&O (Medium),30000000,40000000,26.07683199
Public D&O (Medium),40000000,50000000,29.95016464
Public D&O (Medium),50000000,75000000,37.7846924
Public D&O (Medium),75000000,100000000,51.87186815
Public D&O (Medium),100000000,150000000,64.94892898
Public D&O (Medium),150000000,200000000,89.16368154
Public D&O (Medium),200000000,300000000,111.6421256
Public D&O (Large),0,100000,0.154191343
Public D&O (Large),100000,250000,0.35731444
Public D&O (Large),250000,500000,0.674769244
Public D&O (Large),500000,750000,0.978737395
Public D&O (Large),750000,1000000,1
Public D&O (Large),1000000,2000000,1.998714362
Public D&O (Large),2000000,2500000,2.49631676
Public D&O (Large),2500000,3000000,2.993919158
Public D&O (Large),3000000,4000000,3.984217431
Public D&O (Large),4000000,5000000,4.968505117
Public D&O (Large),5000000,7500000,7.374217253
Public D&O (Large),7500000,10000000,9.779929388
Public D&O (Large),10000000,15000000,14.38644095
Public D&O (Large),15000000,20000000,18.78453937
Public D&O (Large),20000000,30000000,26.9940238
Public D&O (Large),30000000,40000000,34.5049545
Public D&O (Large),40000000,50000000,41.4123718
Public D&O (Large),50000000,75000000,48.19048928
Public D&O (Large),75000000,100000000,67.73514439
Public D&O (Large),100000000,150000000,86.24168613
Public D&O (Large),150000000,200000000,121.2187954
Public D&O (Large),200000000,300000000,154.3380974
Physicians,0,100000,0.392289617
Physicians,100000,250000,0.682204005
Physicians,250000,500000,0.89
Physicians,500000,750000,1.02
Physicians,750000,1000000,1.12
Physicians,1000000,2000000,1.35
Physicians,2000000,2500000,1.41
Physicians,2500000,3000000,1.46
Physicians,3000000,4000000,1.559451076
Physicians,4000000,5000000,1.630053696
Physicians,5000000,7500000,1.758342856
Physicians,7500000,10000000,1.849365464
Physicians,10000000,15000000,1.977654624
Physicians,15000000,20000000,2.068677232
Physicians,20000000,30000000,2.196966392
Physicians,30000000,40000000,2.287989
Physicians,40000000,50000000,2.358591619
Physicians,50000000,75000000,2.675528889
Physicians,75000000,100000000,2.907016243
Physicians,100000000,150000000,3.08330647
Physicians,150000000,200000000,3.350074831
Physicians,200000000,300000000,3.553233466
A&E Small Risks,0,100000,0.55
A&E Small Risks,100000,250000,0.8
A&E Small Risks,250000,500000,1
A&E Small Risks,500000,750000,1.15
A&E Small Risks,750000,1000000,1.25
A&E Small Risks,1000000,2000000,1.566
A&E Small Risks,2000000,2500000,1.7405
A&E Small Risks,2500000,3000000,1.915
A&E Small Risks,3000000,4000000,2.26
A&E Small Risks,4000000,5000000,2.45
A&E Small Risks,5000000,7500000,2.805
A&E Small Risks,7500000,10000000,3.16
A&E Small Risks,10000000,15000000,3.87
A&E Small Risks,15000000,20000000,4.58
A&E Small Risks,20000000,30000000,4.7379
A&E Small Risks,30000000,40000000,5.7379
A&E Small Risks,40000000,50000000,6.7379
A&E Small Risks,50000000,75000000,6.949961729
A&E Small Risks,75000000,100000000,8.07655947
A&E Small Risks,100000000,150000000,8.98499288
A&E Small Risks,150000000,200000000,10.44147179
A&E Small Risks,200000000,300000000,11.61590527
Crime - LATAM,0,100000,0.442557805
Crime - LATAM,100000,250000,0.632306787
Crime - LATAM,250000,500000,0.828226122
Crime - LATAM,500000,750000,0.969881913
Crime - LATAM,750000,1000000,1
Crime - LATAM,1000000,2000000,1.396920959
Crime - LATAM,2000000,2500000,1.549986243
Crime - LATAM,2500000,3000000,1.670502922
Crime - LATAM,3000000,4000000,1.88480418
Crime - LATAM,4000000,5000000,2.063323889
Crime - LATAM,5000000,7500000,2.377490883
Crime - LATAM,7500000,10000000,2.692853672
Crime - LATAM,10000000,15000000,3.11950407
Crime - LATAM,15000000,20000000,3.451481273
Crime - LATAM,20000000,30000000,3.96464066
Crime - LATAM,30000000,40000000,4.562597571
Crime - LATAM,40000000,50000000,4.976785512
Crime - LATAM,50000000,75000000,5.311423343
Crime - LATAM,75000000,100000000,6.147128078
Crime - LATAM,100000000,150000000,6.818656331
Crime - LATAM,150000000,200000000,7.891510633
Crime - LATAM,200000000,300000000,8.753599772
PI - LATAM,0,100000,0.361093759
PI - LATAM,100000,250000,0.555815105
PI - LATAM,250000,500000,0.770238395
PI - LATAM,500000,750000,0.932204767
PI - LATAM,750000,1000000,1
PI - LATAM,1000000,2000000,1.464877862
PI - LATAM,2000000,2500000,1.642972691
PI - LATAM,2500000,3000000,1.804989927
PI - LATAM,3000000,4000000,2.081982425
